#mChi,mLSP
94.9848,70.8
179.149,125.251
189.886,125.72
194.735,115.393
189.54,105.066
123.732,40.2888
115.073,21.0433
129.274,25.2679
174.647,64.6978
213.092,67.0448
251.884,65.6366
267.47,50.6157
279.593,-3.36562
