SModelS_status Analysis Disp MT_displaced_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Excluded CMS-EXO-13-006 0.0 298.505 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_3.981e-05_dm_50_la2_0.01_laL_0.01_.slha.py 20.813 3.981e-05 100.0 22.891 1[N1,e-]
Non-excluded CMS-SUS-17-009 7.038 5.467 TSelSel IDM_mhc_380_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 7.453e-06 6.309e-06 380.0 0.226 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 6.718 THSCPM1b,THSCPM8 IDM_mhc_300_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha.py 5.146 0.0005011 300.0 29.061 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.3923 THSCPM1b IDM_mhc_440_mn1_0.003981_dm_50_la2_0.01_laL_0.01_.slha.py 2.069 0.003981 440.0 106.089 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM8 IDM_mhc_160_mn1_0.79432_dm_50_la2_0.01_laL_0.01_.slha.py 29.019 0.7943 160.0 168655.524 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_1.5848e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.947e-10 1.584e-05 960.0 0.08809 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.03267 THSCPM1b,THSCPM8 IDM_mhc_280_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 12.984 0.03981 280.0 2659.393 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.1297 0.05723 TSelSel IDM_mhc_840_mn1_7.9432e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.835e-08 7.943e-05 840.0 0.5752 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0784 THSCPM1b IDM_mhc_700_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.1881 0.003162 700.0 33.053 1[N1,e-]
Non-excluded CMS-SUS-17-009 1.58 0.4949 TSelSel IDM_mhc_620_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.314e-05 3.162e-06 620.0 0.04216 1[N1,e-]
Non-excluded CMS-SUS-17-009 18.92 13.789 TSelSel IDM_mhc_300_mn1_2.5118e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.424e-05 2.511e-06 300.0 0.1461 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01423 THSCPM1b IDM_mhc_820_mn1_0.003981_dm_50_la2_0.01_laL_0.01_.slha.py 0.09211 0.003981 820.0 30.311 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.1395 THSCPM1b IDM_mhc_520_mn1_0.0050118_dm_50_la2_0.01_laL_0.01_.slha.py 1.027 0.005011 520.0 95.327 1[N1,e-]
Non-excluded CMS-EXO-13-006 1.385 1.906 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_480_mn1_3.981e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.00014 3.981e-05 480.0 0.8888 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.7322 0.1952 TSelSel IDM_mhc_720_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.796e-05 3.981e-06 720.0 0.0393 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.6698 THSCPM1b,THSCPM8 IDM_mhc_200_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha.py 38.541 0.01 200.0 1333.29 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 THSCPM1b IDM_mhc_940_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.02802 0.007943 940.0 45.996 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 1.332 THSCPM1b,THSCPM8 IDM_mhc_280_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 11.94 0.003162 280.0 211.044 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.04274 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_880_mn1_0.00025118_dm_50_la2_0.01_laL_0.01_.slha.py 6.176e-05 0.0002511 880.0 1.658 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_340_mn1_0.12589_dm_50_la2_0.01_laL_0.01_.slha.py 6.916 0.1258 340.0 5654.067 1[N1,e-]
Non-excluded CMS-SUS-17-009 1.761 1.126 TSelSel IDM_mhc_540_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 2.213e-06 1.258e-05 540.0 0.2217 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.3719 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.015848_dm_50_la2_0.01_laL_0.01_.slha.py 29.141 0.01584 220.0 1730.938 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_520_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 1.32 1.0 520.0 18973.746 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 THSCPM1b IDM_mhc_900_mn1_0.00079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.003016 0.0007943 900.0 5.021 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_660_mn1_0.025118_dm_50_la2_0.01_laL_0.01_.slha.py 0.4752 0.02511 660.0 295.399 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 8.264 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 27.484 0.001995 100.0 1147.249 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_320_mn1_0.25118_dm_50_la2_0.01_laL_0.01_.slha.py 8.617 0.2511 320.0 12730.771 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_860_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 0.1375 0.03981 860.0 275.211 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_860_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.1436 0.07943 860.0 549.657 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.02819 THSCPM1b IDM_mhc_500_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 1.395 0.01258 500.0 258.959 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_0.00012589_dm_50_la2_0.01_laL_0.01_.slha.py 8.758e-08 0.0001258 940.0 0.7281 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_1.2589e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.28e-10 1.258e-06 960.0 0.006972 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_460_mn1_0.1_dm_50_la2_0.01_laL_0.01_.slha.py 2.107 0.1 460.0 2436.135 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.4339 0.07477 TSelSel IDM_mhc_800_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.554e-05 3.981e-06 800.0 0.03182 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01884 THSCPM1b IDM_mhc_660_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.3987 0.007943 660.0 93.519 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.1702 0.04402 TSelSel IDM_mhc_880_mn1_2.5118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.66e-07 2.511e-05 880.0 0.1658 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_600_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.831 0.3981 600.0 5670.315 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 0.0 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_120_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 19.931 0.5011 120.0 195373.231 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 3.814 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha.py 13.641 0.001258 260.0 97.686 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_640_mn1_0.050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.5861 0.05011 640.0 626.434 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1018 THSCPM1b IDM_mhc_680_mn1_0.0025118_dm_50_la2_0.01_laL_0.01_.slha.py 0.186 0.002511 680.0 27.831 1[N1,e-]
Non-excluded CMS-SUS-17-009 2.419 0.8744 TSelSel IDM_mhc_560_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.44e-05 3.162e-06 560.0 0.05179 1[N1,e-]
Non-excluded CMS-SUS-17-009 2.132 1.908 TSelSel IDM_mhc_480_mn1_1.9952e-05_dm_50_la2_0.01_laL_0.01_.slha.py 8.626e-07 1.995e-05 480.0 0.4454 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_720_mn1_0.63095_dm_50_la2_0.01_laL_0.01_.slha.py 0.3595 0.6309 720.0 6224.825 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_620_mn1_0.063095_dm_50_la2_0.01_laL_0.01_.slha.py 0.6954 0.06309 620.0 843.277 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.1887 0.07481 TSelSel IDM_mhc_800_mn1_6.3095e-05_dm_50_la2_0.01_laL_0.01_.slha.py 6.329e-08 6.309e-05 800.0 0.5046 1[N1,e-]
Non-excluded CMS-EXO-13-006 34.5 79.054 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_180_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0001008 3.162e-06 180.0 0.5262 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.1197 0.04961 TSelSel IDM_mhc_860_mn1_1e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0002124 1e-06 860.0 0.006923 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_0.00063095_dm_50_la2_0.01_laL_0.01_.slha.py 0.0007118 0.0006309 960.0 3.498 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_920_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha.py 0.04271 0.01995 920.0 120.321 1[N1,e-]
Non-excluded CMS-SUS-17-009 1.766 0.579 TSelSel IDM_mhc_600_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.000127 1.584e-06 600.0 0.02257 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.6251 0.1953 TSelSel IDM_mhc_720_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 4.555e-06 7.943e-06 720.0 0.07861 1[N1,e-]
Non-excluded CMS-SUS-17-009 5.35 3.639 TSelSel IDM_mhc_420_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 8.035e-06 6.309e-06 420.0 0.1844 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.03401 THSCPM1b,THSCPM8 IDM_mhc_180_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 46.19 0.07943 180.0 13243.42 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_1000_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha.py 7.167e-05 0.0003981 1000.0 2.034 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_3.1622e-05_dm_50_la2_0.01_laL_0.01_.slha.py 4.296e-10 3.162e-05 940.0 0.1827 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.01465 THSCPM1b IDM_mhc_540_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha.py 1.089 0.01995 540.0 351.741 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_740_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 0.308 1.0 740.0 9351.988 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.07572 0.05697 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_840_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha.py 7.221e-06 0.0001584 840.0 1.147 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 0.01893 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.31622_dm_50_la2_0.01_laL_0.01_.slha.py 27.836 0.3162 100.0 181033.911 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_760_mn1_0.031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.246 0.03162 760.0 280.293 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_600_mn1_0.1_dm_50_la2_0.01_laL_0.01_.slha.py 0.8206 0.1 600.0 1429.905 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0164 THSCPM1b IDM_mhc_820_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.07503 0.003162 820.0 24.064 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_740_mn1_0.19952_dm_50_la2_0.01_laL_0.01_.slha.py 0.3049 0.1995 740.0 1861.575 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 1.547 THSCPM1b IDM_mhc_300_mn1_0.0025118_dm_50_la2_0.01_laL_0.01_.slha.py 9.057 0.002511 300.0 146.168 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 93.543 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.0001_dm_50_la2_0.01_laL_0.01_.slha.py 10.249 0.0001 140.0 28.189 1[N1,e-]
Non-excluded CMS-EXO-13-006 0.0 1.496 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_500_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha.py 0.1986 0.0003981 500.0 8.187 1[N1,e-]
Non-excluded CMS-EXO-13-006 1.129 8.575 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_340_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.04385 5.011e-05 340.0 2.252 1[N1,e-]
Non-excluded CMS-SUS-17-009 1.192 0.5796 TSelSel IDM_mhc_600_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 2.073e-06 1.258e-05 600.0 0.1793 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.4556 0.0984 TSelSel IDM_mhc_760_mn1_1e-05_dm_50_la2_0.01_laL_0.01_.slha.py 2.701e-06 1e-05 760.0 0.08848 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1134 THSCPM1b IDM_mhc_560_mn1_0.0050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.8346 0.005011 560.0 82.219 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_600_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 0.8317 0.5011 600.0 7149.527 1[N1,e-]
Non-excluded CMS-EXO-13-006 0.4034 0.3134 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_680_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.173e-07 5.011e-05 680.0 0.5558 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_980_mn1_0.00019952_dm_50_la2_0.01_laL_0.01_.slha.py 2.222e-06 0.0001995 980.0 1.06 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_780_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.2473 0.3981 780.0 3350.203 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_900_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.07335 0.007943 900.0 50.21 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha.py 1.713e-07 0.0001584 960.0 0.8809 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.5618 0.09836 TSelSel IDM_mhc_760_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.682e-05 3.981e-06 760.0 0.03529 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.1224 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.025118_dm_50_la2_0.01_laL_0.01_.slha.py 16.736 0.02511 260.0 1953.732 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.4042 THSCPM1b,THSCPM8 IDM_mhc_280_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha.py 12.863 0.01 280.0 666.645 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 6.008 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 13.092 0.001995 140.0 562.185 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_720_mn1_0.15848_dm_50_la2_0.01_laL_0.01_.slha.py 0.3554 0.1584 720.0 1566.087 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.5536 0.1953 TSelSel IDM_mhc_720_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.82e-06 1.258e-05 720.0 0.1241 1[N1,e-]
Non-excluded CMS-EXO-13-006 0.0 24.645 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_260_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.5259 5.011e-05 260.0 3.899 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01217 THSCPM1b IDM_mhc_620_mn1_0.015848_dm_50_la2_0.01_laL_0.01_.slha.py 0.6388 0.01584 620.0 211.497 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 1.221 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 27.685 0.01258 100.0 7228.093 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_780_mn1_0.19952_dm_50_la2_0.01_laL_0.01_.slha.py 0.2455 0.1995 780.0 1672.262 1[N1,e-]
Non-excluded CMS-SUS-17-009 5.932 2.771 TSelSel IDM_mhc_440_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.325e-05 3.162e-06 440.0 0.08432 1[N1,e-]
Non-excluded CMS-EXO-13-006 37.885 114.211 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_160_mn1_2.5118e-06_dm_50_la2_0.01_laL_0.01_.slha.py 8.129e-05 2.511e-06 160.0 0.5347 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_920_mn1_6.3095e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.487e-09 6.309e-05 920.0 0.3809 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 19.779 THSCPM1b,THSCPM8 IDM_mhc_160_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha.py 22.859 0.0005011 160.0 106.663 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_620_mn1_0.31622_dm_50_la2_0.01_laL_0.01_.slha.py 0.7115 0.3162 620.0 4216.388 1[N1,e-]
Non-excluded CMS-SUS-17-009 1.4 0.5796 TSelSel IDM_mhc_600_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.196e-06 7.943e-06 600.0 0.1134 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.01417 THSCPM1b IDM_mhc_880_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha.py 0.01041 0.001258 880.0 8.326 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 160.476 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_3.981e-05_dm_50_la2_0.01_laL_0.01_.slha.py 6.481 3.981e-05 140.0 11.211 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.7004 THSCPM1b IDM_mhc_580_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.07281 0.0005011 580.0 7.648 1[N1,e-]
Non-excluded CMS-SUS-17-009 3.039 1.594 TSelSel IDM_mhc_500_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 8.613e-06 6.309e-06 500.0 0.1298 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_820_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha.py 0.1483 0.01 820.0 76.188 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_980_mn1_1.9952e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.131e-09 1.995e-06 980.0 0.0106 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.1775 0.05016 TSelSel IDM_mhc_860_mn1_3.1622e-05_dm_50_la2_0.01_laL_0.01_.slha.py 2.363e-07 3.162e-05 860.0 0.2187 1[N1,e-]
Non-excluded CMS-SUS-17-009 2.217 0.7415 TSelSel IDM_mhc_580_mn1_2.5118e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.277e-05 2.511e-06 580.0 0.03831 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 188.593 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_1.9952e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.353 1.995e-05 140.0 5.621 1[N1,e-]
Non-excluded CMS-SUS-17-009 2.087 0.8727 TSelSel IDM_mhc_560_mn1_1e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0003332 1e-06 560.0 0.0163 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.5674 0.1949 TSelSel IDM_mhc_720_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.00011 1.584e-06 720.0 0.01566 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.02558 THSCPM1b IDM_mhc_740_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.1371 0.003162 740.0 29.584 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.04798 THSCPM1b IDM_mhc_840_mn1_0.00063095_dm_50_la2_0.01_laL_0.01_.slha.py 0.003433 0.0006309 840.0 4.578 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.08761 THSCPM1b,THSCPM8 IDM_mhc_240_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 22.017 0.03981 240.0 3647.448 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_380_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 4.49 1.0 380.0 35812.516 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 192.221 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_120_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 13.703 5.011e-05 120.0 19.537 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 0.5151 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha.py 13.665 0.01995 140.0 5621.85 1[N1,e-]
Non-excluded CMS-SUS-17-009 2.951 2.293 TSelSel IDM_mhc_460_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 2.157e-06 1.258e-05 460.0 0.3064 1[N1,e-]
