SModelS_status Analysis Disp MT_displaced_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded CMS-EXO-13-006 4.8 10.819 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_320_mn1_1.9952e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.001947 1.995e-05 320.0 1.011 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.5593 THSCPM1b,THSCPM8 IDM_mhc_480_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 1.058 0.001995 480.0 44.543 1[N1,e-]
Non-excluded CMS-SUS-17-009 3.173 1.125 TSelSel IDM_mhc_540_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0001363 1.584e-06 540.0 0.02791 1[N1,e-]
Non-excluded CMS-SUS-17-009 3.656 2.293 TSelSel IDM_mhc_460_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.41e-06 7.943e-06 460.0 0.1934 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_680_mn1_0.79432_dm_50_la2_0.01_laL_0.01_.slha.py 0.4393 0.7943 680.0 8809.239 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_560_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 1.077 0.03981 560.0 651.244 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_920_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.05027 0.3981 920.0 2406.426 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_400_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 3.756 0.07943 400.0 2566.02 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.5085 0.09839 TSelSel IDM_mhc_760_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 6.752e-06 6.309e-06 760.0 0.05589 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_960_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 0.02839 0.01258 960.0 69.726 1[N1,e-]
