SModelS_status Analysis Disp MT_displaced_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_920_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha.py 0.04271 0.01995 920.0 120.321 1[N1,mu-]
Non-excluded CMS-SUS-17-009 1.375 0.579 TSlepSlep IDM_mhc_600_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0001434 1.584e-06 600.0 0.02257 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.5028 0.1953 TSlepSlep IDM_mhc_720_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.209e-06 7.943e-06 720.0 0.07861 1[N1,mu-]
Non-excluded CMS-SUS-17-009 4.335 3.639 TSlepSlep IDM_mhc_420_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 8.324e-06 6.309e-06 420.0 0.1844 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.03401 THSCPM1b,THSCPM8 IDM_mhc_180_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 46.19 0.07943 180.0 13243.42 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_1000_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha.py 7.167e-05 0.0003981 1000.0 2.034 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_3.1622e-05_dm_50_la2_0.01_laL_0.01_.slha.py 4.296e-10 3.162e-05 940.0 0.1827 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.01465 THSCPM1b IDM_mhc_540_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha.py 1.089 0.01995 540.0 351.741 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_740_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 0.308 1.0 740.0 9351.988 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.07833 0.05697 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_840_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha.py 7.221e-06 0.0001584 840.0 1.147 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 0.01893 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.31622_dm_50_la2_0.01_laL_0.01_.slha.py 27.836 0.3162 100.0 181033.911 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_760_mn1_0.031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.246 0.03162 760.0 280.293 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_600_mn1_0.1_dm_50_la2_0.01_laL_0.01_.slha.py 0.8206 0.1 600.0 1429.905 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0164 THSCPM1b IDM_mhc_820_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.07503 0.003162 820.0 24.064 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_740_mn1_0.19952_dm_50_la2_0.01_laL_0.01_.slha.py 0.3049 0.1995 740.0 1861.575 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 1.547 THSCPM1b IDM_mhc_300_mn1_0.0025118_dm_50_la2_0.01_laL_0.01_.slha.py 9.057 0.002511 300.0 146.168 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 93.543 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.0001_dm_50_la2_0.01_laL_0.01_.slha.py 10.249 0.0001 140.0 28.189 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.0 1.496 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_500_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha.py 0.1986 0.0003981 500.0 8.187 1[N1,mu-]
Non-excluded CMS-EXO-13-006 1.151 8.575 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_340_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.04385 5.011e-05 340.0 2.252 1[N1,mu-]
Non-excluded CMS-SUS-17-009 1.022 0.5796 TSlepSlep IDM_mhc_600_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 2.341e-06 1.258e-05 600.0 0.1793 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.3685 0.0984 TSlepSlep IDM_mhc_760_mn1_1e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.11e-06 1e-05 760.0 0.08848 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1134 THSCPM1b IDM_mhc_560_mn1_0.0050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.8346 0.005011 560.0 82.219 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_600_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 0.8317 0.5011 600.0 7149.527 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.3585 0.3134 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_680_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.173e-07 5.011e-05 680.0 0.5558 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_980_mn1_0.00019952_dm_50_la2_0.01_laL_0.01_.slha.py 2.222e-06 0.0001995 980.0 1.06 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_780_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.2473 0.3981 780.0 3350.203 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_900_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.07335 0.007943 900.0 50.21 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha.py 1.713e-07 0.0001584 960.0 0.8809 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.4375 0.09836 TSlepSlep IDM_mhc_760_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.936e-05 3.981e-06 760.0 0.03529 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.1224 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.025118_dm_50_la2_0.01_laL_0.01_.slha.py 16.736 0.02511 260.0 1953.732 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.4042 THSCPM1b,THSCPM8 IDM_mhc_280_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha.py 12.863 0.01 280.0 666.645 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 6.008 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 13.092 0.001995 140.0 562.185 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_720_mn1_0.15848_dm_50_la2_0.01_laL_0.01_.slha.py 0.3554 0.1584 720.0 1566.087 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.4548 0.1953 TSlepSlep IDM_mhc_720_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 2.081e-06 1.258e-05 720.0 0.1241 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.0 24.645 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_260_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.5259 5.011e-05 260.0 3.899 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01217 THSCPM1b IDM_mhc_620_mn1_0.015848_dm_50_la2_0.01_laL_0.01_.slha.py 0.6388 0.01584 620.0 211.497 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 1.221 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 27.685 0.01258 100.0 7228.093 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_780_mn1_0.19952_dm_50_la2_0.01_laL_0.01_.slha.py 0.2455 0.1995 780.0 1672.262 1[N1,mu-]
Non-excluded CMS-SUS-17-009 4.534 2.771 TSlepSlep IDM_mhc_440_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.491e-05 3.162e-06 440.0 0.08432 1[N1,mu-]
Non-excluded CMS-EXO-13-006 33.201 114.211 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_160_mn1_2.5118e-06_dm_50_la2_0.01_laL_0.01_.slha.py 8.129e-05 2.511e-06 160.0 0.5347 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_920_mn1_6.3095e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.487e-09 6.309e-05 920.0 0.3809 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 19.779 THSCPM1b,THSCPM8 IDM_mhc_160_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha.py 22.859 0.0005011 160.0 106.663 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_620_mn1_0.31622_dm_50_la2_0.01_laL_0.01_.slha.py 0.7115 0.3162 620.0 4216.388 1[N1,mu-]
Non-excluded CMS-SUS-17-009 1.16 0.5796 TSlepSlep IDM_mhc_600_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.866e-06 7.943e-06 600.0 0.1134 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.01417 THSCPM1b IDM_mhc_880_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha.py 0.01041 0.001258 880.0 8.326 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 160.476 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_3.981e-05_dm_50_la2_0.01_laL_0.01_.slha.py 6.481 3.981e-05 140.0 11.211 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.7004 THSCPM1b IDM_mhc_580_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.07281 0.0005011 580.0 7.648 1[N1,mu-]
Non-excluded CMS-SUS-17-009 2.478 1.594 TSlepSlep IDM_mhc_500_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 9.794e-06 6.309e-06 500.0 0.1298 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_820_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha.py 0.1483 0.01 820.0 76.188 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_980_mn1_1.9952e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.131e-09 1.995e-06 980.0 0.0106 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.1629 0.05016 TSlepSlep IDM_mhc_860_mn1_3.1622e-05_dm_50_la2_0.01_laL_0.01_.slha.py 2.765e-07 3.162e-05 860.0 0.2187 1[N1,mu-]
Non-excluded CMS-SUS-17-009 1.736 0.7415 TSlepSlep IDM_mhc_580_mn1_2.5118e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.897e-05 2.511e-06 580.0 0.03831 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 188.593 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_1.9952e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.353 1.995e-05 140.0 5.621 1[N1,mu-]
Non-excluded CMS-SUS-17-009 1.619 0.8727 TSlepSlep IDM_mhc_560_mn1_1e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0003686 1e-06 560.0 0.0163 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.4404 0.1949 TSlepSlep IDM_mhc_720_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0001258 1.584e-06 720.0 0.01566 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.02558 THSCPM1b IDM_mhc_740_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.1371 0.003162 740.0 29.584 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.04798 THSCPM1b IDM_mhc_840_mn1_0.00063095_dm_50_la2_0.01_laL_0.01_.slha.py 0.003433 0.0006309 840.0 4.578 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.08761 THSCPM1b,THSCPM8 IDM_mhc_240_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 22.017 0.03981 240.0 3647.448 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_380_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 4.49 1.0 380.0 35812.516 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 192.221 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_120_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 13.703 5.011e-05 120.0 19.537 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 0.5151 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha.py 13.665 0.01995 140.0 5621.85 1[N1,mu-]
