SModelS_status Analysis Disp MT_displaced_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded CMS-EXO-13-006 4.64 10.819 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_320_mn1_1.9952e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.001947 1.995e-05 320.0 1.011 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.5593 THSCPM1b,THSCPM8 IDM_mhc_480_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 1.058 0.001995 480.0 44.543 1[N1,mu-]
Non-excluded CMS-SUS-17-009 2.45 1.125 TSlepSlep IDM_mhc_540_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0001511 1.584e-06 540.0 0.02791 1[N1,mu-]
Non-excluded CMS-SUS-17-009 3.002 2.293 TSlepSlep IDM_mhc_460_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.848e-06 7.943e-06 460.0 0.1934 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_680_mn1_0.79432_dm_50_la2_0.01_laL_0.01_.slha.py 0.4393 0.7943 680.0 8809.239 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_560_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 1.077 0.03981 560.0 651.244 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_920_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.05027 0.3981 920.0 2406.426 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_400_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 3.756 0.07943 400.0 2566.02 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.4017 0.09839 TSlepSlep IDM_mhc_760_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 7.772e-06 6.309e-06 760.0 0.05589 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_960_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 0.02839 0.01258 960.0 69.726 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 298.505 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_3.981e-05_dm_50_la2_0.01_laL_0.01_.slha.py 20.813 3.981e-05 100.0 22.891 1[N1,mu-]
Non-excluded CMS-SUS-17-009 5.896 5.467 TSlepSlep IDM_mhc_380_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 7.635e-06 6.309e-06 380.0 0.226 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 6.718 THSCPM1b,THSCPM8 IDM_mhc_300_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha.py 5.146 0.0005011 300.0 29.061 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.3923 THSCPM1b IDM_mhc_440_mn1_0.003981_dm_50_la2_0.01_laL_0.01_.slha.py 2.069 0.003981 440.0 106.089 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM8 IDM_mhc_160_mn1_0.79432_dm_50_la2_0.01_laL_0.01_.slha.py 29.019 0.7943 160.0 168655.524 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_1.5848e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.947e-10 1.584e-05 960.0 0.08809 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.03267 THSCPM1b,THSCPM8 IDM_mhc_280_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 12.984 0.03981 280.0 2659.393 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.1291 0.05723 TSlepSlep IDM_mhc_840_mn1_7.9432e-05_dm_50_la2_0.01_laL_0.01_.slha.py 4.487e-08 7.943e-05 840.0 0.5752 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0784 THSCPM1b IDM_mhc_700_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.1881 0.003162 700.0 33.053 1[N1,mu-]
Non-excluded CMS-SUS-17-009 1.242 0.4949 TSlepSlep IDM_mhc_620_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.629e-05 3.162e-06 620.0 0.04216 1[N1,mu-]
Non-excluded CMS-SUS-17-009 15.85 13.789 TSlepSlep IDM_mhc_300_mn1_2.5118e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.573e-05 2.511e-06 300.0 0.1461 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01423 THSCPM1b IDM_mhc_820_mn1_0.003981_dm_50_la2_0.01_laL_0.01_.slha.py 0.09211 0.003981 820.0 30.311 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.1395 THSCPM1b IDM_mhc_520_mn1_0.0050118_dm_50_la2_0.01_laL_0.01_.slha.py 1.027 0.005011 520.0 95.327 1[N1,mu-]
Non-excluded CMS-EXO-13-006 1.216 1.906 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_480_mn1_3.981e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.00014 3.981e-05 480.0 0.8888 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.5747 0.1952 TSlepSlep IDM_mhc_720_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 2.053e-05 3.981e-06 720.0 0.0393 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.6698 THSCPM1b,THSCPM8 IDM_mhc_200_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha.py 38.541 0.01 200.0 1333.29 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 THSCPM1b IDM_mhc_940_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.02802 0.007943 940.0 45.996 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 1.332 THSCPM1b,THSCPM8 IDM_mhc_280_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 11.94 0.003162 280.0 211.044 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.04274 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_880_mn1_0.00025118_dm_50_la2_0.01_laL_0.01_.slha.py 6.176e-05 0.0002511 880.0 1.658 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_340_mn1_0.12589_dm_50_la2_0.01_laL_0.01_.slha.py 6.916 0.1258 340.0 5654.067 1[N1,mu-]
Non-excluded CMS-SUS-17-009 1.514 1.126 TSlepSlep IDM_mhc_540_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 2.453e-06 1.258e-05 540.0 0.2217 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.3719 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.015848_dm_50_la2_0.01_laL_0.01_.slha.py 29.141 0.01584 220.0 1730.938 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_520_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 1.32 1.0 520.0 18973.746 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 THSCPM1b IDM_mhc_900_mn1_0.00079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.003016 0.0007943 900.0 5.021 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_660_mn1_0.025118_dm_50_la2_0.01_laL_0.01_.slha.py 0.4752 0.02511 660.0 295.399 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 8.264 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 27.484 0.001995 100.0 1147.249 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_320_mn1_0.25118_dm_50_la2_0.01_laL_0.01_.slha.py 8.617 0.2511 320.0 12730.771 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_860_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 0.1375 0.03981 860.0 275.211 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_860_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.1436 0.07943 860.0 549.657 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.02819 THSCPM1b IDM_mhc_500_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 1.395 0.01258 500.0 258.959 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_0.00012589_dm_50_la2_0.01_laL_0.01_.slha.py 8.758e-08 0.0001258 940.0 0.7281 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_1.2589e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.28e-10 1.258e-06 960.0 0.006972 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_460_mn1_0.1_dm_50_la2_0.01_laL_0.01_.slha.py 2.107 0.1 460.0 2436.135 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.336 0.07477 TSlepSlep IDM_mhc_800_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.785e-05 3.981e-06 800.0 0.03182 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01884 THSCPM1b IDM_mhc_660_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.3987 0.007943 660.0 93.519 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.1489 0.04402 TSlepSlep IDM_mhc_880_mn1_2.5118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 4.238e-07 2.511e-05 880.0 0.1658 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_600_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.831 0.3981 600.0 5670.315 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 0.0 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_120_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 19.931 0.5011 120.0 195373.231 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 3.814 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha.py 13.641 0.001258 260.0 97.686 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_640_mn1_0.050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.5861 0.05011 640.0 626.434 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1018 THSCPM1b IDM_mhc_680_mn1_0.0025118_dm_50_la2_0.01_laL_0.01_.slha.py 0.186 0.002511 680.0 27.831 1[N1,mu-]
Non-excluded CMS-SUS-17-009 1.912 0.8744 TSlepSlep IDM_mhc_560_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.806e-05 3.162e-06 560.0 0.05179 1[N1,mu-]
Non-excluded CMS-SUS-17-009 1.867 1.908 TSlepSlep IDM_mhc_480_mn1_1.9952e-05_dm_50_la2_0.01_laL_0.01_.slha.py 9.555e-07 1.995e-05 480.0 0.4454 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_720_mn1_0.63095_dm_50_la2_0.01_laL_0.01_.slha.py 0.3595 0.6309 720.0 6224.825 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_620_mn1_0.063095_dm_50_la2_0.01_laL_0.01_.slha.py 0.6954 0.06309 620.0 843.277 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.1808 0.07481 TSlepSlep IDM_mhc_800_mn1_6.3095e-05_dm_50_la2_0.01_laL_0.01_.slha.py 7.271e-08 6.309e-05 800.0 0.5046 1[N1,mu-]
Non-excluded CMS-EXO-13-006 28.426 79.054 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_180_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0001008 3.162e-06 180.0 0.5262 1[N1,mu-]
Non-excluded CMS-SUS-17-009 0.08304 0.04961 TSlepSlep IDM_mhc_860_mn1_1e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0002485 1e-06 860.0 0.006923 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_0.00063095_dm_50_la2_0.01_laL_0.01_.slha.py 0.0007118 0.0006309 960.0 3.498 1[N1,mu-]
