SModelS_status Analysis Disp MT_displaced_xsec THSCPM1b Tx Tx_weights file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 0.007978013405945578 THSCPM1b "{'THSCPM1b': 0.007978013405945578}" IDM_mhc_1000_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.007978 0.002511 1000.0 12.813 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.6512105939237517 THSCPM1b "{'THSCPM1b': 0.6512105939237517}" IDM_mhc_780_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha.py 0.6512 0.06309 780.0 530.448 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.02161 1.2366667764050219 THSCPM1b "{'THSCPM1b': 1.2366667764050219}" IDM_mhc_720_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha.py 1.236 0.01995 720.0 197.326 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 0.0009814981930127923 THSCPM1b "{'THSCPM1b': 0.0009814981930127923}" IDM_mhc_980_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.0009814 0.0007943 980.0 4.225 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2889 1.1664268456257647 THSCPM1b "{'THSCPM1b': 1.1664268456257647}" IDM_mhc_620_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha.py 1.166 0.001995 620.0 26.629 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 3.669 0.5823 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 3.66925463218962}" IDM_mhc_560_mn1_1.2589e-05_dm_5_la2_0.01_laL_0.01_.slha.py 3.669 1.258e-05 560.0 0.2061 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 1.7374974257980649 THSCPM1b "{'THSCPM1b': 1.7374974257980649}" IDM_mhc_680_mn1_0.1_dm_5_la2_0.01_laL_0.01_.slha.py 1.737 0.1 680.0 1108.578 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 4.722 73.46164613496944 THSCPM1b,THSCPM2b "{'THSCPM1b': 73.46164613496944, 'THSCPM2b': 4.505510891730316e-05}" IDM_mhc_120_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 73.461 0.005011 120.0 1953.732 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.568 0.187 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 1.5689820482818766}" IDM_mhc_680_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.568 1e-05 680.0 0.1108 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 8.703237342672269 THSCPM1b "{'THSCPM1b': 8.703237342672269}" IDM_mhc_480_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 8.703 0.7943 480.0 17777.203 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 8.329 13.971 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 8.32971111734867}" IDM_mhc_280_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 8.329 3.162e-05 280.0 2.11 1[N1,mu-]
Excluded CMS-EXO-12-026 0.0 29.201 49.174723194446756 THSCPM1b "{'THSCPM1b': 49.174723194446756}" IDM_mhc_140_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 49.174 0.0006309 140.0 177.772 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 10.364395177667959 THSCPM1b "{'THSCPM1b': 10.364395177667959}" IDM_mhc_460_mn1_0.15848_dm_5_la2_0.01_laL_0.01_.slha.py 10.364 0.1584 460.0 3861.584 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 3.041 22.745450732429063 THSCPM1b "{'THSCPM1b': 22.745450732429063}" IDM_mhc_340_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha.py 22.745 0.001258 340.0 56.54 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 0.006211481395353459 THSCPM1b "{'THSCPM1b': 0.006211481395353459}" IDM_mhc_960_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 0.006211 0.001584 960.0 8.809 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 5.1118230885747655 THSCPM1b "{'THSCPM1b': 5.1118230885747655}" IDM_mhc_560_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 5.111 0.3981 560.0 6512.441 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 9.342 1.91 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 9.34246479283987}" IDM_mhc_440_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 9.342 1e-05 440.0 0.2662 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.32518167922020835 THSCPM1b "{'THSCPM1b': 0.32518167922020835}" IDM_mhc_900_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 0.3251 0.7943 900.0 5021.042 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 4.533737253112842 THSCPM1b "{'THSCPM1b': 4.533737253112842}" IDM_mhc_580_mn1_1.0_dm_5_la2_0.01_laL_0.01_.slha.py 4.533 1.0 580.0 15296.663 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.03254133545301224 THSCPM1b "{'THSCPM1b': 0.03254133545301224}" IDM_mhc_960_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 0.03254 0.03981 960.0 220.97 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 1.4979211163300337 THSCPM1b "{'THSCPM1b': 1.4979211163300337}" IDM_mhc_700_mn1_0.63095_dm_5_la2_0.01_laL_0.01_.slha.py 1.497 0.6309 700.0 6599.563 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.02239 53.46654067847493 THSCPM1b "{'THSCPM1b': 53.46654067847493}" IDM_mhc_280_mn1_0.25118_dm_5_la2_0.01_laL_0.01_.slha.py 53.466 0.2511 280.0 16722.624 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 2.579367620105958e-10 THSCPM1b,THSCPM2b "{'THSCPM1b': 2.579367620105958e-10, 'THSCPM2b': 1.5797673866835516e-10}" IDM_mhc_960_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 4.159e-10 1.995e-06 960.0 0.01108 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01583 0.29215307014136976 THSCPM1b "{'THSCPM1b': 0.29215307014136976}" IDM_mhc_860_mn1_0.01_dm_5_la2_0.01_laL_0.01_.slha.py 0.2921 0.01 860.0 69.237 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.9346 0.08069 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.9346344955907944}" IDM_mhc_760_mn1_3.981e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.9346 3.981e-06 760.0 0.03529 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0256 0.42596345567320365 THSCPM1b "{'THSCPM1b': 0.42596345567320365}" IDM_mhc_800_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.4259 0.007943 800.0 63.449 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.03068 34.61996122285547 THSCPM1b "{'THSCPM1b': 34.61996122285547}" IDM_mhc_340_mn1_0.12589_dm_5_la2_0.01_laL_0.01_.slha.py 34.619 0.1258 340.0 5654.067 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 29.776 157.02304245577815 THSCPM1b "{'THSCPM1b': 157.02304245577815}" IDM_mhc_180_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 157.023 0.0003981 180.0 66.217 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 71.476 270.465 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 71.47630845416624}" IDM_mhc_120_mn1_3.1622e-06_dm_5_la2_0.01_laL_0.01_.slha.py 71.476 3.162e-06 120.0 1.233 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.6102 0.1028 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.6102223406482924}" IDM_mhc_740_mn1_1e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.6102 1e-06 740.0 0.009351 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2172 14.729627987834935 THSCPM1b "{'THSCPM1b': 14.729627987834935}" IDM_mhc_420_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 14.729 0.01258 420.0 368.147 1[N1,mu-]
