SModelS_status Analysis Disp MT_displaced_xsec THSCPM1b Tx Tx_weights file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1732 0.4757582216507989 THSCPM1b "{'THSCPM1b': 0.4757582216507989}" IDM_mhc_700_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha.py 0.4757 0.001995 700.0 20.859 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.9833 0.218 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.9833525183395313}" IDM_mhc_660_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.9833 5.011e-05 660.0 0.589 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 2.222 0.4169 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 2.2225683793970465}" IDM_mhc_600_mn1_2.5118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.222 2.511e-05 600.0 0.3581 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.6229 0.05224 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.6229674228130708}" IDM_mhc_780_mn1_7.9432e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.6229 7.943e-06 780.0 0.06689 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 0.017731705668639894 THSCPM1b "{'THSCPM1b': 0.017731705668639894}" IDM_mhc_980_mn1_0.0063095_dm_5_la2_0.01_laL_0.01_.slha.py 0.01773 0.006309 980.0 33.616 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.02375 1.3399879448405387 THSCPM1b "{'THSCPM1b': 1.3399879448405387}" IDM_mhc_700_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha.py 1.339 0.01995 700.0 208.59 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.09387520852746783 THSCPM1b "{'THSCPM1b': 0.09387520852746783}" IDM_mhc_920_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 0.09387 0.3981 920.0 2406.426 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 1.603 128.68245911114875 THSCPM1b "{'THSCPM1b': 128.68245911114875}" IDM_mhc_160_mn1_0.01_dm_5_la2_0.01_laL_0.01_.slha.py 128.682 0.01 160.0 2128.661 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 1.463 9.370259458455273 THSCPM1b "{'THSCPM1b': 9.370259458455273}" IDM_mhc_420_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 9.37 0.001584 420.0 46.429 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.1231 8.143906956707312 THSCPM1b "{'THSCPM1b': 8.143906956707312}" IDM_mhc_480_mn1_0.015848_dm_5_la2_0.01_laL_0.01_.slha.py 8.143 0.01584 480.0 354.267 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.0 0.4792 0.17507265993585214 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.17507265993585214, 'THSCPM2b': 2.7137246537423276e-05}" IDM_mhc_620_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 0.175 0.0005011 620.0 6.689 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.971 0.187 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 1.9711003912087581}" IDM_mhc_680_mn1_3.1622e-06_dm_5_la2_0.01_laL_0.01_.slha.py 1.971 3.162e-06 680.0 0.03504 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.03887547660983422 THSCPM1b "{'THSCPM1b': 0.03887547660983422}" IDM_mhc_940_mn1_0.15848_dm_5_la2_0.01_laL_0.01_.slha.py 0.03887 0.1584 940.0 917.799 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.0 1.31 0.6105526704039901 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.6105526704039901, 'THSCPM2b': 8.602276570538913e-05}" IDM_mhc_520_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 0.6106 0.0003981 520.0 7.56 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.03958 120.84986822028044 THSCPM1b "{'THSCPM1b': 120.84986822028044}" IDM_mhc_220_mn1_0.25118_dm_5_la2_0.01_laL_0.01_.slha.py 120.849 0.2511 220.0 27559.631 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 1.547 2.486280725113717 THSCPM1b "{'THSCPM1b': 2.486280725113717}" IDM_mhc_480_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 2.486 0.0007943 480.0 17.777 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 26.758 34.029390853258604 THSCPM1b "{'THSCPM1b': 34.029390853258604}" IDM_mhc_240_mn1_0.00019952_dm_5_la2_0.01_laL_0.01_.slha.py 34.029 0.0001995 240.0 18.271 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.3396 0.03036 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.33960524448811563}" IDM_mhc_860_mn1_1.2589e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.3396 1.258e-05 860.0 0.08692 1[N1,mu-]
Excluded CMS-PAS-EXO-16-036 0.0 8.87 1.4931410353167913 THSCPM1b "{'THSCPM1b': 1.4931410353167913}" IDM_mhc_340_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha.py 1.493 0.0001258 340.0 5.654 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.02901962286762105 THSCPM1b "{'THSCPM1b': 0.02901962286762105}" IDM_mhc_980_mn1_0.1_dm_5_la2_0.01_laL_0.01_.slha.py 0.02901 0.1 980.0 531.878 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 15.70491318428511 THSCPM1b "{'THSCPM1b': 15.70491318428511}" IDM_mhc_420_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 15.704 0.7943 420.0 23242.28 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.06183 12.425577929481875 THSCPM1b "{'THSCPM1b': 12.425577929481875}" IDM_mhc_440_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 12.425 0.03981 440.0 1060.897 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.24159085423161608 THSCPM1b "{'THSCPM1b': 0.24159085423161608}" IDM_mhc_900_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.2415 0.01258 900.0 79.567 1[N1,mu-]
Excluded CMS-EXO-12-026 0.0 4.824 52.54263246326104 THSCPM1b "{'THSCPM1b': 52.54263246326104}" IDM_mhc_140_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 52.542 0.003981 140.0 1121.175 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 4.348 3.1084874321084466 THSCPM1b,THSCPM2b "{'THSCPM1b': 3.1084874321084466, 'THSCPM2b': 0.00033532439448584315}" IDM_mhc_400_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 3.108 0.0003162 400.0 10.224 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.669 2.703 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 1.66914401050962}" IDM_mhc_420_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.669 7.943e-05 420.0 2.324 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.197 3.3177020692569807 THSCPM1b "{'THSCPM1b': 3.3177020692569807}" IDM_mhc_580_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 3.317 0.005011 580.0 76.483 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01057 2.678845593213238e-09 THSCPM1b,THSCPM2b "{'THSCPM1b': 2.678845593213238e-09, 'THSCPM2b': 3.1279419157039666e-11}" IDM_mhc_920_mn1_2.5118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.71e-09 2.511e-05 920.0 0.1517 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 3.9883737483105573e-10 THSCPM1b,THSCPM2b "{'THSCPM1b': 3.9883737483105573e-10, 'THSCPM2b': 7.531469395527306e-12}" IDM_mhc_940_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 4.063e-10 5.011e-05 940.0 0.2901 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 75.408 16.848 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 75.40871636403523}" IDM_mhc_260_mn1_1.5848e-06_dm_5_la2_0.01_laL_0.01_.slha.py 75.408 1.584e-06 260.0 0.1233 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 36.207 145.24370895284773 THSCPM1b "{'THSCPM1b': 145.24370895284773}" IDM_mhc_180_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 145.243 0.0003162 180.0 52.62 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.4247 0.4755257028215036 THSCPM1b "{'THSCPM1b': 0.4755257028215036}" IDM_mhc_620_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 0.4755 0.001 620.0 13.332 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2433 17.748951811364677 THSCPM1b "{'THSCPM1b': 17.748951811364677}" IDM_mhc_400_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 17.748 0.01258 400.0 406.859 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.4285 202.72622345455736 THSCPM1b "{'THSCPM1b': 202.72622345455736}" IDM_mhc_180_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 202.726 0.03162 180.0 5262.052 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.4707478801729532 THSCPM1b "{'THSCPM1b': 0.4707478801729532}" IDM_mhc_840_mn1_0.31622_dm_5_la2_0.01_laL_0.01_.slha.py 0.4707 0.3162 840.0 2291.834 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 12.904 1.569 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 12.904876624728962}" IDM_mhc_460_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 12.904 1.995e-06 460.0 0.0486 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 3.075 45.76891821360748 THSCPM1b "{'THSCPM1b': 45.76891821360748}" IDM_mhc_280_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha.py 45.768 0.001995 280.0 133.329 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.119 0.218 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 1.1197369116879983}" IDM_mhc_660_mn1_3.981e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.119 3.981e-05 660.0 0.4687 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.5665 51.524885714652015 THSCPM1b "{'THSCPM1b': 51.524885714652015}" IDM_mhc_300_mn1_0.01_dm_5_la2_0.01_laL_0.01_.slha.py 51.524 0.01 300.0 580.373 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.9287 0.2545 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.9287644083592921}" IDM_mhc_640_mn1_6.3095e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.9287 6.309e-05 640.0 0.7893 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 37.897 16.845 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 37.89785885218989}" IDM_mhc_260_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 37.897 1e-05 260.0 0.7768 1[N1,mu-]
Excluded CMS-EXO-12-026 0.0 37.172 113.35499038167407 THSCPM1b "{'THSCPM1b': 113.35499038167407}" IDM_mhc_100_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 113.355 0.0007943 100.0 456.775 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 44.005 9.68 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 44.00561912414709}" IDM_mhc_300_mn1_3.1622e-06_dm_5_la2_0.01_laL_0.01_.slha.py 44.005 3.162e-06 300.0 0.1827 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.00017050418255871959 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.00017050418255871959, 'THSCPM2b': 7.812081053169122e-08}" IDM_mhc_940_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 0.0001705 0.0003981 940.0 2.305 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 189.3 61.085775766290084 THSCPM1b,THSCPM2b "{'THSCPM1b': 61.085775766290084, 'THSCPM2b': 0.001760443710519298}" IDM_mhc_120_mn1_0.0001_dm_5_la2_0.01_laL_0.01_.slha.py 61.087 0.0001 120.0 39.074 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 163.929 98.885 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 163.92919466706303}" IDM_mhc_160_mn1_1.2589e-06_dm_5_la2_0.01_laL_0.01_.slha.py 163.929 1.258e-06 160.0 0.2681 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 2.356763925884074 THSCPM1b "{'THSCPM1b': 2.356763925884074}" IDM_mhc_640_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 2.356 0.05011 640.0 626.434 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.01929 1.94552972813053 THSCPM1b "{'THSCPM1b': 1.94552972813053}" IDM_mhc_660_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 1.945 0.03162 660.0 372.315 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.3382 0.03469 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.3382626689696689}" IDM_mhc_840_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.3382 3.162e-05 840.0 0.2291 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 28.708 60.68758947548429 THSCPM1b "{'THSCPM1b': 60.68758947548429}" IDM_mhc_220_mn1_0.00025118_dm_5_la2_0.01_laL_0.01_.slha.py 60.687 0.0002511 220.0 27.559 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.09116 53.35094077311422 THSCPM1b "{'THSCPM1b': 53.35094077311422}" IDM_mhc_300_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha.py 53.35 0.06309 300.0 3660.982 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 1.032 18.217805787688654 THSCPM1b "{'THSCPM1b': 18.217805787688654}" IDM_mhc_380_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 18.217 0.003162 380.0 113.406 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 211.256 98.56622773481425 THSCPM1b,THSCPM2b "{'THSCPM1b': 98.56622773481425, 'THSCPM2b': 0.001575285426356947}" IDM_mhc_100_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha.py 98.567 0.0001258 100.0 72.28 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.05315 0.743602908891959 THSCPM1b "{'THSCPM1b': 0.743602908891959}" IDM_mhc_740_mn1_0.0063095_dm_5_la2_0.01_laL_0.01_.slha.py 0.7436 0.006309 740.0 59.079 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 2.21 1.8812461884290899 THSCPM1b "{'THSCPM1b': 1.8812461884290899}" IDM_mhc_460_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 1.881 0.0005011 460.0 12.18 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.08742 10.02771315940311 THSCPM1b "{'THSCPM1b': 10.02771315940311}" IDM_mhc_460_mn1_0.025118_dm_5_la2_0.01_laL_0.01_.slha.py 10.027 0.02511 460.0 610.919 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.03657 161.38080202659157 THSCPM1b "{'THSCPM1b': 161.38080202659157}" IDM_mhc_200_mn1_0.31622_dm_5_la2_0.01_laL_0.01_.slha.py 161.38 0.3162 200.0 42254.167 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.1221 12.148795341621634 THSCPM1b "{'THSCPM1b': 12.148795341621634}" IDM_mhc_440_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha.py 12.148 0.01995 440.0 531.878 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.7871 0.08072 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.7871607276566183}" IDM_mhc_760_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.7871 1e-05 760.0 0.08848 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.7105 0.2177 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.7105837316425971}" IDM_mhc_660_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.7105 7.943e-05 660.0 0.9351 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 96.063 39.957581727346124 THSCPM1b "{'THSCPM1b': 39.957581727346124}" IDM_mhc_180_mn1_6.3095e-05_dm_5_la2_0.01_laL_0.01_.slha.py 39.957 6.309e-05 180.0 10.496 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01057 2.6358583384016493e-09 THSCPM1b,THSCPM2b "{'THSCPM1b': 2.6358583384016493e-09, 'THSCPM2b': 4.9032648606417055e-11}" IDM_mhc_920_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.684e-09 1.584e-05 920.0 0.09578 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 24.548 115.1748283353168 THSCPM1b "{'THSCPM1b': 115.1748283353168}" IDM_mhc_200_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 115.174 0.0003981 200.0 53.187 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.1397 21.92195562222228 THSCPM1b "{'THSCPM1b': 21.92195562222228}" IDM_mhc_380_mn1_0.025118_dm_5_la2_0.01_laL_0.01_.slha.py 21.921 0.02511 380.0 901.036 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 48.193 68.5810609088317 THSCPM1b "{'THSCPM1b': 68.5810609088317}" IDM_mhc_200_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha.py 68.581 0.0001584 200.0 21.172 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.0 0.3624 0.0576787868804922 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.0576787868804922, 'THSCPM2b': 1.4942874624222478e-05}" IDM_mhc_640_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.05769 0.0003162 640.0 3.954 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.03941 18.652734671868757 THSCPM1b "{'THSCPM1b': 18.652734671868757}" IDM_mhc_400_mn1_0.079432_dm_5_la2_0.01_laL_0.01_.slha.py 18.652 0.07943 400.0 2566.02 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.07529 2.40034583395697 THSCPM1b "{'THSCPM1b': 2.40034583395697}" IDM_mhc_620_mn1_0.01_dm_5_la2_0.01_laL_0.01_.slha.py 2.4 0.01 620.0 133.329 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 4.269 27.080276091152516 THSCPM1b "{'THSCPM1b': 27.080276091152516}" IDM_mhc_320_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 27.08 0.001 320.0 50.857 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.6712 0.05223 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.6712067159473625}" IDM_mhc_780_mn1_5.0118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.6712 5.011e-06 780.0 0.04216 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.325 0.02658 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.32503821899177415}" IDM_mhc_880_mn1_3.981e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.325 3.981e-06 880.0 0.02631 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.6821 5.682556676542653 THSCPM1b "{'THSCPM1b': 5.682556676542653}" IDM_mhc_480_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 5.682 0.002511 480.0 56.058 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 2.568 3.202 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 2.5688157127457663}" IDM_mhc_400_mn1_6.3095e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.568 6.309e-05 400.0 2.038 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.03348915350640752 THSCPM1b "{'THSCPM1b': 0.03348915350640752}" IDM_mhc_940_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha.py 0.03348 0.01995 940.0 115.395 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 3.104 0.298 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 3.1042106604641506}" IDM_mhc_620_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 3.104 1.995e-06 620.0 0.02662 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 63.522 16.848 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 63.522358000268554}" IDM_mhc_260_mn1_2.5118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 63.522 2.511e-06 260.0 0.1953 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 61.456 44.613 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 61.456175306944125}" IDM_mhc_200_mn1_5.0118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 61.456 5.011e-06 200.0 0.6689 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.31147449998895765 THSCPM1b "{'THSCPM1b': 0.31147449998895765}" IDM_mhc_900_mn1_0.079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.3114 0.07943 900.0 502.104 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.1821 0.0517 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.18217337329533514}" IDM_mhc_780_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha.py 0.1821 0.0001584 780.0 1.333 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.01937 15.619051575397286 THSCPM1b "{'THSCPM1b': 15.619051575397286}" IDM_mhc_420_mn1_0.12589_dm_5_la2_0.01_laL_0.01_.slha.py 15.619 0.1258 420.0 3681.473 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.3282 0.0266 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.32825383728245366}" IDM_mhc_880_mn1_6.3095e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.3282 6.309e-06 880.0 0.04171 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.08857 22.13868200863518 THSCPM1b "{'THSCPM1b': 22.13868200863518}" IDM_mhc_380_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 22.138 0.03981 380.0 1429.905 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.021457306517966148 THSCPM1b "{'THSCPM1b': 0.021457306517966148}" IDM_mhc_1000_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha.py 0.02145 0.01995 1000.0 102.241 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 47.796 7.493 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 47.796908563378935}" IDM_mhc_320_mn1_1.2589e-06_dm_5_la2_0.01_laL_0.01_.slha.py 47.796 1.258e-06 320.0 0.06406 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 228.079 23.639328967134873 THSCPM1b,THSCPM2b "{'THSCPM1b': 23.639328967134873, 'THSCPM2b': 0.002331205907299401}" IDM_mhc_140_mn1_3.981e-05_dm_5_la2_0.01_laL_0.01_.slha.py 23.641 3.981e-05 140.0 11.211 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 0.03635 53.56199436773715 THSCPM1b "{'THSCPM1b': 53.56199436773715}" IDM_mhc_300_mn1_0.15848_dm_5_la2_0.01_laL_0.01_.slha.py 53.561 0.1584 300.0 9177.998 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.40766467554811936 THSCPM1b "{'THSCPM1b': 0.40766467554811936}" IDM_mhc_860_mn1_0.25118_dm_5_la2_0.01_laL_0.01_.slha.py 0.4076 0.2511 860.0 1730.938 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 0.0019391918006471686 THSCPM1b "{'THSCPM1b': 0.0019391918006471686}" IDM_mhc_980_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 0.001939 0.001 980.0 5.318 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 0.03024689118435576 THSCPM1b "{'THSCPM1b': 0.03024689118435576}" IDM_mhc_960_mn1_0.025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.03024 0.02511 960.0 138.962 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.231 0.4527525520079213 THSCPM1b "{'THSCPM1b': 0.4527525520079213}" IDM_mhc_680_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 0.4527 0.001584 680.0 17.618 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.0 8.421 0.8837799252833066 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.8837799252833066, 'THSCPM2b': 0.0002049647399859473}" IDM_mhc_340_mn1_0.0001_dm_5_la2_0.01_laL_0.01_.slha.py 0.8839 0.0001 340.0 4.494 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 57.875 157.699 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 57.87513068984971}" IDM_mhc_140_mn1_3.1622e-06_dm_5_la2_0.01_laL_0.01_.slha.py 57.875 3.162e-06 140.0 0.8928 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.0 0.6208 0.06455947118952808 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.06455947118952808, 'THSCPM2b': 2.150565135226445e-05}" IDM_mhc_580_mn1_0.00019952_dm_5_la2_0.01_laL_0.01_.slha.py 0.06458 0.0001995 580.0 3.045 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 4.4 17.74653108441171 THSCPM1b "{'THSCPM1b': 17.74653108441171}" IDM_mhc_340_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 17.746 0.0007943 340.0 35.682 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.3412 1.579 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.34127579336069935}" IDM_mhc_480_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.3412 0.0001258 480.0 2.81 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.1903 0.02326 0.0 TSmuSmuDisp "{'TSmuSmuDisp': 0.19032285284636954}" IDM_mhc_900_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.1903 1.995e-06 900.0 0.01256 1[N1,mu-]
