mHch[GeV],mN1[GeV],y_relic,GammaHch_relic[GeV]
100,1.e-6,1.3136349082332934e-8,3.4330450793749176e-16
100,1.2589254117941661e-6,1.1707783443281599e-8,2.7269646376287615e-16
100,1.584893192461114e-6,1.0434572977291452e-8,2.166105006763191e-16
100,1.9952623149688787e-6,9.299822955036042e-9,1.7205983662496345e-16
100,2.5118864315095823e-6,8.288475933153611e-9,1.3667198629325534e-16
100,3.162277660168379e-6,7.3871119511221345e-9,1.0856241760858282e-16
100,3.981071705534969e-6,6.583770456536611e-9,8.62341935364259e-17
100,5.011872336272725e-6,5.867791595845495e-9,6.849825472466115e-17
100,6.30957344480193e-6,5.2296747645706145e-9,5.441009775713429e-17
100,7.943282347242822e-6,4.660952540057943e-9,4.3219476902600016e-17
100,0.00001,4.154078323923522e-9,3.4330450793749156e-17
100,0.000012589254117941661,3.702326203277919e-9,2.7269646376287583e-17
100,0.00001584893192461114,3.2997017019486206e-9,2.1661050067631873e-17
100,0.000019952623149688786,2.9408622374232685e-9,1.720598366249631e-17
100,0.000025118864315095822,2.621046228025651e-9,1.3667198629325482e-17
100,0.000031622776601683795,2.3360099096198616e-9,1.0856241760858216e-17
100,0.000039810717055349695,2.0819710234385468e-9,8.623419353642509e-18
100,0.00005011872336272725,1.8555586278070448e-9,6.849825472466012e-18
100,0.00006309573444801929,1.6537683677954306e-9,5.441009775713302e-18
100,0.00007943282347242822,1.4739226092539226e-9,4.3219476902598405e-18
100,0.0001,1.3136349082345673e-9,3.433045079374711e-18
100,0.00012589254117941674,1.1707783443299592e-9,2.7269646376285005e-18
100,0.00015848931924611142,1.043457297731688e-9,2.1661050067628666e-18
100,0.0001995262314968881,9.299822955071952e-10,1.720598366249224e-18
100,0.0002511886431509582,8.288475933204341e-10,1.3667198629320382e-18
100,0.00031622776601683794,7.387111951193793e-10,1.08562417608518e-18
100,0.00039810717055349735,6.583770456637828e-10,8.62341935363442e-19
100,0.0005011872336272725,5.867791595988473e-10,6.849825472455841e-19
100,0.0006309573444801936,5.229674764772574e-10,5.441009775700496e-19
100,0.0007943282347242822,4.660952540343221e-10,4.321947690243722e-19
100,0.001,4.154078324326489e-10,3.4330450793544204e-19
100,0.0012589254117941675,3.702326203847123e-10,2.726964637602955e-19
100,0.001584893192461114,3.299701702752646e-10,2.1661050067307064e-19
100,0.0019952623149688807,2.9408622385589827e-10,1.7205983662087378e-19
100,0.002511886431509582,2.621046229629892e-10,1.366719862881069e-19
100,0.0031622776601683794,2.3360099118859114e-10,1.085624176021013e-19
100,0.003981071705534973,2.0819710266394263e-10,8.62341935282661e-20
100,0.005011872336272725,1.8555586323284092e-10,6.849825471438868e-20
100,0.006309573444801936,1.6537683741820267e-10,5.4410097744202e-20
100,0.00794328234724282,1.4739226182752307e-10,4.3219476886319285e-20
