mHch[GeV],mN1[GeV],y_relic,GammaHch_relic[GeV]
100,0.01,1.3136349209775036e-10,3.433045077325291e-20
100,0.012589254117941687,1.1707783623298345e-10,2.72696463504843e-20
100,0.01584893192461114,1.0434573231571885e-10,2.166105003514754e-20
100,0.01995262314968879,9.299823314216705e-11,1.7205983621600948e-20
100,0.025118864315095822,8.288476440509791e-11,1.3667198577841267e-20
100,0.03162277660168379,7.387112667781814e-11,1.0856241696043431e-20
100,0.039810717055349776,6.583771468845366e-11,8.623419272045504e-21
100,0.05011872336272725,5.867793025769755e-11,6.849825369741482e-21
100,0.06309573444801943,5.229676784392601e-11,5.441009646390751e-21
100,0.07943282347242822,4.660955393132983e-11,4.32194752745237e-21
100,0.1,4.154082354000576e-11,3.433044874412175e-21
100,0.12589254117941687,3.702331895916288e-11,2.7269643795958024e-21
100,0.15848931924611143,3.299709743021276e-11,2.166104681918653e-21
100,0.19952623149688828,2.9408735957564626e-11,1.720597957293995e-21
100,0.25118864315095824,2.6210622721339447e-11,1.366719348086728e-21
100,0.31622776601683794,2.336032572606254e-11,1.0856235279309744e-21
100,0.39810717055349776,2.0820030359391672e-11,8.62341119380932e-22
100,0.5011872336272725,1.855603847072337e-11,6.849815199750709e-22
100,0.6309573444801942,1.6538322426149308e-11,5.440996842943445e-22
100,0.7943282347242822,1.4740128368708987e-11,4.321931408493114e-22
100,1.,1.3137623626900218e-11,3.433024581098309e-22
120,1.e-6,1.455057633855149e-8,5.054425297836352e-16
120,1.2589254117941661e-6,1.29682148121207e-8,4.014872724376102e-16
120,1.584893192461114e-6,1.1557933617222506e-8,3.189126763796334e-16
120,1.9952623149688787e-6,1.0301019179237117e-8,2.533213432598305e-16
120,2.5118864315095823e-6,9.180793007228782e-9,2.0122029540956467e-16
120,3.162277660168379e-6,8.182390380504387e-9,1.5983496204337802e-16
120,3.981071705534969e-6,7.292563102801077e-9,1.2696142324713912e-16
120,5.011872336272725e-6,6.499503706770997e-9,1.0084904320598222e-16
120,6.30957344480193e-6,5.7926887760634166e-9,8.010724246344073e-17
120,7.943282347242822e-6,5.162739305983343e-9,6.36314444946148e-17
120,0.00001,4.6012962497976305e-9,5.054425297836351e-17
120,0.000012589254117941661,4.100909599263441e-9,4.014872724376103e-17
120,0.00001584893192461114,3.6549395275452447e-9,3.189126763796331e-17
120,0.000019952623149688786,3.257468282746842e-9,2.533213432598301e-17
120,0.000025118864315095822,2.9032216629390883e-9,2.012202954095642e-17
120,0.000031622776601683795,2.58749903070474e-9,1.5983496204337747e-17
120,0.000039810717055349695,2.306110938535849e-9,1.2696142324713839e-17
120,0.00005011872336272725,2.0553235374106963e-9,1.0084904320598141e-17
120,0.00006309573444801929,1.8318090308858343e-9,8.010724246343963e-18
120,0.00007943282347242822,1.632601517259123e-9,6.363144449461339e-18
120,0.0001,1.4550576338561338e-9,5.0544252978361735e-18
120,0.00012589254117941674,1.2968214812134606e-9,4.014872724375875e-18
120,0.00015848931924611142,1.155793361724215e-9,3.18912676379605e-18
120,0.0001995262314968881,1.0301019179264866e-9,2.5332134325979467e-18
120,0.0002511886431509582,9.180793007267986e-10,2.0122029540952e-18
120,0.00031622776601683794,8.182390380559765e-10,1.598349620433218e-18
120,0.00039810717055349735,7.292563102879295e-10,1.2696142324706821e-18
120,0.0005011872336272725,6.499503706881489e-10,1.0084904320589311e-18
120,0.0006309573444801936,5.792688776219488e-10,8.010724246332846e-19
120,0.0007943282347242822,5.162739306203803e-10,6.363144449447355e-19
120,0.001,4.601296250109038e-10,5.054425297818568e-19
120,0.0012589254117941675,4.100909599703315e-10,4.014872724353711e-19
120,0.001584893192461114,3.6549395281665867e-10,3.189126763768148e-19
120,0.0019952623149688807,3.257468283624509e-10,2.5332134325628185e-19
120,0.002511886431509582,2.9032216641788276e-10,2.0122029540509752e-19
120,0.0031622776601683794,2.587499032455919e-10,1.5983496203775426e-19
120,0.003981071705534973,2.306110941009454e-10,1.2696142324005907e-19
120,0.005011872336272725,2.0553235409047569e-10,1.0084904319706917e-19
120,0.006309573444801936,1.8318090358213256e-10,8.01072424522198e-20
120,0.00794328234724282,1.632601524230692e-10,6.363144448048856e-20
120,0.01,1.4550576437037364e-10,5.0544252960579625e-20
120,0.012589254117941687,1.2968214951235681e-10,4.014872722137235e-20
120,0.01584893192461114,1.1557933813727656e-10,3.189126760977776e-20
120,0.01995262314968879,1.0301019456808025e-10,2.53321342904995e-20
120,0.025118864315095822,9.180793399308119e-11,2.012202949628534e-20
120,0.03162277660168379,8.182390934331185e-11,1.5983496148100185e-20
120,0.039810717055349776,7.292563885102244e-11,1.2696142253914916e-20
120,0.05011872336272725,6.499504811800849e-11,1.0084904231467602e-20
120,0.06309573444801943,5.792690336959717e-11,8.010724134135233e-21
120,0.07943282347242822,5.1627415108083265e-11,6.36314430819892e-21
120,0.1,4.6012993641964754e-11,5.05442511999728e-21
120,0.12589254117941687,4.100913998470476e-11,4.0148725004898786e-21
120,0.15848931924611143,3.6549457415942507e-11,3.1891264819401065e-21
120,0.19952623149688828,3.2574770603330854e-11,2.533213077761974e-21
120,0.25118864315095824,2.9032340616287405e-11,2.0122025073824663e-21
120,0.31622776601683794,2.5875165443630943e-11,1.5983490580537803e-21
120,0.39810717055349776,2.3061356773336848e-11,1.2696135244740733e-21
120,0.5011872336272725,2.055358482110554e-11,1.0084895407383385e-21
120,0.6309573444801942,1.8318583920768862e-11,8.010713025158217e-22
120,0.7943282347242822,1.6326712428928977e-11,6.363130322599655e-22
120,1.,1.4551561263902454e-11,5.054407512720422e-22
140,1.e-6,1.58543140727882e-8,7.000887436105579e-16
140,1.2589254117941661e-6,1.4130172290839534e-8,5.561002558625151e-16
140,1.584893192461114e-6,1.2593529310202183e-8,4.417261345689923e-16
140,1.9952623149688787e-6,1.1223994812132523e-8,3.508755407037684e-16
140,2.5118864315095823e-6,1.0003395905921398e-8,2.787103488551517e-16
140,3.162277660168379e-6,8.915535985675721e-9,2.2138749940550154e-16
140,3.981071705534969e-6,7.945979811198658e-9,1.7585434159279506e-16
140,5.011872336272725e-6,7.081861961122606e-9,1.3968606872600554e-16
140,6.30957344480193e-6,6.311716116584216e-9,1.1095658838670272e-16
140,7.943282347242822e-6,5.625322910139567e-9,8.813595098423817e-17
140,0.00001,5.013574320967152e-9,7.000887436105576e-17
140,0.000012589254117941661,4.468352816965246e-9,5.561002558625149e-17
140,0.00001584893192461114,3.9824236400328565e-9,4.4172613456899226e-17
140,0.000019952623149688786,3.5493388052253157e-9,3.5087554070376804e-17
140,0.000025118864315095822,3.163351539911605e-9,2.7871034885515133e-17
140,0.000031622776601683795,2.8193400275931e-9,2.2138749940550106e-17
140,0.000039810717055349695,2.5127394445104444e-9,1.7585434159279452e-17
140,0.00005011872336272725,2.239481387205702e-9,1.3968606872600473e-17
140,0.00006309573444801929,1.9959398872802915e-9,1.1095658838670177e-17
140,0.00007943282347242822,1.7788832969973273e-9,8.813595098423691e-18
140,0.0001,1.585431407279611e-9,7.000887436105422e-18
140,0.00012589254117941674,1.4130172290850698e-9,5.561002558624946e-18
140,0.00015848931924611142,1.2593529310217966e-9,4.417261345689675e-18
140,0.0001995262314968881,1.1223994812154808e-9,3.508755407037366e-18
140,0.0002511886431509582,1.0003395905952887e-9,2.7871034885511213e-18
140,0.00031622776601683794,8.915535985720202e-10,2.2138749940545184e-18
140,0.00039810717055349735,7.945979811261487e-10,1.7585434159273234e-18
140,0.0005011872336272725,7.081861961211358e-10,1.3968606872592671e-18
140,0.0006309573444801936,6.311716116709582e-10,1.1095658838660346e-18
140,0.0007943282347242822,5.625322910316653e-10,8.813595098411333e-19
140,0.001,5.013574321217293e-10,7.000887436089858e-19
140,0.0012589254117941675,4.4683528173185765e-10,5.561002558605355e-19
140,0.001584893192461114,3.982423640531952e-10,4.417261345665009e-19
140,0.0019952623149688807,3.5493388059303065e-10,3.5087554070063145e-19
140,0.002511886431509582,3.1633515409074336e-10,2.7871034885120305e-19
140,0.0031622776601683794,2.8193400289997447e-10,2.2138749940053044e-19
140,0.003981071705534973,2.5127394464973817e-10,1.7585434158653668e-19
140,0.005011872336272725,2.2394813900123281e-10,1.3968606871812688e-19
140,0.006309573444801936,1.995939891244754e-10,1.1095658837678395e-19
140,0.00794328234724282,1.778883302597282e-10,8.813595097175137e-20
140,0.01,1.5854314151897565e-10,7.000887434533575e-20
140,0.012589254117941687,1.413017240258447e-10,5.561002556646106e-20
140,0.01584893192461114,1.2593529468046123e-10,4.417261343198466e-20
140,0.01995262314968879,1.1223995035093015e-10,3.508755403901126e-20
140,0.025118864315095822,1.0003396220861468e-10,2.7871034846028254e-20
140,0.03162277660168379,8.915536430540402e-11,2.213874989083906e-20
140,0.039810717055349776,7.945980439586733e-11,1.758543409669691e-20
140,0.05011872336272725,7.081862848744407e-11,1.3968606793813778e-20
140,0.06309573444801943,6.311717370383422e-11,1.1095658739483572e-20
140,0.07943282347242822,5.625324681178232e-11,8.813594973555169e-21
140,0.1,5.01357682262622e-11,7.000887278905233e-21
140,0.12589254117941687,4.468356350653629e-11,5.56100236072157e-21
140,0.15848931924611143,3.982428631502681e-11,4.417261096543972e-21
140,0.19952623149688828,3.549345855869011e-11,3.508755093381277e-21
140,0.25118864315095824,3.163361499222108e-11,2.787103093681041e-21
140,0.31622776601683794,2.8193540955189953e-11,2.2138744969416118e-21
140,0.39810717055349776,2.5127593160419086e-11,1.7585427900974015e-21
140,0.5011872336272725,2.2395094566197358e-11,1.396859899382389e-21
140,0.6309573444801942,1.9959795366719835e-11,1.1095648919804502e-21
140,0.7943282347242822,1.778939303902114e-11,8.81358261116482e-22
140,1.,1.585510520591481e-11,7.000871715284884e-22
160,1.e-6,1.7065158683038424e-8,9.269809074213194e-16
160,1.2589254117941661e-6,1.5209338685659234e-8,7.363271078150897e-16
160,1.584893192461114e-6,1.3555337371987652e-8,5.848854117303952e-16
160,1.9952623149688787e-6,1.2081207149503422e-8,4.645909966157898e-16
160,2.5118864315095823e-6,1.076738720578303e-8,3.6903774621061433e-16
160,3.162277660168379e-6,9.596443948403423e-9,2.9313710149410507e-16
160,3.981071705534969e-6,8.55283967176246e-9,2.3284707636200514e-16
160,5.011872336272725e-6,7.622726381165807e-9,1.8495700712734132e-16
160,6.30957344480193e-6,6.793762038350883e-9,1.4691657297134748e-16
160,7.943282347242822e-6,6.054946790137654e-9,1.166999820600714e-16
160,0.00001,5.396477007060105e-9,9.26980907421319e-17
160,0.000012589254117941661,4.809615195159519e-9,7.363271078150896e-17
160,0.00001584893192461114,4.2865740547482505e-9,5.848854117303948e-17
160,0.000019952623149688786,3.8204131476741755e-9,4.645909966157896e-17
160,0.000025118864315095822,3.4049468019231326e-9,3.6903774621061405e-17
160,0.000031622776601683795,3.0346620315095327e-9,2.931371014941046e-17
160,0.000039810717055349695,2.704645382501791e-9,2.3284707636200465e-17
160,0.00005011872336272725,2.410517734473908e-9,1.8495700712734065e-17
160,0.00006309573444801929,2.1483761922380233e-9,1.469165729713466e-17
160,0.00007943282347242822,1.914742296796512e-9,1.1669998206007032e-17
160,0.0001,1.7065158683044957e-9,9.26980907421305e-18
160,0.00012589254117941674,1.5209338685668458e-9,7.363271078150712e-18
160,0.00015848931924611142,1.3555337372000692e-9,5.848854117303728e-18
160,0.0001995262314968881,1.2081207149521835e-9,4.6459099661576104e-18
160,0.0002511886431509582,1.0767387205809052e-9,3.69037746210579e-18
160,0.00031622776601683794,9.596443948440176e-10,2.9313710149406045e-18
160,0.00039810717055349735,8.55283967181437e-10,2.3284707636194886e-18
160,0.0005011872336272725,7.622726381239139e-10,1.849570071272707e-18
160,0.0006309573444801936,6.793762038454465e-10,1.4691657297125847e-18
160,0.0007943282347242822,6.054946790283971e-10,1.166999820599595e-18
160,0.001,5.396477007266785e-10,9.269809074199109e-19
160,0.0012589254117941675,4.809615195451459e-10,7.363271078133158e-19
160,0.001584893192461114,4.2865740551606306e-10,5.848854117281629e-19
160,0.0019952623149688807,3.8204131482566757e-10,4.645909966129792e-19
160,0.002511886431509582,3.404946802745939e-10,3.690377462070767e-19
160,0.0031622776601683794,3.0346620326717773e-10,2.931371014896512e-19
160,0.003981071705534973,2.7046453841435037e-10,2.3284707635639786e-19
160,0.005011872336272725,2.410517736792891e-10,1.8495700712028244e-19
160,0.006309573444801936,2.148376195513673e-10,1.4691657296246075e-19
160,0.00794328234724282,1.9147423014234916e-10,1.1669998204888387e-19
160,0.01,1.706515874840278e-10,9.26980907280476e-20
160,0.012589254117941687,1.5209338777988833e-10,7.363271076377776e-20
160,0.01584893192461114,1.3555337502406698e-10,5.848854115071743e-20
160,0.01995262314968879,1.208120733372522e-10,4.6459099633477144e-20
160,0.025118864315095822,1.0767387466003243e-10,3.690377458568333e-20
160,0.03162277660168379,9.596444315974247e-11,2.931371010487211e-20
160,0.039810717055349776,8.552840190970053e-11,2.3284707580129956e-20
160,0.05011872336272725,7.622727114566064e-11,1.849570064214553e-20
160,0.06309573444801943,6.793763074306333e-11,1.4691657208268934e-20
160,0.07943282347242822,6.05494825346376e-11,1.1669998094131732e-20
160,0.1,5.3964790740634624e-11,9.269808933370378e-21
160,0.12589254117941687,4.8096181148800157e-11,7.363270900840247e-21
160,0.15848931924611143,4.286578178964543e-11,5.848853894083006e-21
160,0.19952623149688828,3.820418973287803e-11,4.645909685139207e-21
160,0.25118864315095824,3.404955030828443e-11,3.690377108324265e-21
160,0.31622776601683794,3.03467365516366e-11,2.931370569555418e-21
160,0.39810717055349776,2.7046618013864163e-11,2.328470202911486e-21
160,0.5011872336272725,2.4105409268472018e-11,1.8495693653806254e-21
160,0.6309573444801942,2.1484089525203287e-11,1.469164841042049e-21
160,0.7943282347242822,1.9147885723378054e-11,1.166998701819593e-21
160,1.,1.7065812351676017e-11,9.269794989392148e-22
180,1.e-6,1.819811212422647e-8,1.1859198074929846e-15
180,1.2589254117941661e-6,1.6219084502979935e-8,9.420095872104628e-16
180,1.584893192461114e-6,1.4455274278951356e-8,7.482648125022354e-16
180,1.9952623149688787e-6,1.2883276762096001e-8,5.943678676211965e-16
180,2.5118864315095823e-6,1.148223250045474e-8,4.7212317906438e-16
180,3.162277660168379e-6,1.0233550487900075e-8,3.75020771398625e-16
180,3.981071705534969e-6,9.120661472779996e-9,2.978895873300085e-16
180,5.011872336272725e-6,8.128798094015479e-9,2.3662211004659e-16
180,6.30957344480193e-6,7.2447989271911035e-9,1.8795562297004262e-16
180,7.943282347242822e-6,6.4569338404494255e-9,1.4929845820029642e-16
180,0.00001,5.7547483427680866e-9,1.1859198074929843e-16
180,0.000012589254117941661,5.128924859215686e-9,9.420095872104629e-17
180,0.00001584893192461114,4.571159092393479e-9,7.482648125022351e-17
180,0.000019952623149688786,4.074049829454309e-9,5.943678676211963e-17
180,0.000025118864315095822,3.6310007325048015e-9,4.721231790643794e-17
180,0.000031622776601683795,3.2361328092092596e-9,3.7502077139862466e-17
180,0.000039810717055349695,2.8842064021331983e-9,2.978895873300079e-17
180,0.00005011872336272725,2.5705516616726385e-9,2.3662211004658935e-17
180,0.00006309573444801929,2.291006579987101e-9,1.8795562297004188e-17
180,0.00007943282347242822,2.04186176368423e-9,1.4929845820029533e-17
180,0.0001,1.8198112124231985e-9,1.1859198074929715e-17
180,0.00012589254117941674,1.6219084502987724e-9,9.42009587210446e-18
180,0.00015848931924611142,1.4455274278962365e-9,7.482648125022151e-18
180,0.0001995262314968881,1.2883276762111547e-9,5.9436786762117045e-18
180,0.0002511886431509582,1.1482232500476708e-9,4.7212317906434784e-18
180,0.00031622776601683794,1.0233550487931105e-9,3.7502077139858465e-18
180,0.00039810717055349735,9.120661472823824e-10,2.978895873299573e-18
180,0.0005011872336272725,8.128798094077393e-10,2.3662211004652596e-18
180,0.0006309573444801936,7.244798927278558e-10,1.8795562296996197e-18
180,0.0007943282347242822,6.456933840572964e-10,1.4929845820019512e-18
180,0.001,5.754748342942591e-10,1.1859198074917095e-18
180,0.0012589254117941675,5.128924859462177e-10,9.420095872088566e-19
180,0.001584893192461114,4.5711590927416597e-10,7.482648125002139e-19
180,0.0019952623149688807,4.074049829946125e-10,5.943678676186512e-19
180,0.002511886431509582,3.6310007331995145e-10,4.721231790611764e-19
180,0.0031622776601683794,3.2361328101905665e-10,3.7502077139459194e-19
180,0.003981071705534973,2.88420640351933e-10,2.9788958732493077e-19
180,0.005011872336272725,2.5705516636306043e-10,2.3662211004019807e-19
180,0.006309573444801936,2.2910065827527989e-10,1.8795562296199543e-19
180,0.00794328234724282,2.041861767590885e-10,1.4929845819016586e-19
180,0.01,1.8198112179414953e-10,1.1859198073654485e-19
180,0.012589254117941687,1.621908458093573e-10,9.420095870499033e-20
180,0.01584893192461114,1.4455274389066858e-10,7.482648123001046e-20
180,0.01995262314968879,1.2883276917638287e-10,5.943678673667292e-20
180,0.025118864315095822,1.1482232720164058e-10,4.7212317874402444e-20
180,0.03162277660168379,1.0233550798247739e-10,3.7502077099532145e-20
180,0.039810717055349776,9.120661911157724e-11,2.978895868222787e-20
180,0.05011872336272725,8.128798713240509e-11,2.3662210940739697e-20
180,0.06309573444801943,7.244799801869741e-11,1.8795562216534593e-20
180,0.07943282347242822,6.456935075965936e-11,1.492984571872437e-20
180,0.1,5.754750087981742e-11,1.1859197947394054e-20
180,0.12589254117941687,5.12892732439593e-11,9.420095711546534e-21
180,0.15848931924611143,4.571162574554112e-11,7.482647922891644e-21
180,0.19952623149688828,4.074054748139127e-11,5.943678421744356e-21
180,0.25118864315095824,3.6310076803366884e-11,4.7212314702878474e-21
180,0.31622776601683794,3.2361426232936336e-11,3.750207310681546e-21
180,0.39810717055349776,2.884220264920421e-11,2.978895365568628e-21
180,0.5011872336272725,2.5705712434350996e-11,2.3662204612680607e-21
180,0.6309573444801942,2.291034240084966e-11,1.879555424994401e-21
180,0.7943282347242822,2.041900834886772e-11,1.4929835689308829e-21
180,1.,1.81986640258119e-11,1.1859185320963897e-21
200,1.e-6,1.9265297951059912e-8,1.4767657127628028e-15
200,1.2589254117941661e-6,1.7170214872308278e-8,1.173036701720223e-15
200,1.584893192461114e-6,1.5302970112902734e-8,9.317761725442173e-16
200,1.9952623149688787e-6,1.3638786469357238e-8,7.401361222951964e-16
200,2.5118864315095823e-6,1.2155581235820464e-8,5.879110194784173e-16
200,3.162277660168379e-6,1.083367317998595e-8,4.669943222772444e-16
200,3.981071705534969e-6,9.65552138509688e-9,3.7094677564074594e-16
200,5.011872336272725e-6,8.605492492638034e-9,2.946534974713776e-16
200,6.30957344480193e-6,7.669653257166558e-9,2.340515925017751e-16
200,7.943282347242822e-6,6.835585660610232e-9,1.8591378830634165e-16
200,0.00001,6.092222132712455e-9,1.476765712762802e-16
200,0.000012589254117941661,5.429698691099155e-9,1.1730367017202232e-16
200,0.00001584893192461114,4.8392240522257e-9,9.317761725442171e-17
200,0.000019952623149688786,4.312962976385558e-9,7.401361222951962e-17
200,0.000025118864315095822,3.8439322988397595e-9,5.879110194784174e-17
200,0.000031622776601683795,3.425908267463573e-9,4.66994322277244e-17
200,0.000039810717055349695,3.0533439573371096e-9,3.7094677564074566e-17
200,0.00005011872336272725,2.7212956664217623e-9,2.94653497471377e-17
200,0.00006309573444801929,2.4253573156377808e-9,2.3405159250177442e-17
200,0.00007943282347242822,2.161601982871837e-9,1.8591378830634066e-17
200,0.0001,1.926529795106465e-9,1.476765712762791e-17
200,0.00012589254117941674,1.7170214872314965e-9,1.1730367017202073e-17
200,0.00015848931924611142,1.5302970112912191e-9,9.31776172544199e-18
200,0.0001995262314968881,1.363878646937059e-9,7.401361222951723e-18
200,0.0002511886431509582,1.2155581235839335e-9,5.879110194783881e-18
200,0.00031622776601683794,1.0833673180012603e-9,4.669943222772075e-18
200,0.00039810717055349735,9.655521385134527e-10,3.709467756406993e-18
200,0.0005011872336272725,8.605492492691216e-10,2.946534974713191e-18
200,0.0006309573444801936,7.669653257241676e-10,2.3405159250170132e-18
200,0.0007943282347242822,6.835585660716343e-10,1.8591378830624903e-18
200,0.001,6.092222132862343e-10,1.4767657127616377e-18
200,0.0012589254117941675,5.429698691310873e-10,1.1730367017187553e-18
200,0.001584893192461114,4.839224052524765e-10,9.317761725423711e-19
200,0.0019952623149688807,4.312962976807996e-10,7.401361222928712e-19
200,0.002511886431509582,3.8439322994364725e-10,5.879110194754913e-19
200,0.0031622776601683794,3.425908268306452e-10,4.669943222735603e-19
200,0.003981071705534973,3.053343958527707e-10,3.709467756361078e-19
200,0.005011872336272725,2.7212956681035285e-10,2.946534974655389e-19
200,0.006309573444801936,2.425357318013337e-10,2.340515924944243e-19
200,0.00794328234724282,2.161601986227402e-10,1.8591378829708788e-19
200,0.01,1.926529799846326e-10,1.4767657126463042e-19
200,0.012589254117941687,1.7170214939267272e-10,1.173036701573558e-19
200,0.01584893192461114,1.530297020748485e-10,9.3177617235958e-20
200,0.01995262314968879,1.363878660295803e-10,7.401361220627516e-20
200,0.025118864315095822,1.21555814245366e-10,5.87911019185787e-20
200,0.03162277660168379,1.0833673446554579e-10,4.6699432190884456e-20
200,0.039810717055349776,9.655521761635073e-11,3.709467751769573e-20
200,0.05011872336272725,8.605493024512393e-11,2.9465349688750294e-20
200,0.06309573444801943,7.669654008459077e-11,2.3405159176671992e-20
200,0.07943282347242822,6.835586721839194e-11,1.8591378738096255e-20
200,0.1,6.092223631738346e-11,1.4767657011129697e-20
200,0.12589254117941687,5.4297008085298025e-11,1.1730366870539481e-20
200,0.15848931924611143,4.839227043176677e-11,9.317761540804692e-21
200,0.19952623149688828,4.3129672012176314e-11,7.401360990507047e-21
200,0.25118864315095824,3.8439382665771073e-11,5.879109902153213e-21
200,0.31622776601683794,3.425916697124286e-11,4.6699428543715525e-21
200,0.39810717055349776,3.053355864566484e-11,3.709467292617535e-21
200,0.5011872336272725,2.7213124858686648e-11,2.946534390835521e-21
200,0.6309573444801942,2.4253810738238714e-11,2.3405151899558935e-21
200,0.7943282347242822,2.1616355423939135e-11,1.8591369576700244e-21
200,1.,1.926577199621728e-11,1.476764547750877e-21
220,1.e-6,2.0274994801093235e-8,1.799178814152191e-15
220,1.2589254117941661e-6,1.8070108137131167e-8,1.4291385313988372e-15
220,1.584893192461114e-6,1.6105000829396372e-8,1.1352050868224892e-15
220,1.9952623149688787e-6,1.4353597097844274e-8,9.017254526657334e-16
220,2.5118864315095823e-6,1.2792656879047507e-8,7.162659870219246e-16
220,3.162277660168379e-6,1.1401467444674209e-8,5.689502970641708e-16
220,3.981071705534969e-6,1.0161568556167253e-8,4.519332851128388e-16
220,5.011872336272725e-6,9.056507508594431e-9,3.5898336857682625e-16
220,6.30957344480193e-6,8.071620813250103e-9,2.8515062545700674e-16
220,7.943282347242822e-6,7.193839622069019e-9,2.2650319294978867e-16
220,0.00001,6.4115163119527295e-9,1.7991788141521904e-16
220,0.000012589254117941661,5.714269927887692e-9,1.429138531398837e-16
220,0.00001584893192461114,5.092848433979362e-9,1.1352050868224885e-16
220,0.000019952623149688786,4.539005944557099e-9,9.01725452665733e-17
220,0.000025118864315095822,4.045393306281178e-9,7.162659870219242e-17
220,0.000031622776601683795,3.605460579343104e-9,5.689502970641706e-17
220,0.000039810717055349695,3.2133701237438184e-9,4.519332851128383e-17
220,0.00005011872336272725,2.8639191373576808e-9,3.589833685768258e-17
220,0.00006309573444801929,2.5524706179092975e-9,2.851506254570061e-17
220,0.00007943282347242822,2.2748918327705892e-9,2.2650319294978785e-17
220,0.0001,2.0274994801097363e-9,1.79917881415218e-17
220,0.00012589254117941674,1.8070108137136987e-9,1.429138531398822e-17
220,0.00015848931924611142,1.610500082940461e-9,1.135205086822472e-17
220,0.0001995262314968881,1.43535970978559e-9,9.01725452665711e-18
220,0.0002511886431509582,1.2792656879063944e-9,7.162659870218977e-18
220,0.00031622776601683794,1.1401467444697426e-9,5.6895029706413725e-18
220,0.00039810717055349735,1.0161568556200038e-9,4.519332851127955e-18
220,0.0005011872336272725,9.056507508640749e-10,3.589833685767724e-18
220,0.0006309573444801936,8.071620813315526e-10,2.8515062545693877e-18
220,0.0007943282347242822,7.19383962216144e-10,2.265031929497035e-18
220,0.001,6.411516312083276e-10,1.7991788141511187e-18
220,0.0012589254117941675,5.714269928072091e-10,1.4291385313974866e-18
220,0.001584893192461114,5.092848434239837e-10,1.1352050868207905e-18
220,0.0019952623149688807,4.5390059449250274e-10,9.017254526635939e-19
220,0.002511886431509582,4.045393306800895e-10,7.162659870192326e-19
220,0.0031622776601683794,3.6054605800772225e-10,5.689502970607819e-19
220,0.003981071705534973,3.213370124780787e-10,4.51933285108572e-19
220,0.005011872336272725,2.86391913882244e-10,3.589833685714552e-19
220,0.006309573444801936,2.5524706199783237e-10,2.8515062545024464e-19
220,0.00794328234724282,2.2748918356931676e-10,2.265031929412761e-19
220,0.01,2.0274994842379887e-10,1.7991788140450238e-19
220,0.012589254117941687,1.8070108195450093e-10,1.429138531263919e-19
