deltaM;channel;partialWidth;fpi
1.0000E-01;~H+ -> u,D,~X;3.9435E-18;0
1.0000E-01;~H+ -> ne,E,~X;1.4527E-18;0
1.0000E-01;~H+ -> u,D,~X;3.9435E-18;1
1.0000E-01;~H+ -> ne,E,~X;1.4527E-18;1
1.0000E-01;total;5.3962E-18;-1
1.5000E-01;~H+ -> u,D,~X;3.1654E-17;0
1.5000E-01;~H+ -> ne,E,~X;1.1030E-17;0
1.5000E-01;~H+ -> nm,M,~X;6.9695E-19;0
1.5000E-01;~H+ -> u,D,~H3;9.0051E-20;0
1.5000E-01;~H+ -> ne,E,~H3;4.5403E-20;0
1.5000E-01;~H+ -> ~X,pi+;4.4872E-16;1
1.5000E-01;total;4.4872E-16;-1
2.0000E-01;~H+ -> u,D,~X;1.3598E-16;0
2.0000E-01;~H+ -> ne,E,~X;4.6472E-17;0
2.0000E-01;~H+ -> nm,M,~X;1.1606E-17;0
2.0000E-01;~H+ -> u,D,~H3;3.9435E-18;0
2.0000E-01;~H+ -> ne,E,~H3;1.4527E-18;0
2.0000E-01;~H+ -> ~X,pi+;2.0815E-15;1
2.0000E-01;total;2.0815E-15;-1
2.5000E-01;~H+ -> u,D,~X;4.1867E-16;0
2.5000E-01;~H+ -> ne,E,~X;1.4180E-16;0
2.5000E-01;~H+ -> nm,M,~X;5.9887E-17;0
2.5000E-01;~H+ -> u,D,~H3;3.1654E-17;0
2.5000E-01;~H+ -> ne,E,~H3;1.1030E-17;0
2.5000E-01;~H+ -> nm,M,~H3;6.9695E-19;0
2.5000E-01;~H+ -> ~X,pi+;4.7089E-15;1
2.5000E-01;total;4.7089E-15;-1
3.0000E-01;~H+ -> u,D,~X;1.0467E-15;0
3.0000E-01;~H+ -> ne,E,~X;3.5279E-16;0
3.0000E-01;~H+ -> nm,M,~X;1.9485E-16;0
3.0000E-01;~H+ -> u,D,~H3;1.3598E-16;0
3.0000E-01;~H+ -> ne,E,~H3;4.6472E-17;0
3.0000E-01;~H+ -> nm,M,~H3;1.1606E-17;0
3.0000E-01;~H+ -> ~X,pi+;8.6808E-15;1
3.0000E-01;total;8.6808E-15;-1
3.5000E-01;~H+ -> u,D,~X;2.2687E-15;0
3.5000E-01;~H+ -> ne,E,~X;7.6241E-16;0
3.5000E-01;~H+ -> nm,M,~X;4.9313E-16;0
3.5000E-01;~H+ -> u,D,~H3;4.1867E-16;0
3.5000E-01;~H+ -> ne,E,~H3;1.4180E-16;0
3.5000E-01;~H+ -> nm,M,~H3;5.9887E-17;0
3.5000E-01;~H+ -> ~X,pi+;1.4279E-14;1
3.5000E-01;total;1.4279E-14;-1
4.0000E-01;~H+ -> u,D,~X;4.4310E-15;0
4.0000E-01;~H+ -> ne,E,~X;1.4862E-15;0
4.0000E-01;~H+ -> nm,M,~X;1.0641E-15;0
4.0000E-01;~H+ -> u,D,~H3;1.0467E-15;0
4.0000E-01;~H+ -> ne,E,~H3;3.5279E-16;0
4.0000E-01;~H+ -> nm,M,~H3;1.9485E-16;0
4.0000E-01;~H+ -> ~X,pi+;2.1779E-14;1
4.0000E-01;total;2.1779E-14;-1
4.5000E-01;~H+ -> u,D,~X;7.9940E-15;0
4.5000E-01;~H+ -> ne,E,~X;2.6778E-15;0
4.5000E-01;~H+ -> u,D,~H3;2.2687E-15;0
4.5000E-01;~H+ -> nm,M,~X;2.0551E-15;0
4.5000E-01;~H+ -> ne,E,~H3;7.6241E-16;0
4.5000E-01;~H+ -> nm,M,~H3;4.9313E-16;0
4.5000E-01;~H+ -> ~X,pi+;3.1452E-14;1
4.5000E-01;total;3.1452E-14;-1
5.0000E-01;~H+ -> u,D,~X;1.3549E-14;0
5.0000E-01;~H+ -> ne,E,~X;4.5343E-15;0
5.0000E-01;~H+ -> u,D,~H3;4.4310E-15;0
5.0000E-01;~H+ -> nm,M,~X;3.6570E-15;0
5.0000E-01;~H+ -> ne,E,~H3;1.4862E-15;0
5.0000E-01;~H+ -> nm,M,~H3;1.0641E-15;0
5.0000E-01;~H+ -> ~X,pi+;4.3572E-14;1
5.0000E-01;total;4.3572E-14;-1
5.5000E-01;~H+ -> u,D,~X;2.1832E-14;0
5.5000E-01;~H+ -> u,D,~H3;7.9940E-15;0
5.5000E-01;~H+ -> ne,E,~X;7.3014E-15;0
5.5000E-01;~H+ -> nm,M,~X;6.1096E-15;0
5.5000E-01;~H+ -> ne,E,~H3;2.6778E-15;0
5.5000E-01;~H+ -> nm,M,~H3;2.0551E-15;0
5.5000E-01;~H+ -> ~X,pi+;5.8410E-14;1
5.5000E-01;total;5.8410E-14;-1
6.0000E-01;~H+ -> u,D,~X;3.3745E-14;0
