deltaM;channel;partialWidth;fpi
6.0000E-01;~H+ -> u,D,~H3;1.3549E-14;0
6.0000E-01;~H+ -> ne,E,~X;1.1279E-14;0
6.0000E-01;~H+ -> nm,M,~X;9.7070E-15;0
6.0000E-01;~H+ -> ne,E,~H3;4.5343E-15;0
6.0000E-01;~H+ -> nm,M,~H3;3.6570E-15;0
6.0000E-01;~H+ -> ~X,pi+;7.6237E-14;1
6.0000E-01;total;7.6237E-14;-1
6.5000E-01;~H+ -> u,D,~X;5.0365E-14;0
6.5000E-01;~H+ -> u,D,~H3;2.1832E-14;0
6.5000E-01;~H+ -> ne,E,~X;1.6828E-14;0
6.5000E-01;~H+ -> nm,M,~X;1.4803E-14;0
6.5000E-01;~H+ -> ne,E,~H3;7.3014E-15;0
6.5000E-01;~H+ -> nm,M,~H3;6.1096E-15;0
6.5000E-01;~H+ -> ~X,pi+;9.7323E-14;1
6.5000E-01;total;9.7323E-14;-1
7.0000E-01;~H+ -> u,D,~X;7.2968E-14;0
7.0000E-01;~H+ -> u,D,~H3;3.3745E-14;0
7.0000E-01;~H+ -> ne,E,~X;2.4372E-14;0
7.0000E-01;~H+ -> nm,M,~X;2.1816E-14;0
7.0000E-01;~H+ -> ne,E,~H3;1.1279E-14;0
7.0000E-01;~H+ -> nm,M,~H3;9.7070E-15;0
7.0000E-01;~H+ -> ~X,pi+;1.2194E-13;1
7.0000E-01;total;1.2194E-13;-1
7.5000E-01;~H+ -> u,D,~X;1.0304E-13;0
7.5000E-01;~H+ -> u,D,~H3;5.0365E-14;0
7.5000E-01;~H+ -> ne,E,~X;3.4407E-14;0
7.5000E-01;~H+ -> nm,M,~X;3.1235E-14;0
7.5000E-01;~H+ -> ne,E,~H3;1.6828E-14;0
7.5000E-01;~H+ -> nm,M,~H3;1.4803E-14;0
7.5000E-01;~H+ -> ~X,pi+;1.5036E-13;1
7.5000E-01;total;1.5036E-13;-1
8.0000E-01;~H+ -> u,D,~X;1.4229E-13;0
8.0000E-01;~H+ -> u,D,~H3;7.2968E-14;0
8.0000E-01;~H+ -> ne,E,~X;4.7504E-14;0
8.0000E-01;~H+ -> nm,M,~X;4.3626E-14;0
8.0000E-01;~H+ -> ne,E,~H3;2.4372E-14;0
8.0000E-01;~H+ -> nm,M,~H3;2.1816E-14;0
8.0000E-01;~H+ -> c,S,~X;1.0208E-15;0
8.0000E-01;~H+ -> ~X,pi+;1.8285E-13;1
8.0000E-01;total;1.8285E-13;-1
8.5000E-01;~H+ -> u,D,~X;1.9268E-13;0
8.5000E-01;~H+ -> u,D,~H3;1.0304E-13;0
8.5000E-01;~H+ -> ne,E,~X;6.4315E-14;0
8.5000E-01;~H+ -> nm,M,~X;5.9634E-14;0
8.5000E-01;~H+ -> ne,E,~H3;3.4407E-14;0
8.5000E-01;~H+ -> nm,M,~H3;3.1235E-14;0
8.5000E-01;~H+ -> c,S,~X;5.1990E-15;0
8.5000E-01;~H+ -> ~X,pi+;2.1968E-13;1
8.5000E-01;total;2.1968E-13;-1
9.0000E-01;~H+ -> u,D,~X;2.5642E-13;0
9.0000E-01;~H+ -> u,D,~H3;1.4229E-13;0
9.0000E-01;~H+ -> ne,E,~X;8.5580E-14;0
9.0000E-01;~H+ -> nm,M,~X;7.9993E-14;0
9.0000E-01;~H+ -> ne,E,~H3;4.7504E-14;0
9.0000E-01;~H+ -> nm,M,~H3;4.3626E-14;0
9.0000E-01;~H+ -> c,S,~X;1.4128E-14;0
9.0000E-01;~H+ -> c,S,~H3;1.0212E-15;0
9.0000E-01;~H+ -> ~X,pi+;2.6112E-13;1
9.0000E-01;total;2.6112E-13;-1
9.5000E-01;~H+ -> u,D,~X;3.3601E-13;0
9.5000E-01;~H+ -> u,D,~H3;1.9268E-13;0
9.5000E-01;~H+ -> ne,E,~X;1.1213E-13;0
9.5000E-01;~H+ -> nm,M,~X;1.0553E-13;0
9.5000E-01;~H+ -> ne,E,~H3;6.4315E-14;0
9.5000E-01;~H+ -> nm,M,~H3;5.9634E-14;0
9.5000E-01;~H+ -> c,S,~X;2.9684E-14;0
9.5000E-01;~H+ -> c,S,~H3;5.2001E-15;0
9.5000E-01;~H+ -> ~X,pi+;3.0745E-13;1
9.5000E-01;total;3.0745E-13;-1
1.0000E+00;~H+ -> u,D,~X;4.3424E-13;0
1.0000E+00;~H+ -> u,D,~H3;2.5642E-13;0
1.0000E+00;~H+ -> ne,E,~X;1.4489E-13;0
1.0000E+00;~H+ -> nm,M,~X;1.3716E-13;0
1.0000E+00;~H+ -> ne,E,~H3;8.5580E-14;0
1.0000E+00;~H+ -> nm,M,~H3;7.9993E-14;0
1.0000E+00;~H+ -> c,S,~X;5.4041E-14;0
1.0000E+00;~H+ -> c,S,~H3;1.4130E-14;0
1.0000E+00;~H+ -> ~X,pi+;3.5892E-13;1
1.0000E+00;total;3.5892E-13;-1
1.0500E+00;~H+ -> u,D,~X;5.5418E-13;0
1.0500E+00;~H+ -> u,D,~H3;3.3601E-13;0
1.0500E+00;~H+ -> ne,E,~X;1.8489E-13;0
1.0500E+00;~H+ -> nm,M,~X;1.7591E-13;0
1.0500E+00;~H+ -> ne,E,~H3;1.1213E-13;0
1.0500E+00;~H+ -> nm,M,~H3;1.0553E-13;0
1.0500E+00;~H+ -> c,S,~X;8.9688E-14;0
1.0500E+00;~H+ -> c,S,~H3;2.9687E-14;0
1.0500E+00;~H+ -> ~X,pi+;4.1582E-13;1
1.0500E+00;total;4.1582E-13;-1
1.1000E+00;~H+ -> u,D,~X;6.9927E-13;0
1.1000E+00;~H+ -> u,D,~H3;4.3424E-13;0
1.1000E+00;~H+ -> ne,E,~X;2.3328E-13;0
1.1000E+00;~H+ -> nm,M,~X;2.2293E-13;0
1.1000E+00;~H+ -> ne,E,~H3;1.4489E-13;0
1.1000E+00;~H+ -> c,S,~X;1.3944E-13;0
1.1000E+00;~H+ -> nm,M,~H3;1.3716E-13;0
1.1000E+00;~H+ -> c,S,~H3;5.4045E-14;0
1.1000E+00;~H+ -> ~X,pi+;4.7841E-13;1
1.1000E+00;total;4.7841E-13;-1
1.1500E+00;~H+ -> u,D,~X;8.7325E-13;0
1.1500E+00;~H+ -> u,D,~H3;5.5418E-13;0
1.1500E+00;~H+ -> ne,E,~X;2.9130E-13;0
1.1500E+00;~H+ -> nm,M,~X;2.7944E-13;0
1.1500E+00;~H+ -> c,S,~X;2.0647E-13;0
1.1500E+00;~H+ -> ne,E,~H3;1.8489E-13;0
1.1500E+00;~H+ -> nm,M,~H3;1.7591E-13;0
1.1500E+00;~H+ -> c,S,~H3;8.9694E-14;0
1.1500E+00;~H+ -> ~X,pi+;5.4695E-13;1
1.1500E+00;total;5.4695E-13;-1
1.2000E+00;~H+ -> u,D,~X;1.0802E-12;0
1.2000E+00;~H+ -> u,D,~H3;6.9927E-13;0
1.2000E+00;~H+ -> ne,E,~X;3.6033E-13;0
1.2000E+00;~H+ -> nm,M,~X;3.4682E-13;0
1.2000E+00;~H+ -> c,S,~X;2.9430E-13;0
1.2000E+00;~H+ -> ne,E,~H3;2.3328E-13;0
1.2000E+00;~H+ -> nm,M,~H3;2.2293E-13;0
1.2000E+00;~H+ -> c,S,~H3;1.3945E-13;0
1.2000E+00;~H+ -> ~X,pi+;6.2173E-13;1
1.2000E+00;total;6.2173E-13;-1
1.2500E+00;~H+ -> u,D,~X;1.3247E-12;0
1.2500E+00;~H+ -> u,D,~H3;8.7325E-13;0
1.2500E+00;~H+ -> ne,E,~X;4.4186E-13;0
1.2500E+00;~H+ -> nm,M,~X;4.2655E-13;0
1.2500E+00;~H+ -> c,S,~X;4.0681E-13;0
1.2500E+00;~H+ -> ne,E,~H3;2.9130E-13;0
1.2500E+00;~H+ -> nm,M,~H3;2.7944E-13;0
1.2500E+00;~H+ -> c,S,~H3;2.0648E-13;0
1.2500E+00;~H+ -> ~X,pi+;7.0300E-13;1
1.2500E+00;total;7.0300E-13;-1
1.3000E+00;~H+ -> u,D,~X;1.6116E-12;0
1.3000E+00;~H+ -> u,D,~H3;1.0802E-12;0
1.3000E+00;~H+ -> c,S,~X;5.4831E-13;0
1.3000E+00;~H+ -> ne,E,~X;5.3751E-13;0
1.3000E+00;~H+ -> nm,M,~X;5.2027E-13;0
1.3000E+00;~H+ -> ne,E,~H3;3.6033E-13;0
1.3000E+00;~H+ -> nm,M,~H3;3.4682E-13;0
1.3000E+00;~H+ -> c,S,~H3;2.9431E-13;0
1.3000E+00;~H+ -> ~X,pi+;7.9104E-13;1
1.3000E+00;total;7.9104E-13;-1
1.3500E+00;~H+ -> u,D,~X;1.9461E-12;0
1.3500E+00;~H+ -> u,D,~H3;1.3247E-12;0
1.3500E+00;~H+ -> c,S,~X;7.2350E-13;0
1.3500E+00;~H+ -> ne,E,~X;6.4905E-13;0
1.3500E+00;~H+ -> nm,M,~X;6.2971E-13;0
1.3500E+00;~H+ -> ne,E,~H3;4.4186E-13;0
1.3500E+00;~H+ -> nm,M,~H3;4.2655E-13;0
1.3500E+00;~H+ -> c,S,~H3;4.0683E-13;0
1.3500E+00;~H+ -> ~X,pi+;8.8611E-13;1
1.3500E+00;total;8.8611E-13;-1
1.4000E+00;~H+ -> u,D,~X;2.3340E-12;0
1.4000E+00;~H+ -> u,D,~H3;1.6116E-12;0
1.4000E+00;~H+ -> c,S,~X;9.3748E-13;0
1.4000E+00;~H+ -> ne,E,~X;7.7838E-13;0
1.4000E+00;~H+ -> nm,M,~X;7.5677E-13;0
1.4000E+00;~H+ -> c,S,~H3;5.4833E-13;0
1.4000E+00;~H+ -> ne,E,~H3;5.3751E-13;0
1.4000E+00;~H+ -> nm,M,~H3;5.2027E-13;0
1.4000E+00;~H+ -> ~X,pi+;9.8848E-13;1
1.4000E+00;total;9.8848E-13;-1
1.4500E+00;~H+ -> u,D,~X;2.7813E-12;0
1.4500E+00;~H+ -> u,D,~H3;1.9461E-12;0
1.4500E+00;~H+ -> c,S,~X;1.1958E-12;0
1.4500E+00;~H+ -> ne,E,~X;9.2754E-13;0
1.4500E+00;~H+ -> nm,M,~X;9.0350E-13;0
1.4500E+00;~H+ -> c,S,~H3;7.2352E-13;0
1.4500E+00;~H+ -> ne,E,~H3;6.4905E-13;0
1.4500E+00;~H+ -> nm,M,~H3;6.2971E-13;0
1.4500E+00;~H+ -> ~X,pi+;1.0984E-12;1
1.4500E+00;total;1.0984E-12;-1
1.5000E+00;~H+ -> u,D,~X;3.2947E-12;0
1.5000E+00;~H+ -> u,D,~H3;2.3340E-12;0
1.5000E+00;~H+ -> c,S,~X;1.5046E-12;0
1.5000E+00;~H+ -> ne,E,~X;1.0987E-12;0
1.5000E+00;~H+ -> nm,M,~X;1.0721E-12;0
1.5000E+00;~H+ -> c,S,~H3;9.3751E-13;0
1.5000E+00;~H+ -> ne,E,~H3;7.7838E-13;0
1.5000E+00;~H+ -> nm,M,~H3;7.5677E-13;0
1.5000E+00;~H+ -> ~X,pi+;1.2162E-12;1
1.5000E+00;total;1.1777E-11;-1
1.5500E+00;~H+ -> u,D,~X;3.8813E-12;0
1.5500E+00;~H+ -> u,D,~H3;2.7813E-12;0
1.5500E+00;~H+ -> c,S,~X;1.8701E-12;0
1.5500E+00;~H+ -> ne,E,~X;1.2943E-12;0
1.5500E+00;~H+ -> nm,M,~X;1.2649E-12;0
1.5500E+00;~H+ -> c,S,~H3;1.1959E-12;0
1.5500E+00;~H+ -> ne,E,~H3;9.2754E-13;0
1.5500E+00;~H+ -> nm,M,~H3;9.0350E-13;0
1.5500E+00;~H+ -> ~X,pi+;1.3421E-12;1
1.5500E+00;total;1.4119E-11;-1
1.6000E+00;~H+ -> u,D,~X;4.5485E-12;0
1.6000E+00;~H+ -> u,D,~H3;3.2947E-12;0
1.6000E+00;~H+ -> c,S,~X;2.2995E-12;0
1.6000E+00;~H+ -> ne,E,~X;1.5168E-12;0
1.6000E+00;~H+ -> c,S,~H3;1.5046E-12;0
1.6000E+00;~H+ -> nm,M,~X;1.4843E-12;0
1.6000E+00;~H+ -> ne,E,~H3;1.0987E-12;0
1.6000E+00;~H+ -> nm,M,~H3;1.0721E-12;0
1.6000E+00;~H+ -> ~X,pi+;1.4764E-12;1
1.6000E+00;total;1.6819E-11;-1
1.6500E+00;~H+ -> u,D,~X;5.3045E-12;0
1.6500E+00;~H+ -> u,D,~H3;3.8813E-12;0
1.6500E+00;~H+ -> c,S,~X;2.8002E-12;0
1.6500E+00;~H+ -> c,S,~H3;1.8702E-12;0
1.6500E+00;~H+ -> ne,E,~X;1.7688E-12;0
1.6500E+00;~H+ -> nm,M,~X;1.7332E-12;0
1.6500E+00;~H+ -> ne,E,~H3;1.2943E-12;0
1.6500E+00;~H+ -> nm,M,~H3;1.2649E-12;0
1.6500E+00;~H+ -> ~X,pi+;1.6193E-12;1
1.6500E+00;total;1.9917E-11;-1
1.7000E+00;~H+ -> u,D,~X;6.1577E-12;0
1.7000E+00;~H+ -> u,D,~H3;4.5485E-12;0
1.7000E+00;~H+ -> c,S,~X;3.3802E-12;0
1.7000E+00;~H+ -> c,S,~H3;2.2996E-12;0
1.7000E+00;~H+ -> ne,E,~X;2.0533E-12;0
1.7000E+00;~H+ -> nm,M,~X;2.0143E-12;0
1.7000E+00;~H+ -> ne,E,~H3;1.5168E-12;0
1.7000E+00;~H+ -> nm,M,~H3;1.4843E-12;0
1.7000E+00;~H+ -> ~X,pi+;1.7711E-12;1
1.7000E+00;total;2.3455E-11;-1
1.7500E+00;~H+ -> u,D,~X;7.1173E-12;0
1.7500E+00;~H+ -> u,D,~H3;5.3045E-12;0
1.7500E+00;~H+ -> c,S,~X;4.0480E-12;0
1.7500E+00;~H+ -> c,S,~H3;2.8003E-12;0
1.7500E+00;~H+ -> ne,E,~X;2.3732E-12;0
1.7500E+00;~H+ -> nm,M,~X;2.3307E-12;0
1.7500E+00;~H+ -> ne,E,~H3;1.7688E-12;0
1.7500E+00;~H+ -> nm,M,~H3;1.7332E-12;0
1.7500E+00;~H+ -> ~X,pi+;1.9321E-12;1
1.7500E+00;total;2.7476E-11;-1
1.8000E+00;~H+ -> u,D,~X;8.1929E-12;0
1.8000E+00;~H+ -> u,D,~H3;6.1577E-12;0
1.8000E+00;~H+ -> c,S,~X;4.8127E-12;0
1.8000E+00;~H+ -> c,S,~H3;3.3803E-12;0
1.8000E+00;~H+ -> ne,E,~X;2.7318E-12;0
1.8000E+00;~H+ -> nm,M,~X;2.6855E-12;0
1.8000E+00;~H+ -> ne,E,~H3;2.0533E-12;0
1.8000E+00;~H+ -> nm,M,~H3;2.0143E-12;0
1.8000E+00;~H+ -> nl,L,~X;4.1064E-18;0
1.8000E+00;~H+ -> ~X,pi+;2.1025E-12;1
1.8000E+00;total;3.2028E-11;-1
1.8500E+00;~H+ -> u,D,~X;9.3946E-12;0
1.8500E+00;~H+ -> u,D,~H3;7.1173E-12;0
1.8500E+00;~H+ -> c,S,~X;5.6839E-12;0
1.8500E+00;~H+ -> c,S,~H3;4.0481E-12;0
1.8500E+00;~H+ -> ne,E,~X;3.1324E-12;0
1.8500E+00;~H+ -> nm,M,~X;3.0821E-12;0
1.8500E+00;~H+ -> ne,E,~H3;2.3732E-12;0
1.8500E+00;~H+ -> nm,M,~H3;2.3307E-12;0
1.8500E+00;~H+ -> nl,L,~X;2.3661E-16;0
1.8500E+00;~H+ -> ~X,pi+;2.2827E-12;1
1.8500E+00;total;3.7163E-11;-1
1.9000E+00;~H+ -> u,D,~X;1.0733E-11;0
1.9000E+00;~H+ -> u,D,~H3;8.1929E-12;0
1.9000E+00;~H+ -> c,S,~X;6.6719E-12;0
1.9000E+00;~H+ -> c,S,~H3;4.8128E-12;0
1.9000E+00;~H+ -> ne,E,~X;3.5788E-12;0
1.9000E+00;~H+ -> nm,M,~X;3.5243E-12;0
1.9000E+00;~H+ -> ne,E,~H3;2.7318E-12;0
1.9000E+00;~H+ -> nm,M,~H3;2.6855E-12;0
1.9000E+00;~H+ -> nl,L,~X;1.4861E-15;0
1.9000E+00;~H+ -> nl,L,~H3;4.1064E-18;0
1.9000E+00;~H+ -> ~X,pi+;2.4728E-12;1
1.9000E+00;total;4.2933E-11;-1
1.9500E+00;~H+ -> u,D,~X;1.2221E-11;0
1.9500E+00;~H+ -> u,D,~H3;9.3947E-12;0
1.9500E+00;~H+ -> c,S,~X;7.7874E-12;0
1.9500E+00;~H+ -> c,S,~H3;5.6840E-12;0
1.9500E+00;~H+ -> ne,E,~X;4.0746E-12;0
1.9500E+00;~H+ -> nm,M,~X;4.0156E-12;0
1.9500E+00;~H+ -> ne,E,~H3;3.1324E-12;0
1.9500E+00;~H+ -> nm,M,~H3;3.0821E-12;0
1.9500E+00;~H+ -> nl,L,~X;4.9598E-15;0
1.9500E+00;~H+ -> nl,L,~H3;2.3661E-16;0
1.9500E+00;~H+ -> ~X,pi+;2.6732E-12;1
1.9500E+00;total;4.9397E-11;-1
2.0000E+00;~H+ -> u,D,~X;1.3868E-11;0
2.0000E+00;~H+ -> u,D,~H3;1.0733E-11;0
2.0000E+00;~H+ -> c,S,~X;9.0419E-12;0
2.0000E+00;~H+ -> c,S,~H3;6.6720E-12;0
2.0000E+00;~H+ -> ne,E,~X;4.6238E-12;0
2.0000E+00;~H+ -> nm,M,~X;4.5602E-12;0
2.0000E+00;~H+ -> ne,E,~H3;3.5788E-12;0
2.0000E+00;~H+ -> nm,M,~H3;3.5243E-12;0
2.0000E+00;~H+ -> nl,L,~X;1.2197E-14;0
2.0000E+00;~H+ -> nl,L,~H3;1.4861E-15;0
2.0000E+00;~H+ -> ~X,pi+;2.8841E-12;1
2.0000E+00;total;5.6616E-11;-1
2.0500E+00;~H+ -> u,D,~X;1.5689E-11;0
2.0500E+00;~H+ -> u,D,~H3;1.2221E-11;0
2.0500E+00;~H+ -> c,S,~X;1.0447E-11;0
2.0500E+00;~H+ -> c,S,~H3;7.7875E-12;0
2.0500E+00;~H+ -> ne,E,~X;5.2308E-12;0
2.0500E+00;~H+ -> nm,M,~X;5.1622E-12;0
2.0500E+00;~H+ -> ne,E,~H3;4.0746E-12;0
2.0500E+00;~H+ -> nm,M,~H3;4.0156E-12;0
2.0500E+00;~H+ -> nl,L,~X;2.5039E-14;0
2.0500E+00;~H+ -> nl,L,~H3;4.9598E-15;0
2.0500E+00;~H+ -> ~X,pi+;3.1057E-12;1
2.0500E+00;total;6.4657E-11;-1
2.1000E+00;~H+ -> u,D,~X;1.7695E-11;0
2.1000E+00;~H+ -> u,D,~H3;1.3868E-11;0
2.1000E+00;~H+ -> c,S,~X;1.2017E-11;0
2.1000E+00;~H+ -> c,S,~H3;9.0420E-12;0
2.1000E+00;~H+ -> ne,E,~X;5.8998E-12;0
2.1000E+00;~H+ -> nm,M,~X;5.8260E-12;0
2.1000E+00;~H+ -> ne,E,~H3;4.6238E-12;0
2.1000E+00;~H+ -> nm,M,~H3;4.5602E-12;0
2.1000E+00;~H+ -> nl,L,~X;4.5613E-14;0
2.1000E+00;~H+ -> nl,L,~H3;1.2197E-14;0
2.1000E+00;~H+ -> ~X,pi+;3.3384E-12;1
2.1000E+00;total;7.3590E-11;-1
2.1500E+00;~H+ -> u,D,~X;1.9902E-11;0
2.1500E+00;~H+ -> u,D,~H3;1.5689E-11;0
2.1500E+00;~H+ -> c,S,~X;1.3763E-11;0
2.1500E+00;~H+ -> c,S,~H3;1.0448E-11;0
2.1500E+00;~H+ -> ne,E,~X;6.6355E-12;0
2.1500E+00;~H+ -> nm,M,~X;6.5563E-12;0
2.1500E+00;~H+ -> ne,E,~H3;5.2308E-12;0
2.1500E+00;~H+ -> nm,M,~H3;5.1622E-12;0
2.1500E+00;~H+ -> nl,L,~X;7.6321E-14;0
2.1500E+00;~H+ -> nl,L,~H3;2.5039E-14;0
2.1500E+00;~H+ -> ~X,pi+;3.5825E-12;1
2.1500E+00;total;8.3488E-11;-1
2.2000E+00;~H+ -> u,D,~X;2.2324E-11;0
2.2000E+00;~H+ -> u,D,~H3;1.7695E-11;0
2.2000E+00;~H+ -> c,S,~X;1.5701E-11;0
2.2000E+00;~H+ -> c,S,~H3;1.2017E-11;0
2.2000E+00;~H+ -> ne,E,~X;7.4429E-12;0
2.2000E+00;~H+ -> nm,M,~X;7.3580E-12;0
2.2000E+00;~H+ -> ne,E,~H3;5.8998E-12;0
2.2000E+00;~H+ -> nm,M,~H3;5.8260E-12;0
2.2000E+00;~H+ -> nl,L,~X;1.1984E-13;0
2.2000E+00;~H+ -> nl,L,~H3;4.5613E-14;0
2.2000E+00;~H+ -> ~X,pi+;3.8380E-12;1
2.2000E+00;total;9.4429E-11;-1
2.2500E+00;~H+ -> u,D,~X;2.4976E-11;0
2.2500E+00;~H+ -> u,D,~H3;1.9902E-11;0
2.2500E+00;~H+ -> c,S,~X;1.7844E-11;0
2.2500E+00;~H+ -> c,S,~H3;1.3763E-11;0
2.2500E+00;~H+ -> ne,E,~X;8.3269E-12;0
2.2500E+00;~H+ -> nm,M,~X;8.2361E-12;0
2.2500E+00;~H+ -> ne,E,~H3;6.6355E-12;0
2.2500E+00;~H+ -> nm,M,~H3;6.5563E-12;0
2.2500E+00;~H+ -> nl,L,~X;1.7913E-13;0
2.2500E+00;~H+ -> nl,L,~H3;7.6322E-14;0
2.2500E+00;~H+ -> ~X,pi+;4.1055E-12;1
2.2500E+00;total;1.0650E-10;-1
2.3000E+00;~H+ -> u,D,~X;2.7874E-11;0
2.3000E+00;~H+ -> u,D,~H3;2.2324E-11;0
2.3000E+00;~H+ -> c,S,~X;2.0209E-11;0
2.3000E+00;~H+ -> c,S,~H3;1.5701E-11;0
2.3000E+00;~H+ -> ne,E,~X;9.2929E-12;0
2.3000E+00;~H+ -> nm,M,~X;9.1959E-12;0
2.3000E+00;~H+ -> ne,E,~H3;7.4429E-12;0
2.3000E+00;~H+ -> nm,M,~H3;7.3580E-12;0
2.3000E+00;~H+ -> nl,L,~X;2.5739E-13;0
2.3000E+00;~H+ -> nl,L,~H3;1.1984E-13;0
2.3000E+00;~H+ -> ~X,pi+;4.3850E-12;1
2.3000E+00;total;1.1977E-10;-1
2.3500E+00;~H+ -> u,D,~X;3.1034E-11;0
2.3500E+00;~H+ -> u,D,~H3;2.4976E-11;0
2.3500E+00;~H+ -> c,S,~X;2.2811E-11;0
2.3500E+00;~H+ -> c,S,~H3;1.7844E-11;0
2.3500E+00;~H+ -> ne,E,~X;1.0347E-11;0
2.3500E+00;~H+ -> nm,M,~X;1.0243E-11;0
2.3500E+00;~H+ -> ne,E,~H3;8.3269E-12;0
2.3500E+00;~H+ -> nm,M,~H3;8.2361E-12;0
2.3500E+00;~H+ -> nl,L,~X;3.5813E-13;0
2.3500E+00;~H+ -> nl,L,~H3;1.7913E-13;0
2.3500E+00;~H+ -> ~X,pi+;4.6769E-12;1
2.3500E+00;total;1.3436E-10;-1
2.4000E+00;~H+ -> u,D,~X;3.4475E-11;0
2.4000E+00;~H+ -> u,D,~H3;2.7874E-11;0
2.4000E+00;~H+ -> c,S,~X;2.5668E-11;0
2.4000E+00;~H+ -> c,S,~H3;2.0209E-11;0
