#Global results summary (2807 files)
#The most constraining analysis corresponds to the one with largest observed r.
#The most senstive (ATLAS/CMS) analysis corresponds to the one with largest expected r from those analyses for which this information is available.
#filename                                                 MostConstrainingAnalysis  r_max     r_exp     MostSensitive(ATLAS)  r(ATLAS)  r_exp(ATLAS)  MostSensitive(CMS)  r(CMS)    r_exp(CMS)
.DS_Store                                                 N/A                       -1        -1        N/A                   -1        -1            N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        2.06e-07  2.06e-07  ATLAS-SUSY-2016-32    2.06e-07  2.06e-07      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        2.08e-06  2.08e-06  ATLAS-SUSY-2016-32    2.08e-06  2.08e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00019952_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        6.64e-06  6.64e-06  ATLAS-SUSY-2016-32    6.64e-06  6.64e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0001_dm_5_la2_0.01_laL_0.01_.slha      ATLAS-SUSY-2016-32        8.7e-09   8.7e-09   ATLAS-SUSY-2016-32    8.7e-09   8.7e-09       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00025118_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        4.16e-05  4.16e-05  ATLAS-SUSY-2016-32    4.16e-05  4.16e-05      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.000127  0.000127  ATLAS-SUSY-2016-32    0.000127  0.000127      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.000312  0.000312  ATLAS-SUSY-2016-32    0.000312  0.000312      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.000908  0.000908  ATLAS-SUSY-2016-32    0.000908  0.000908      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00197   0.00197   ATLAS-SUSY-2016-32    0.00197   0.00197       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha  CMS-PAS-EXO-16-036        0.00361   -1        ATLAS-SUSY-2016-32    0.00358   0.00358       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.0129    -1        ATLAS-SUSY-2016-32    0.00919   0.00919       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.0201    -1        ATLAS-SUSY-2016-32    0.0132    0.0132        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.0287    -1        ATLAS-SUSY-2016-32    0.0172    0.0172        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha       CMS-PAS-EXO-16-036        0.00733   -1        ATLAS-SUSY-2016-32    0.00614   0.00614       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.0381    -1        ATLAS-SUSY-2016-32    0.0243    0.0243        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha   CMS-PAS-EXO-16-036        0.0477    -1        ATLAS-SUSY-2016-32    0.0339    0.0339        N/A                 -1        -1        
