#Global results summary (2807 files)
#The most constraining analysis corresponds to the one with largest observed r.
#The most senstive (ATLAS/CMS) analysis corresponds to the one with largest expected r from those analyses for which this information is available.
#filename                                                 MostConstrainingAnalysis  r_max     r_exp     MostSensitive(ATLAS)  r(ATLAS)  r_exp(ATLAS)  MostSensitive(CMS)  r(CMS)    r_exp(CMS)
.DS_Store                                                 N/A                       -1        -1        N/A                   -1        -1            N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        2.2e-07   2.2e-07   ATLAS-SUSY-2016-32    2.2e-07   2.2e-07       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        2.16e-06  2.16e-06  ATLAS-SUSY-2016-32    2.16e-06  2.16e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00019952_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        5.68e-06  5.68e-06  ATLAS-SUSY-2016-32    5.68e-06  5.68e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0001_dm_5_la2_0.01_laL_0.01_.slha      ATLAS-SUSY-2016-32        9.84e-09  9.84e-09  ATLAS-SUSY-2016-32    9.84e-09  9.84e-09      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00025118_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        4.47e-05  4.47e-05  ATLAS-SUSY-2016-32    4.47e-05  4.47e-05      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00016   0.00016   ATLAS-SUSY-2016-32    0.00016   0.00016       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.000297  0.000297  ATLAS-SUSY-2016-32    0.000297  0.000297      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.000943  0.000943  ATLAS-SUSY-2016-32    0.000943  0.000943      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00193   0.00193   ATLAS-SUSY-2016-32    0.00193   0.00193       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00307   0.00307   ATLAS-SUSY-2016-32    0.00307   0.00307       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.00825   0.00825   ATLAS-SUSY-2016-32    0.00825   0.00825       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0116    0.0116    ATLAS-SUSY-2016-32    0.0116    0.0116        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0192    0.0192    ATLAS-SUSY-2016-32    0.0192    0.0192        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha       ATLAS-SUSY-2016-32        0.00551   0.00551   ATLAS-SUSY-2016-32    0.00551   0.00551       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0271    0.0271    ATLAS-SUSY-2016-32    0.0271    0.0271        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0361    0.0361    ATLAS-SUSY-2016-32    0.0361    0.0361        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0463    0.0463    ATLAS-SUSY-2016-32    0.0463    0.0463        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0566    0.0566    ATLAS-SUSY-2016-32    0.0566    0.0566        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0063095_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0663    0.0663    ATLAS-SUSY-2016-32    0.0663    0.0663        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0754    0.0754    ATLAS-SUSY-2016-32    0.0754    0.0754        N/A                 -1        -1        
