#Global results summary (2806 files)
#The most constraining analysis corresponds to the one with largest observed r.
#The most senstive (ATLAS/CMS) analysis corresponds to the one with largest expected r from those analyses for which this information is available.
#filename                                                  MostConstrainingAnalysis  r_max     r_exp     MostSensitive(ATLAS)  r(ATLAS)  r_exp(ATLAS)  MostSensitive(CMS)  r(CMS)    r_exp(CMS)
IDM_mhc_1000_mn1_0.00012589_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        1.82e-07  1.82e-07  ATLAS-SUSY-2016-32    1.82e-07  1.82e-07      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        1.76e-06  1.76e-06  ATLAS-SUSY-2016-32    1.76e-06  1.76e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00019952_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        4.92e-06  4.92e-06  ATLAS-SUSY-2016-32    4.92e-06  4.92e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0001_dm_50_la2_0.01_laL_0.01_.slha      ATLAS-SUSY-2016-32        9.97e-09  9.97e-09  ATLAS-SUSY-2016-32    9.97e-09  9.97e-09      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00025118_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        3.74e-05  3.74e-05  ATLAS-SUSY-2016-32    3.74e-05  3.74e-05      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00031622_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.000135  0.000135  ATLAS-SUSY-2016-32    0.000135  0.000135      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.000255  0.000255  ATLAS-SUSY-2016-32    0.000255  0.000255      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00081   0.00081   ATLAS-SUSY-2016-32    0.00081   0.00081       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00063095_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00168   0.00168   ATLAS-SUSY-2016-32    0.00168   0.00168       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00079432_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00269   0.00269   ATLAS-SUSY-2016-32    0.00269   0.00269       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.00729   0.00729   ATLAS-SUSY-2016-32    0.00729   0.00729       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0015848_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.01      0.01      ATLAS-SUSY-2016-32    0.01      0.01          N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.015     0.015     ATLAS-SUSY-2016-32    0.015     0.015         N/A                 -1        -1        
IDM_mhc_1000_mn1_0.001_dm_50_la2_0.01_laL_0.01_.slha       ATLAS-SUSY-2016-32        0.00485   0.00485   ATLAS-SUSY-2016-32    0.00485   0.00485       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0025118_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0213    0.0213    ATLAS-SUSY-2016-32    0.0213    0.0213        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0287    0.0287    ATLAS-SUSY-2016-32    0.0287    0.0287        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.003981_dm_50_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.037     0.037     ATLAS-SUSY-2016-32    0.037     0.037         N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0050118_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0453    0.0453    ATLAS-SUSY-2016-32    0.0453    0.0453        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0063095_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0532    0.0532    ATLAS-SUSY-2016-32    0.0532    0.0532        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.0608    0.0608    ATLAS-SUSY-2016-32    0.0608    0.0608        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0755    0.0755    ATLAS-SUSY-2016-32    0.0755    0.0755        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.015848_dm_50_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.08      0.08      ATLAS-SUSY-2016-32    0.08      0.08          N/A                 -1        -1        
IDM_mhc_1000_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0844    0.0844    ATLAS-SUSY-2016-32    0.0844    0.0844        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha        ATLAS-SUSY-2016-32        0.0684    0.0684    ATLAS-SUSY-2016-32    0.0684    0.0684        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.025118_dm_50_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0888    0.0888    ATLAS-SUSY-2016-32    0.0888    0.0888        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.031622_dm_50_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.093     0.093     ATLAS-SUSY-2016-32    0.093     0.093         N/A                 -1        -1        
IDM_mhc_1000_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha     ATLAS-SUSY-2016-32        0.0956    0.0956    ATLAS-SUSY-2016-32    0.0956    0.0956        N/A                 -1        -1        
IDM_mhc_1000_mn1_0.050118_dm_50_la2_0.01_laL_0.01_.slha    ATLAS-SUSY-2016-32        0.0972    0.0972    ATLAS-SUSY-2016-32    0.0972    0.0972        N/A                 -1        -1        
