,mA0,mHc,mH0,deltaM,dHc,rmax,ana,topo,bestTx,pions
0,217.1472,187.2053,187.0657,0.1396000000000015,24.822529373168962,17.35847,ATLAS-SUSY-2016-32,['THSCPM1b'],THSCPM1b,False
1,314.4089,299.9726,299.8332,0.13940000000002328,25.02559281372513,3.906569,ATLAS-SUSY-2016-32,['THSCPM1b'],THSCPM1b,False
2,215.3913,161.1239,160.9843,0.1396000000000015,6.400029186108815,4.230742,CMS-EXO-13-006,"['THSCPM1b', 'THSCPM2b', 'THSCPM9']",THSCPM2b,False
3,582.8513,441.9378,441.7987,0.1390999999999849,25.249424739096753,1.420405,CMS-EXO-13-006,"['THSCPM1b', 'THSCPM2b', 'THSCPM3', 'THSCPM4']",THSCPM2b,False
4,407.322,378.846,378.4708,0.37520000000000664,0.011087228434756615,0.001663786,ATLAS-SUSY-2016-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True
5,285.5043,228.5331,228.4751,0.057999999999992724,2055.4051512324872,20.37632,ATLAS-SUSY-2016-32,['THSCPM1b'],THSCPM1b,False
6,462.0716,357.2341,356.8795,0.3546000000000049,0.01326320926604604,0.004477821,ATLAS-SUSY-2016-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True
7,153.0596,145.3534,145.2463,0.10710000000000264,96.07605119988315,21.68703,CMS-EXO-13-006,"['THSCPM1b', 'THSCPM2b', 'THSCPM9']",THSCPM2b,False
8,209.8274,172.1314,172.0319,0.09950000000000614,139.82211170525906,33.30179,ATLAS-SUSY-2016-32,['THSCPM1b'],THSCPM1b,False
9,156.8748,140.8685,140.4956,0.37290000000001555,0.011334790225296045,0.1524022,ATLAS-SUSY-2016-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True
10,591.6897,471.9091,471.8279,0.08120000000002392,384.69818879052593,1.67356,ATLAS-SUSY-2016-32,['THSCPM1b'],THSCPM1b,False
11,202.7815,166.318,166.179,0.13900000000001,25.35400437913118,13.88783,ATLAS-SUSY-2016-32,['THSCPM1b'],THSCPM1b,False
12,559.2201,476.7913,476.6517,0.13959999999997308,8.156093832963329,0.4688198,CMS-EXO-13-006,"['THSCPM1b', 'THSCPM2b', 'THSCPM4']",THSCPM2b,True
13,407.0927,386.9262,386.7858,0.14039999999999964,1.7889116570592434,0.05260011,ATLAS-SUSY-2016-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True
14,301.1799,224.0401,223.9007,0.13939999999999486,6.434025662477709,3.183546,CMS-EXO-13-006,"['THSCPM1b', 'THSCPM2b', 'THSCPM9']",THSCPM2b,False
15,547.9626,411.6603,411.4661,0.19420000000002346,0.10666314004112505,0.1163394,ATLAS-SUSY-2016-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True
16,516.102,416.5303,416.3906,0.13970000000000482,4.712455955358058,0.4340357,CMS-EXO-13-006,"['THSCPM1b', 'THSCPM2b', 'THSCPM3', 'THSCPM4']",THSCPM2b,True
17,194.8494,163.7547,163.6103,0.14440000000001874,0.71163973968398,1.083701,ATLAS-SUSY-2016-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True
18,439.9816,369.5938,369.4534,0.14039999999999964,1.773806650632085,0.06145328,ATLAS-SUSY-2016-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True
19,278.389,276.7425,276.5526,0.18990000000002283,0.1169804920397485,0.4907304,ATLAS-SUSY-2016-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True
20,301.8068,280.2248,280.0858,0.13900000000001,25.391366833644753,4.847564,ATLAS-SUSY-2016-32,['THSCPM1b'],THSCPM1b,False
21,359.7728,267.8787,267.7394,0.13929999999999154,25.030329135248213,5.659,ATLAS-SUSY-2016-32,"['THSCPM1b', 'THSCPM3']",THSCPM1b,False
22,463.658,369.9905,369.8506,0.13990000000001146,3.303864323811976,0.3627776,CMS-EXO-13-006,"['THSCPM1b', 'THSCPM2b', 'THSCPM3', 'THSCPM4']",THSCPM1b,True
23,533.7802,432.7125,432.5467,0.16579999999999018,0.2204212505301547,0.1120505,ATLAS-SUSY-2016-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True
24,434.3472,333.0149,332.8754,0.13949999999999818,24.853625453997214,2.709881,ATLAS-SUSY-2016-32,['THSCPM1b'],THSCPM1b,False
25,299.4738,265.1868,265.0825,0.10430000000002337,109.85517085135737,10.17012,ATLAS-SUSY-2016-32,['THSCPM1b'],THSCPM1b,False
26,328.191,250.5187,250.379,0.13970000000000482,9.309630756524225,3.126035,CMS-EXO-13-006,"['THSCPM1b', 'THSCPM2b', 'THSCPM9']",THSCPM2b,True
27,531.6535,424.9337,424.7941,0.13959999999997308,13.568086518482863,1.282427,CMS-EXO-13-006,"['THSCPM1b', 'THSCPM2b', 'THSCPM3', 'THSCPM4']",THSCPM2b,True
28,247.6492,184.6081,184.5541,0.054000000000002046,2965.57271382806,36.85583,ATLAS-SUSY-2016-32,['THSCPM1b'],THSCPM1b,False
29,133.0621,131.9858,131.8292,0.15660000000002583,0.3116653844395537,2.843375,ATLAS-SUSY-2016-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True
30,444.3188,440.6343,440.496,0.1383000000000152,26.01466877425979,1.457973,CMS-EXO-13-006,"['THSCPM1b', 'THSCPM2b']",THSCPM2b,False
