mA0,mHc,mH0,deltaM,dHc,rmax,ana,rmaxDT,rmaxHSCP,topo,bestTx,pions,slha
270.0,220.0,219.8,0.19999999999998863,0.15848937761588913,1.015621,ATLAS-SUSY-2016-06,1.015621,1.03302e-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True,IDMsimple_mhc_220_dm_50_logctau_8_.slha
330.0,230.0,229.8,0.19999999999998863,0.025118863933970042,0.1718768,ATLAS-SUSY-2016-06,0.1718768,8.029933e-07,"['TDTM1S', 'TDTM2S']",TDTM1S,True,IDMsimple_mhc_230_dm_100_logctau_16_.slha
184.99,180.0,179.8,0.19999999999998863,0.0794328354263061,2.437691,ATLAS-SUSY-2016-06,2.437691,8.15027e-07,"['TDTM1S', 'TDTM2S']",TDTM1S,True,IDMsimple_mhc_180_dm_5_logctau_11_.slha
250.0,150.0,149.8,0.19999999999998863,0.09999999789969156,2.605775,ATLAS-SUSY-2016-06,2.605775,1.58552e-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True,IDMsimple_mhc_150_dm_100_logctau_10_.slha
300.0,200.0,199.8,0.19999999999998863,0.3162277490612852,1.121863,ATLAS-SUSY-2016-06,1.121863,7.819886e-06,"['TDTM1S', 'TDTM2S']",TDTM1S,True,IDMsimple_mhc_200_dm_100_logctau_5_.slha
225.0,125.0,124.8,0.20000000000000284,0.7943283542630609,1.770939,ATLAS-SUSY-2016-06,1.770939,0.007009776,"['TDTM1S', 'TDTM2S']",TDTM1S,True,IDMsimple_mhc_125_dm_100_logctau_1_.slha
165.0,115.0,114.8,0.20000000000000284,1.258925770821012,1.383367,ATLAS-SUSY-2016-06,1.383367,0.1262282,"['TDTM1S', 'TDTM2S']",TDTM1S,True,IDMsimple_mhc_115_dm_50_logctau1_.slha
210.0,160.0,159.8,0.19999999999998863,0.06309573582092272,1.81995,ATLAS-SUSY-2016-06,1.81995,9.527256e-07,"['TDTM1S', 'TDTM2S']",TDTM1S,True,IDMsimple_mhc_160_dm_50_logctau_12_.slha
345.0,245.0,244.8,0.19999999999998863,0.2511886393397004,0.7004035,ATLAS-SUSY-2016-06,0.7004035,2.829349e-07,"['TDTM1S', 'TDTM2S']",TDTM1S,True,IDMsimple_mhc_245_dm_100_logctau_6_.slha
305.0,205.0,204.8,0.19999999999998863,0.019952622524011848,0.162232,ATLAS-SUSY-2016-06,0.162232,5.18146e-07,"['TDTM1S', 'TDTM2S']",TDTM1S,True,IDMsimple_mhc_205_dm_100_logctau_17_.slha
