# width_GeV,Observed_limit_GeV
6.6711066e-14,1.8600000e+03
6.0662161e-14,1.9000000e+03
5.7640518e-14,1.9206900e+03
5.4811019e-14,1.9400000e+03
4.9284219e-14,1.9800000e+03
4.5205146e-14,2.0108600e+03
4.3963056e-14,2.0200000e+03
3.8759474e-14,2.0600000e+03
3.5451766e-14,2.0870200e+03
3.3825006e-14,2.1000000e+03
2.9228591e-14,2.1400000e+03
2.7803398e-14,2.1534000e+03
2.4972837e-14,2.1800000e+03
2.1804588e-14,2.2128300e+03
2.1097834e-14,2.2200000e+03
1.7370322e-14,2.2600000e+03
1.7100070e-14,2.2630100e+03
1.3573688e-14,2.3000000e+03
1.3410899e-14,2.3018100e+03
1.0517388e-14,2.3299800e+03
9.2951816e-15,2.3400000e+03
8.2481752e-15,2.3494700e+03
6.4686980e-15,2.3616100e+03
5.0730586e-15,2.3681200e+03
3.9785414e-15,2.3705100e+03
3.1201673e-15,2.3698500e+03
2.4469882e-15,2.3665400e+03
1.9190438e-15,2.3604700e+03
1.5050082e-15,2.3512000e+03
1.2140397e-15,2.3400000e+03
1.1803013e-15,2.3384100e+03
9.2565015e-16,2.3219500e+03
7.2593958e-16,2.3028300e+03
7.0277124e-16,2.3000000e+03
5.6931716e-16,2.2815300e+03
4.5224094e-16,2.2600000e+03
4.4648603e-16,2.2588300e+03
3.5015625e-16,2.2349100e+03
3.0358470e-16,2.2200000e+03
2.7460970e-16,2.2101300e+03
2.1536240e-16,2.1849600e+03
2.0591495e-16,2.1800000e+03
1.6889737e-16,2.1594500e+03
1.4200116e-16,2.1400000e+03
1.3245760e-16,2.1324800e+03
1.0387975e-16,2.1028900e+03
1.0170584e-16,2.1000000e+03
8.1467592e-17,2.0692200e+03
7.6671486e-17,2.0600000e+03
6.3890734e-17,2.0311400e+03
5.9741741e-17,2.0200000e+03
5.0105786e-17,1.9894100e+03
4.7473131e-17,1.9800000e+03
3.9295958e-17,1.9456000e+03
3.8038018e-17,1.9400000e+03
3.0817534e-17,1.9026400e+03
3.0294088e-17,1.9000000e+03
2.4168955e-17,1.8650200e+03
2.3023846e-17,1.8600000e+03
1.8954306e-17,1.8402800e+03
1.4864759e-17,1.8254100e+03
