#Global results summary (2807 files)
#The most constraining analysis corresponds to the one with largest observed r.
#The most senstive (ATLAS/CMS) analysis corresponds to the one with largest expected r from those analyses for which this information is available.
#filename                                                  MostConstrainingAnalysis  r_max     r_exp     MostSensitive(ATLAS)  r(ATLAS)  r_exp(ATLAS)  MostSensitive(CMS)  r(CMS)    r_exp(CMS)
.DS_Store                                                  N/A                       -1        -1        N/A                   -1        -1            N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00012589_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        1.82e-07  1.82e-07  ATLAS-SUSY-2016-32    1.82e-07  1.82e-07      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        1.76e-06  1.76e-06  ATLAS-SUSY-2016-32    1.76e-06  1.76e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00019952_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        4.92e-06  4.92e-06  ATLAS-SUSY-2016-32    4.92e-06  4.92e-06      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0001_dm_50_la2_0.01_laL_0.01_.slha      ATLAS-SUSY-2016-32        9.97e-09  9.97e-09  ATLAS-SUSY-2016-32    9.97e-09  9.97e-09      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00025118_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        3.74e-05  3.74e-05  ATLAS-SUSY-2016-32    3.74e-05  3.74e-05      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00031622_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.000135  0.000135  ATLAS-SUSY-2016-32    0.000135  0.000135      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.000255  0.000255  ATLAS-SUSY-2016-32    0.000255  0.000255      N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00081   0.00081   ATLAS-SUSY-2016-32    0.00081   0.00081       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00063095_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00168   0.00168   ATLAS-SUSY-2016-32    0.00168   0.00168       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.00079432_dm_50_la2_0.01_laL_0.01_.slha  ATLAS-SUSY-2016-32        0.00269   0.00269   ATLAS-SUSY-2016-32    0.00269   0.00269       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.00729   0.00729   ATLAS-SUSY-2016-32    0.00729   0.00729       N/A                 -1        -1        
IDM_mhc_1000_mn1_0.0015848_dm_50_la2_0.01_laL_0.01_.slha   ATLAS-SUSY-2016-32        0.01      0.01      ATLAS-SUSY-2016-32    0.01      0.01          N/A                 -1        -1        
