SModelS_status Analysis Disp MT_displaced_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01057 THSCPM1b,THSCPM2b IDM_mhc_920_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.796e-09 7.943e-05 920.0 0.4801 1[N1,e-]
Non-excluded CMS-EXO-13-006 4.035 1.939 THSCPM1b,THSCPM2b IDM_mhc_440_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.01396 5.011e-05 440.0 1.333 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_760_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 0.8934 0.5011 760.0 4444.3 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_560_mn1_0.31622_dm_5_la2_0.01_laL_0.01_.slha.py 5.106 0.3162 560.0 5179.185 1[N1,e-]
Non-excluded CMS-EXO-13-006 7.857 2.381 THSCPM1b,THSCPM2b IDM_mhc_420_mn1_2.5118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.0006991 2.511e-05 420.0 0.7362 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.01906 THSCPM1b IDM_mhc_700_mn1_0.025118_dm_5_la2_0.01_laL_0.01_.slha.py 1.372 0.02511 700.0 262.752 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2789 THSCPM1b IDM_mhc_340_mn1_0.015848_dm_5_la2_0.01_laL_0.01_.slha.py 33.614 0.01584 340.0 712.371 1[N1,e-]
Non-excluded CMS-SUS-17-009 1.891 0.218 TSelSel IDM_mhc_660_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 3.332e-06 1.584e-05 660.0 0.1861 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2664 THSCPM1b IDM_mhc_460_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha.py 9.211 0.007943 460.0 193.457 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.05441 THSCPM1b IDM_mhc_860_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 0.02329 0.001 860.0 6.923 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1502 THSCPM1b IDM_mhc_700_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.6027 0.002511 700.0 26.275 1[N1,e-]
