SModelS_status Analysis Disp MT_displaced_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded ATLAS-SUSY-2016-32 0.0 0.02196 THSCPM1b,THSCPM2b IDM_mhc_900_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.000275 0.0003162 900.0 1.997 1[N1,e-]
Non-excluded CMS-EXO-13-006 55.644 22.803 THSCPM1b,THSCPM2b IDM_mhc_240_mn1_6.3095e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.0002438 6.309e-06 240.0 0.5786 1[N1,e-]
Non-excluded CMS-SUS-17-009 1.107 0.1522 TSelSel IDM_mhc_700_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 7.138e-07 3.162e-05 700.0 0.3305 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.8223 THSCPM1b IDM_mhc_500_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 3.4 0.001584 500.0 32.616 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_760_mn1_0.079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.8681 0.07943 760.0 704.739 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 THSCPM1b IDM_mhc_1000_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.007978 0.002511 1000.0 12.813 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_780_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha.py 0.6512 0.06309 780.0 530.448 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.02161 THSCPM1b IDM_mhc_720_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha.py 1.236 0.01995 720.0 197.326 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 THSCPM1b IDM_mhc_980_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.0009814 0.0007943 980.0 4.225 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2889 THSCPM1b IDM_mhc_620_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha.py 1.166 0.001995 620.0 26.629 1[N1,e-]
Non-excluded CMS-SUS-17-009 4.265 0.5823 TSelSel IDM_mhc_560_mn1_1.2589e-05_dm_5_la2_0.01_laL_0.01_.slha.py 6.061e-06 1.258e-05 560.0 0.2061 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_680_mn1_0.1_dm_5_la2_0.01_laL_0.01_.slha.py 1.737 0.1 680.0 1108.578 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 4.722 THSCPM1b,THSCPM2b IDM_mhc_120_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 73.461 0.005011 120.0 1953.732 1[N1,e-]
Non-excluded CMS-SUS-17-009 1.916 0.187 TSelSel IDM_mhc_680_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 7.835e-06 1e-05 680.0 0.1108 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_480_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 8.703 0.7943 480.0 17777.203 1[N1,e-]
Non-excluded CMS-EXO-13-006 8.597 13.971 THSCPM1b,THSCPM2b IDM_mhc_280_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.2988 3.162e-05 280.0 2.11 1[N1,e-]
Excluded CMS-EXO-12-026 0.0 29.201 THSCPM1b IDM_mhc_140_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 49.174 0.0006309 140.0 177.772 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_460_mn1_0.15848_dm_5_la2_0.01_laL_0.01_.slha.py 10.364 0.1584 460.0 3861.584 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 3.041 THSCPM1b IDM_mhc_340_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha.py 22.745 0.001258 340.0 56.54 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 THSCPM1b IDM_mhc_960_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 0.006211 0.001584 960.0 8.809 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_560_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 5.111 0.3981 560.0 6512.441 1[N1,e-]
Non-excluded CMS-SUS-17-009 10.986 1.91 TSelSel IDM_mhc_440_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 9.77e-06 1e-05 440.0 0.2662 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_900_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 0.3251 0.7943 900.0 5021.042 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_580_mn1_1.0_dm_5_la2_0.01_laL_0.01_.slha.py 4.533 1.0 580.0 15296.663 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_960_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 0.03254 0.03981 960.0 220.97 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_700_mn1_0.63095_dm_5_la2_0.01_laL_0.01_.slha.py 1.497 0.6309 700.0 6599.563 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.02239 THSCPM1b IDM_mhc_280_mn1_0.25118_dm_5_la2_0.01_laL_0.01_.slha.py 53.466 0.2511 280.0 16722.624 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 4.159e-10 1.995e-06 960.0 0.01108 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01583 THSCPM1b IDM_mhc_860_mn1_0.01_dm_5_la2_0.01_laL_0.01_.slha.py 0.2921 0.01 860.0 69.237 1[N1,e-]
Non-excluded CMS-SUS-17-009 1.2 0.08069 TSelSel IDM_mhc_760_mn1_3.981e-06_dm_5_la2_0.01_laL_0.01_.slha.py 3.594e-05 3.981e-06 760.0 0.03529 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0256 THSCPM1b IDM_mhc_800_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.4259 0.007943 800.0 63.449 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.03068 THSCPM1b IDM_mhc_340_mn1_0.12589_dm_5_la2_0.01_laL_0.01_.slha.py 34.619 0.1258 340.0 5654.067 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 29.776 THSCPM1b IDM_mhc_180_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 157.023 0.0003981 180.0 66.217 1[N1,e-]
Non-excluded CMS-EXO-13-006 61.811 270.465 THSCPM1b,THSCPM2b IDM_mhc_120_mn1_3.1622e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.2478 3.162e-06 120.0 1.233 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.7936 0.1028 TSelSel IDM_mhc_740_mn1_1e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.0005895 1e-06 740.0 0.009351 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2172 THSCPM1b IDM_mhc_420_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 14.729 0.01258 420.0 368.147 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 24.316 THSCPM1b IDM_mhc_180_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 163.786 0.0005011 180.0 83.26 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2705 THSCPM1b IDM_mhc_180_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 202.931 0.05011 180.0 8326.032 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_840_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 0.4725 0.5011 840.0 3634.014 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 5.138 THSCPM1b IDM_mhc_320_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 23.964 0.0007943 320.0 40.353 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.7512 0.1035 TSelSel IDM_mhc_740_mn1_3.981e-05_dm_5_la2_0.01_laL_0.01_.slha.py 4.027e-07 3.981e-05 740.0 0.3723 1[N1,e-]
Non-excluded CMS-SUS-17-009 52.567 5.831 TSelSel IDM_mhc_340_mn1_1.2589e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.000493 1.258e-06 340.0 0.05654 1[N1,e-]
Non-excluded CMS-SUS-17-009 4.7 0.4906 TSelSel IDM_mhc_580_mn1_1e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.0008923 1e-06 580.0 0.01529 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_320_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 43.37 0.3981 320.0 20238.662 1[N1,e-]
Non-excluded CMS-SUS-17-009 52.962 16.849 TSelSel IDM_mhc_260_mn1_5.0118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 2.005e-05 5.011e-06 260.0 0.3899 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 111.465 44.615 THSCPM1b IDM_mhc_200_mn1_2.5118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 5.502e-05 2.511e-06 200.0 0.3355 1[N1,e-]
Non-excluded CMS-SUS-17-009 3.297 0.2543 TSelSel IDM_mhc_640_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.0002084 1.995e-06 640.0 0.02497 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.02577 THSCPM1b,THSCPM2b IDM_mhc_860_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 0.001508 0.0003981 860.0 2.752 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 2.477 THSCPM1b IDM_mhc_280_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 47.315 0.002511 280.0 167.226 1[N1,e-]
Non-excluded CMS-EXO-13-006 2.781 1.617 THSCPM1b,THSCPM2b IDM_mhc_460_mn1_6.3095e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.02799 6.309e-05 460.0 1.541 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_660_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 1.992 0.05011 660.0 589.035 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.02121 THSCPM1b IDM_mhc_640_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 2.304 0.03162 640.0 395.444 1[N1,e-]
Non-excluded CMS-EXO-13-006 0.6964 4.506 THSCPM1b,THSCPM2b IDM_mhc_380_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.517 7.943e-05 380.0 2.847 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 23.609 THSCPM1b IDM_mhc_260_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha.py 16.763 0.0001584 260.0 12.332 1[N1,e-]
Non-excluded CMS-EXO-13-006 0.0 0.4347 THSCPM1b,THSCPM2b IDM_mhc_620_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.07917 0.0003162 620.0 4.216 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.7904 0.05218 TSelSel IDM_mhc_780_mn1_2.5118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 7.328e-05 2.511e-06 780.0 0.02112 1[N1,e-]
Non-excluded CMS-EXO-13-006 1.167 0.4151 THSCPM1b,THSCPM2b IDM_mhc_600_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.001119 7.943e-05 600.0 1.134 1[N1,e-]
Excluded CMS-EXO-13-006 0.0 4.05 THSCPM1b,THSCPM2b IDM_mhc_400_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 3.66 0.0003981 400.0 12.897 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.1216 THSCPM1b IDM_mhc_680_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 1.03 0.003981 680.0 44.144 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 3.759e-10 1.584e-05 940.0 0.09177 1[N1,e-]
Excluded CMS-EXO-12-026 0.0 3.054 THSCPM1b IDM_mhc_140_mn1_0.0063095_dm_5_la2_0.01_laL_0.01_.slha.py 52.785 0.006309 140.0 1777.72 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 91.954 THSCPM1b IDM_mhc_160_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha.py 54.549 0.0001258 160.0 26.81 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_820_mn1_0.63095_dm_5_la2_0.01_laL_0.01_.slha.py 0.5555 0.6309 820.0 4801.142 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 3.666 THSCPM1b IDM_mhc_400_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 4.485 0.0005011 400.0 16.174 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.01694 THSCPM1b IDM_mhc_640_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 2.333 0.03981 640.0 498.3 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_920_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.07187 0.01258 920.0 76.188 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 3.996 THSCPM1b IDM_mhc_160_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 128.651 0.003981 160.0 846.896 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_620_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 2.866 0.7943 620.0 10608.976 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 23.376 THSCPM1b IDM_mhc_240_mn1_0.00025118_dm_5_la2_0.01_laL_0.01_.slha.py 40.544 0.0002511 240.0 23.025 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.4186 0.0397 TSelSel IDM_mhc_820_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 4.515e-07 3.162e-05 820.0 0.2406 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.04982 THSCPM1b IDM_mhc_220_mn1_0.19952_dm_5_la2_0.01_laL_0.01_.slha.py 120.8 0.1995 220.0 21876.603 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2949 THSCPM1b IDM_mhc_580_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 2.761 0.003162 580.0 48.246 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.1561 THSCPM1b IDM_mhc_740_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.1612 0.001258 740.0 11.745 1[N1,e-]
Excluded CMS-EXO-12-026 0.0 46.557 THSCPM1b IDM_mhc_100_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 112.458 0.0006309 100.0 362.733 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_300_mn1_1.0_dm_5_la2_0.01_laL_0.01_.slha.py 53.679 1.0 300.0 58037.342 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.2764 THSCPM1b IDM_mhc_520_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 4.767 0.005011 520.0 95.327 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.9059 THSCPM1b IDM_mhc_400_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 14.885 0.003162 400.0 102.241 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.01755 THSCPM1b IDM_mhc_680_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 1.658 0.03162 680.0 350.491 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.4516 THSCPM1b IDM_mhc_300_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 51.965 0.01258 300.0 730.84 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_440_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 12.687 0.5011 440.0 13332.902 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_640_mn1_0.31622_dm_5_la2_0.01_laL_0.01_.slha.py 2.433 0.3162 640.0 3954.448 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 100.222 THSCPM1b IDM_mhc_180_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 26.279 5.011e-05 180.0 8.326 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.5086 THSCPM1b IDM_mhc_160_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 128.721 0.03162 160.0 6734.708 1[N1,e-]
Excluded CMS-EXO-12-026 0.0 0.3865 THSCPM1b IDM_mhc_140_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 53.149 0.05011 140.0 14094.783 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 7.803 THSCPM1b IDM_mhc_240_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 73.386 0.001 240.0 91.779 1[N1,e-]
Non-excluded CMS-EXO-13-006 0.0 0.7635 THSCPM1b,THSCPM2b IDM_mhc_580_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 0.2648 0.0003981 580.0 6.071 1[N1,e-]
Non-excluded CMS-SUS-17-009 3.582 0.4168 TSelSel IDM_mhc_600_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 9.07e-06 1e-05 600.0 0.1429 1[N1,e-]
Non-excluded CMS-SUS-17-009 29.854 4.617 TSelSel IDM_mhc_360_mn1_3.981e-06_dm_5_la2_0.01_laL_0.01_.slha.py 5.392e-05 3.981e-06 360.0 0.1591 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.02654 THSCPM1b,THSCPM2b IDM_mhc_880_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha.py 9.554e-06 0.0001584 880.0 1.049 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.8177 0.05223 TSelSel IDM_mhc_780_mn1_6.3095e-06_dm_5_la2_0.01_laL_0.01_.slha.py 1.187e-05 6.309e-06 780.0 0.05304 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01053 THSCPM1b,THSCPM2b IDM_mhc_920_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 2.802e-09 1.995e-06 920.0 0.01203 1[N1,e-]
Non-excluded CMS-SUS-17-009 2.39 0.2982 TSelSel IDM_mhc_620_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 3.31e-06 1.584e-05 620.0 0.2114 1[N1,e-]
Non-excluded CMS-EXO-13-006 4.253 3.048 THSCPM1b,THSCPM2b IDM_mhc_400_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.07025 5.011e-05 400.0 1.617 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_420_mn1_0.63095_dm_5_la2_0.01_laL_0.01_.slha.py 15.7 0.6309 420.0 18441.772 1[N1,e-]
Non-excluded CMS-EXO-13-006 6.25 1.569 THSCPM1b,THSCPM2b IDM_mhc_460_mn1_2.5118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 3.653e-05 2.511e-05 460.0 0.6109 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 4.055e-10 7.943e-05 960.0 0.4404 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.4797 0.02659 TSelSel IDM_mhc_880_mn1_5.0118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 1.657e-05 5.011e-06 880.0 0.0331 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 2.158 THSCPM1b IDM_mhc_300_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 45.544 0.002511 300.0 146.168 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 5.462e-05 0.0003162 940.0 1.827 1[N1,e-]
Non-excluded CMS-EXO-13-006 66.221 44.648 THSCPM1b,THSCPM2b IDM_mhc_200_mn1_6.3095e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.009732 6.309e-06 200.0 0.8432 1[N1,e-]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.0 THSCPM1b IDM_mhc_940_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 0.0214 0.005011 940.0 29.018 1[N1,e-]
Non-excluded CMS-SUS-17-009 0.8303 0.1035 TSelSel IDM_mhc_740_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 6.38e-07 3.162e-05 740.0 0.2958 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 1.727 THSCPM1b IDM_mhc_480_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 1.916 0.0006309 480.0 14.094 1[N1,e-]
Excluded CMS-EXO-12-026 0.0 18.815 THSCPM1b IDM_mhc_100_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 115.102 0.001584 100.0 909.34 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_740_mn1_0.15848_dm_5_la2_0.01_laL_0.01_.slha.py 1.098 0.1584 740.0 1483.661 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.1507 THSCPM1b IDM_mhc_640_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 1.512 0.003981 640.0 49.83 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.03619 THSCPM1b IDM_mhc_860_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.1379 0.003162 860.0 21.876 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 4.783 THSCPM1b IDM_mhc_220_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha.py 110.86 0.001995 220.0 218.766 1[N1,e-]
Non-excluded CMS-SUS-17-009 5.603 0.8381 TSelSel IDM_mhc_520_mn1_1.2589e-05_dm_5_la2_0.01_laL_0.01_.slha.py 6.11e-06 1.258e-05 520.0 0.2394 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_740_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha.py 1.072 0.06309 740.0 590.799 1[N1,e-]
Non-excluded CMS-SUS-17-009 33.116 3.687 TSelSel IDM_mhc_380_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.0002204 1.995e-06 380.0 0.07149 1[N1,e-]
Non-excluded CMS-SUS-17-009 5.926 0.4913 TSelSel IDM_mhc_580_mn1_1.5848e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.0003618 1.584e-06 580.0 0.02418 1[N1,e-]
Non-excluded CMS-EXO-13-006 0.0 0.3029 THSCPM1b,THSCPM2b IDM_mhc_660_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.04164 0.0003162 660.0 3.723 1[N1,e-]
Excluded ATLAS-SUSY-2016-32 0.0 37.997 THSCPM1b IDM_mhc_220_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha.py 43.742 0.0001584 220.0 17.309 1[N1,e-]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0 THSCPM1b IDM_mhc_860_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 0.4097 0.3981 860.0 2752.119 1[N1,e-]
