SModelS_status Analysis Disp MT_displaced_xsec Tx Tx_weights file r_max theory_pred MASS9000006 MASS37 ctau(37) BR(37)
Non-excluded ATLAS-SUSY-2016-32 0.0 0.09137 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM11': 1.741684093807805e-08, 'THSCPM1b': 1.3634543249404072e-09, 'THSCPM8': 6.927965967438253e-10, 'THSCPM2b': 1.4045461837008477e-11, 'THSCPM9': 4.5727818416589766e-12}" IDM_mhc_920_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.949e-08 1.559337e-09 7.943e-05 920.0 0.4801 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 1.302 3.974 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM11': 0.004031312849782074, 'THSCPM1b': 0.00011861593372038458, 'THSCPM8': 1.4886966277629374e-05}" IDM_mhc_440_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.004164 0.0003331853 5.011e-05 440.0 1.333 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.001051 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.15191338001875881, 'THSCPM11': 0.5769296174658793, 'THSCPM8': 0.058904887983892165}" IDM_mhc_760_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 0.7877 0.06301983 0.5011 760.0 4444.3 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.004349 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.71602695919951, 'THSCPM11': 2.3875891927353887, 'THSCPM8': 0.3015002514363127}" IDM_mhc_560_mn1_0.31622_dm_5_la2_0.01_laL_0.01_.slha.py 3.405 0.2724093 0.3162 560.0 5179.185 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 2.509 4.854 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM11': 0.00018933063209023433, 'THSCPM1b': 2.5732375107244394e-06, 'THSCPM8': 1.443479152277513e-07}" IDM_mhc_420_mn1_2.5118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.000192 1.728434e-05 2.511e-05 420.0 0.7362 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.02713 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.22341185942155628, 'THSCPM11': 0.8141376290123317, 'THSCPM8': 0.08561913608155419}" IDM_mhc_700_mn1_0.025118_dm_5_la2_0.01_laL_0.01_.slha.py 1.123 0.08985349 0.02511 700.0 262.752 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.2817 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 5.047334397995542, 'THSCPM11': 12.093013133301257, 'THSCPM8': 2.173318371940813}" IDM_mhc_340_mn1_0.015848_dm_5_la2_0.01_laL_0.01_.slha.py 19.313 1.73823 0.01584 340.0 712.371 1[9000006,11]
Non-excluded CMS-SUS-17-009 0.7081 0.582 TSelSel "{'TSelSel': 1.2477840231679648e-06}" IDM_mhc_660_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.247e-06 0.1305091 1.584e-05 660.0 0.1861 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.2786 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 1.518556500596506, 'THSCPM11': 4.56748857661499, 'THSCPM8': 0.645677258418647}" IDM_mhc_460_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha.py 6.731 0.5385378 0.007943 460.0 193.457 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1324 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM11': 0.023855336028546406, 'THSCPM1b': 0.004355436718069687, 'THSCPM8': 0.0011872410203874672}" IDM_mhc_860_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 0.02939 0.002351841 0.001 860.0 6.923 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.2113 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.10756276515516817, 'THSCPM11': 0.43046036835375506, 'THSCPM8': 0.036839678978897734}" IDM_mhc_700_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.5748 0.04598902 0.002511 700.0 26.275 1[9000006,11]
