SModelS_status Analysis MT_displaced_xsec MT_max MT_max_xsec MT_outgrid_xsec MT_prompt_xsec MT_total_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded CMS-PAS-EXO-16-036 0.04263 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.03201 0.0 0.0 0.03201 THSCPM1b IDM_mhc_860_mn1_0.00063095_dm_50_la2_0.01_laL_0.01_.slha.py 0.002589 0.0006309 860.0 4.365 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.186 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.5368 0.0 0.8048 0.8048 THSCPM1b IDM_mhc_540_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.7582 0.003162 540.0 55.742 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.01253 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1708 0.0 0.2364 0.2364 THSCPM1b IDM_mhc_700_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha.py 0.309 0.01 700.0 104.405 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.2697 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1952 0.0 0.0 0.2703 TSmuSmuDisp IDM_mhc_700_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.5278 1.584e-06 700.0 0.01658 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 0.495 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.3591 0.0 0.0 0.4951 TSmuSmuDisp IDM_mhc_620_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.012 7.943e-06 620.0 0.106 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.04258 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.04258 0.0 0.0 0.04258 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_860_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha.py 0.000548 0.0003981 860.0 2.752 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.01271 "[[],[[jet,jet]]]  (HSCP,HSCP)" 6.035 0.0 9.048 9.048 THSCPM1b IDM_mhc_320_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 8.582 0.07943 320.0 4035.316 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.337 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.8194 0.0 0.0 1.337 TSmuSmuDisp IDM_mhc_520_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 2.148 6.309e-06 520.0 0.1195 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 8.485 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 4.615 0.0 0.0 8.119 TSmuSmuDisp IDM_mhc_340_mn1_3.981e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.874 3.981e-05 340.0 1.793 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.05723 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.05723 0.0 0.0 0.05723 TSmuSmuDisp IDM_mhc_840_mn1_3.1622e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.1844 3.162e-05 840.0 0.2291 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 2.516 0.0 3.773 3.773 THSCPM1b IDM_mhc_400_mn1_0.19952_dm_50_la2_0.01_laL_0.01_.slha.py 3.777 0.1995 400.0 6448.593 1[N1,mu-]
Excluded CMS-EXO-13-006 0.4093 "[[],[[jet,jet]]]  (HSCP,HSCP)" 97.646 0.0 146.386 146.386 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.025118_dm_50_la2_0.01_laL_0.01_.slha.py 13.666 0.02511 140.0 7072.651 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 12.959 0.0 19.428 19.428 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 17.011 0.5011 260.0 38997.423 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.404 0.0 2.105 2.105 THSCPM1b IDM_mhc_460_mn1_0.63095_dm_50_la2_0.01_laL_0.01_.slha.py 2.125 0.6309 460.0 15416.169 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01946 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha.py 5.288e-07 0.0001584 940.0 0.9177 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.02258 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.9357 0.0 1.402 1.402 THSCPM1b IDM_mhc_500_mn1_0.015848_dm_50_la2_0.01_laL_0.01_.slha.py 1.422 0.01584 500.0 326.16 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 0.8745 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.5834 0.0 0.0 0.8746 TSmuSmuDisp IDM_mhc_560_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.815 3.981e-06 560.0 0.06512 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_900_mn1_0.19952_dm_50_la2_0.01_laL_0.01_.slha.py 0.1161 0.1995 900.0 1256.859 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 1.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 22.685 0.0 34.009 34.009 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.0063095_dm_50_la2_0.01_laL_0.01_.slha.py 28.97 0.006309 220.0 692.375 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.01655 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.0718 0.0 0.0718 0.0718 THSCPM1b IDM_mhc_760_mn1_0.0050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.1561 0.005011 760.0 44.443 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.4675 "[[],[[jet,jet]]]  (HSCP,HSCP)" 22.915 0.0 34.354 34.354 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 29.099 0.01258 220.0 1379.908 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 4.795 0.0 7.189 7.189 THSCPM1b IDM_mhc_340_mn1_0.15848_dm_50_la2_0.01_laL_0.01_.slha.py 6.922 0.1584 340.0 7123.717 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.0422 0.0 0.0422 0.0422 THSCPM1b IDM_mhc_880_mn1_0.050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.1228 0.05011 880.0 331.085 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 3.842 0.0 5.76 5.76 THSCPM1b IDM_mhc_360_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 5.578 0.3981 360.0 15913.464 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.4939 0.0 0.7404 0.7404 THSCPM1b IDM_mhc_580_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 0.9858 0.5011 580.0 7648.331 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 1.487 "[[],[[jet,jet]]]  (HSCP,HSCP)" 4.11 0.01623 6.162 6.162 THSCPM1b IDM_mhc_340_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 5.314 0.001995 340.0 89.694 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 3.101 0.0 4.65 4.65 THSCPM1b IDM_mhc_380_mn1_0.63095_dm_50_la2_0.01_laL_0.01_.slha.py 4.488 0.6309 380.0 22603.317 1[N1,mu-]
Non-excluded CMS-EXO-13-006 32.895 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 10.506 0.0 1.222 19.907 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_240_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.9584 5.011e-05 240.0 4.588 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.2703 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1952 0.0 0.0 0.2703 TSmuSmuDisp IDM_mhc_700_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.5212 1.258e-05 700.0 0.1315 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.3046 0.0 0.4203 0.4203 THSCPM1b IDM_mhc_640_mn1_0.12589_dm_50_la2_0.01_laL_0.01_.slha.py 0.5998 0.1258 640.0 1578.615 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.02555 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.5356 0.0 0.8029 0.8029 THSCPM1b IDM_mhc_560_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha.py 0.9657 0.01 560.0 163.08 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.0653 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.0653 0.0 0.0 0.0653 TSmuSmuDisp IDM_mhc_820_mn1_0.00012589_dm_50_la2_0.01_laL_0.01_.slha.py 0.1042 0.0001258 820.0 0.9578 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0178 "[[],[[jet,jet]]]  (HSCP,HSCP)" 4.775 0.0 7.159 7.159 THSCPM1b IDM_mhc_340_mn1_0.050118_dm_50_la2_0.01_laL_0.01_.slha.py 6.871 0.05011 340.0 2252.59 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.01599 "[[],[[jet,jet]]]  (HSCP,HSCP)" 6.03 0.0 9.04 9.04 THSCPM1b IDM_mhc_320_mn1_0.063095_dm_50_la2_0.01_laL_0.01_.slha.py 8.569 0.06309 320.0 3208.568 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.07441 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.07481 0.0 0.0 0.07481 TSmuSmuDisp IDM_mhc_800_mn1_1.2589e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.1856 1.258e-06 800.0 0.01006 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.7416 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.4947 0.0 0.0 0.7416 TSmuSmuDisp IDM_mhc_580_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.62 5.011e-05 580.0 0.7648 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.03934 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.02602 0.0 0.0 0.02602 THSCPM1b IDM_mhc_860_mn1_0.00079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.005009 0.0007943 860.0 5.496 1[N1,mu-]
Excluded CMS-EXO-13-006 28.788 "[[],[[jet,jet]]]  (HSCP,HSCP)" 86.363 0.2842 129.472 130.008 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha.py 12.402 0.0003981 140.0 112.117 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_960_mn1_0.79432_dm_50_la2_0.01_laL_0.01_.slha.py 0.03855 0.7943 960.0 4404.619 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.08433 0.0 0.08433 0.08433 THSCPM1b IDM_mhc_780_mn1_0.1_dm_50_la2_0.01_laL_0.01_.slha.py 0.2421 0.1 780.0 839.689 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.07269 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.06234 0.0 0.06234 0.06234 THSCPM1b IDM_mhc_740_mn1_0.0025118_dm_50_la2_0.01_laL_0.01_.slha.py 0.1111 0.002511 740.0 23.491 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 3.639 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 2.063 0.0 0.0 3.639 TSmuSmuDisp IDM_mhc_420_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 3.341 1.258e-05 420.0 0.3681 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 107.813 "[[],[[jet,jet]]]  (HSCP,HSCP)" 17.512 0.0 26.254 52.693 THSCPM1b,THSCPM8 IDM_mhc_160_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 7.527 5.011e-05 160.0 10.666 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.159 0.0 1.738 1.738 THSCPM1b IDM_mhc_480_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 1.753 0.07943 480.0 1777.72 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1946 0.0 0.2694 0.2694 THSCPM1b IDM_mhc_700_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.3865 0.3981 700.0 4163.016 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.3576 0.0 0.493 0.493 THSCPM1b IDM_mhc_620_mn1_0.25118_dm_50_la2_0.01_laL_0.01_.slha.py 0.7104 0.2511 620.0 3350.203 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0398 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.02194 0.0 0.0 0.02194 THSCPM1b IDM_mhc_840_mn1_0.001_dm_50_la2_0.01_laL_0.01_.slha.py 0.01061 0.001 840.0 7.254 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.01855 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.46 0.0 0.6896 0.6896 THSCPM1b IDM_mhc_580_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 0.8727 0.01258 580.0 191.579 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.09735 "[[],[[jet,jet]]]  (HSCP,HSCP)" 12.89 0.0 19.325 19.325 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.031622_dm_50_la2_0.01_laL_0.01_.slha.py 16.762 0.03162 260.0 2457.371 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 3.102 0.0 4.65 4.65 THSCPM1b IDM_mhc_380_mn1_0.79432_dm_50_la2_0.01_laL_0.01_.slha.py 4.489 0.7943 380.0 28474.309 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.02218 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_920_mn1_7.9432e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.497e-09 7.943e-05 920.0 0.4801 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.113 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1131 0.0 0.0 0.1131 TSmuSmuDisp IDM_mhc_740_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.5175 3.162e-06 740.0 0.02958 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 23.103 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 12.964 0.0 0.0 23.104 TSmuSmuDisp IDM_mhc_260_mn1_2.5118e-06_dm_50_la2_0.01_laL_0.01_.slha.py 21.227 2.511e-06 260.0 0.1953 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 9.071 "[[],[[jet,jet]]]  (HSCP,HSCP)" 9.051 0.0 13.568 14.127 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha.py 10.158 0.0005011 260.0 38.997 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.7785 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.9779 0.0 1.466 1.494 THSCPM1b,THSCPM8 IDM_mhc_460_mn1_0.0015848_dm_50_la2_0.01_laL_0.01_.slha.py 1.162 0.001584 460.0 38.615 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.07481 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.07481 0.0 0.0 0.07481 TSmuSmuDisp IDM_mhc_800_mn1_1.5848e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.2715 1.584e-05 800.0 0.1264 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.594 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.9767 0.0 0.0 1.594 TSmuSmuDisp IDM_mhc_500_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 2.31 7.943e-06 500.0 0.163 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 0.5796 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.4209 0.0 0.0 0.5796 TSmuSmuDisp IDM_mhc_600_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.229 6.309e-06 600.0 0.0901 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.2804 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1163 0.0 0.0 0.1608 THSCPM1b IDM_mhc_680_mn1_0.00050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.01755 0.0005011 680.0 5.558 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.7376 "[[],[[jet,jet]]]  (HSCP,HSCP)" 22.78 0.0 34.151 34.151 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 29.013 0.007943 220.0 869.281 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.3131 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.2266 0.0 0.0 0.3134 TSmuSmuDisp IDM_mhc_680_mn1_2.5118e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.7921 2.511e-06 680.0 0.02783 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 30.893 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 16.435 0.0 0.0 29.23 TSmuSmuDisp IDM_mhc_240_mn1_1.9952e-05_dm_50_la2_0.01_laL_0.01_.slha.py 6.603 1.995e-05 240.0 1.827 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.404 0.0 2.105 2.105 THSCPM1b IDM_mhc_460_mn1_0.79432_dm_50_la2_0.01_laL_0.01_.slha.py 2.125 0.7943 460.0 19345.78 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.08224 0.0 0.08224 0.08224 THSCPM1b IDM_mhc_780_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 0.2318 0.03981 780.0 335.02 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 3.638 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 2.063 0.0 0.0 3.639 TSmuSmuDisp IDM_mhc_420_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 6.303 1.584e-06 420.0 0.04642 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.3019 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.156 0.0 0.2151 0.2467 THSCPM1b IDM_mhc_620_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha.py 0.1714 0.001258 620.0 16.865 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.3923 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.4634 0.0 0.6948 0.6948 THSCPM1b IDM_mhc_540_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 0.5893 0.001995 540.0 35.174 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.07399 0.0 0.07399 0.07399 THSCPM1b IDM_mhc_800_mn1_0.15848_dm_50_la2_0.01_laL_0.01_.slha.py 0.2225 0.1584 800.0 1264.916 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_920_mn1_0.1_dm_50_la2_0.01_laL_0.01_.slha.py 0.04853 0.1 920.0 603.446 1[N1,mu-]
Excluded CMS-EXO-13-006 44.103 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 12.005 0.0 2.718 24.017 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_220_mn1_5.0118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.732 5.011e-05 220.0 5.496 1[N1,mu-]
Excluded CMS-EXO-13-006 0.1255 "[[],[[jet,jet]]]  (HSCP,HSCP)" 257.607 0.0 386.196 386.196 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 27.771 0.07943 100.0 45677.537 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.0984 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.09841 0.0 0.0 0.09841 TSmuSmuDisp IDM_mhc_760_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.3542 1.258e-05 760.0 0.1114 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.05006 0.0 0.05006 0.05006 THSCPM1b IDM_mhc_860_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 0.1495 1.0 860.0 6923.753 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 2.518 0.0 3.776 3.776 THSCPM1b IDM_mhc_400_mn1_0.31622_dm_50_la2_0.01_laL_0.01_.slha.py 3.782 0.3162 400.0 10224.194 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.2326 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.913 0.0 2.868 2.868 THSCPM1b IDM_mhc_420_mn1_0.0063095_dm_50_la2_0.01_laL_0.01_.slha.py 2.778 0.006309 420.0 184.417 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_920_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 0.05056 0.5011 920.0 3026.487 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 1.997 "[[],[[jet,jet]]]  (HSCP,HSCP)" 64.202 0.0 96.249 96.249 THSCPM1b,THSCPM8 IDM_mhc_160_mn1_0.0050118_dm_50_la2_0.01_laL_0.01_.slha.py 28.934 0.005011 160.0 1066.632 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.01227 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_900_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha.py 0.008451 0.001258 900.0 7.956 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 17.161 0.0 25.727 25.727 THSCPM1b,THSCPM8 IDM_mhc_240_mn1_0.19952_dm_50_la2_0.01_laL_0.01_.slha.py 22.247 0.1995 240.0 18271.015 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 5.467 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 3.103 0.0 0.0 5.467 TSmuSmuDisp IDM_mhc_380_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 4.353 1.258e-05 380.0 0.4515 1[N1,mu-]
Excluded CMS-EXO-13-006 2.906 "[[],[[jet,jet]]]  (HSCP,HSCP)" 96.626 0.0 144.858 144.858 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.003981_dm_50_la2_0.01_laL_0.01_.slha.py 13.403 0.003981 140.0 1121.175 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 6.771 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 3.845 0.0 0.0 6.771 TSmuSmuDisp IDM_mhc_360_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 8.162 3.981e-06 360.0 0.1591 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.02215 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_920_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha.py 1.316e-06 0.0001584 920.0 0.9578 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.06509 0.0 0.06509 0.06509 THSCPM1b IDM_mhc_820_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.2018 0.3981 820.0 3031.136 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 23.144 0.0 34.697 34.697 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.63095_dm_50_la2_0.01_laL_0.01_.slha.py 29.638 0.6309 220.0 69237.531 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.424 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.3073 0.0 0.0 0.4241 TSmuSmuDisp IDM_mhc_640_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.8844 7.943e-06 640.0 0.09966 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.06539 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.06539 0.0 0.0 0.06539 TSmuSmuDisp IDM_mhc_820_mn1_3.1622e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.2091 3.162e-05 820.0 0.2406 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 2.061 0.0 3.091 3.091 THSCPM1b IDM_mhc_420_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 3.158 0.5011 420.0 14616.812 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.126 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.6902 0.0 0.0 1.126 TSmuSmuDisp IDM_mhc_540_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.866 6.309e-06 540.0 0.1108 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.01465 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.02241 0.0 0.02241 0.02241 THSCPM1b IDM_mhc_860_mn1_0.0025118_dm_50_la2_0.01_laL_0.01_.slha.py 0.03771 0.002511 860.0 17.309 1[N1,mu-]
