SModelS_status Analysis MT_displaced_xsec MT_max MT_max_xsec MT_outgrid_xsec MT_prompt_xsec MT_total_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Excluded ATLAS-SUSY-2018-14 13.789 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 7.713 0.0 0.0 13.789 TSmuSmuDisp IDM_mhc_300_mn1_2.5118e-06_dm_50_la2_0.01_laL_0.01_.slha.py 15.85 2.511e-06 300.0 0.1461 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.01423 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.04119 0.0 0.04119 0.04119 THSCPM1b IDM_mhc_820_mn1_0.003981_dm_50_la2_0.01_laL_0.01_.slha.py 0.09211 0.003981 820.0 30.311 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.1395 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.7074 0.0 1.06 1.06 THSCPM1b IDM_mhc_520_mn1_0.0050118_dm_50_la2_0.01_laL_0.01_.slha.py 1.027 0.005011 520.0 95.327 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.906 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 1.168 0.0 0.0 1.906 TSmuSmuDisp IDM_mhc_480_mn1_3.981e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.216 3.981e-05 480.0 0.8888 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.1952 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1303 0.0 0.0 0.1953 TSmuSmuDisp IDM_mhc_720_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.5747 3.981e-06 720.0 0.0393 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.6698 "[[],[[jet,jet]]]  (HSCP,HSCP)" 31.496 0.0 47.218 47.218 THSCPM1b,THSCPM8 IDM_mhc_200_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha.py 38.541 0.01 200.0 1333.29 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_940_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.02802 0.007943 940.0 45.996 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 1.332 "[[],[[jet,jet]]]  (HSCP,HSCP)" 9.296 0.006623 13.937 13.937 THSCPM1b,THSCPM8 IDM_mhc_280_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 11.94 0.003162 280.0 211.044 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.04274 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.04274 0.0 0.0 0.04274 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_880_mn1_0.00025118_dm_50_la2_0.01_laL_0.01_.slha.py 6.176e-05 0.0002511 880.0 1.658 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 4.793 0.0 7.185 7.185 THSCPM1b IDM_mhc_340_mn1_0.12589_dm_50_la2_0.01_laL_0.01_.slha.py 6.916 0.1258 340.0 5654.067 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.126 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.6902 0.0 0.0 1.126 TSmuSmuDisp IDM_mhc_540_mn1_1.2589e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.514 1.258e-05 540.0 0.2217 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.3719 "[[],[[jet,jet]]]  (HSCP,HSCP)" 22.963 0.0 34.425 34.425 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.015848_dm_50_la2_0.01_laL_0.01_.slha.py 29.141 0.01584 220.0 1730.938 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.8188 0.0 1.227 1.227 THSCPM1b IDM_mhc_520_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 1.32 1.0 520.0 18973.746 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_900_mn1_0.00079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.003016 0.0007943 900.0 5.021 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.2513 0.0 0.3473 0.3473 THSCPM1b IDM_mhc_660_mn1_0.025118_dm_50_la2_0.01_laL_0.01_.slha.py 0.4752 0.02511 660.0 295.399 1[N1,mu-]
Excluded CMS-EXO-13-006 8.264 "[[],[[jet,jet]]]  (HSCP,HSCP)" 254.56 0.009104 381.627 381.627 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 27.484 0.001995 100.0 1147.249 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 6.05 0.0 9.07 9.07 THSCPM1b IDM_mhc_320_mn1_0.25118_dm_50_la2_0.01_laL_0.01_.slha.py 8.617 0.2511 320.0 12730.771 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.04768 0.0 0.04768 0.04768 THSCPM1b IDM_mhc_860_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 0.1375 0.03981 860.0 275.211 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.0489 0.0 0.0489 0.0489 THSCPM1b IDM_mhc_860_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.1436 0.07943 860.0 549.657 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.02819 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.9253 0.0 1.387 1.387 THSCPM1b IDM_mhc_500_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 1.395 0.01258 500.0 258.959 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01947 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_0.00012589_dm_50_la2_0.01_laL_0.01_.slha.py 8.758e-08 0.0001258 940.0 0.7281 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01713 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_1.2589e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.28e-10 1.258e-06 960.0 0.006972 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.397 0.0 2.095 2.095 THSCPM1b IDM_mhc_460_mn1_0.1_dm_50_la2_0.01_laL_0.01_.slha.py 2.107 0.1 460.0 2436.135 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.07477 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.07481 0.0 0.0 0.07481 TSmuSmuDisp IDM_mhc_800_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.336 3.981e-06 800.0 0.03182 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.01884 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.2269 0.0 0.3134 0.3134 THSCPM1b IDM_mhc_660_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.3987 0.007943 660.0 93.519 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.04402 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.04402 0.0 0.0 0.04402 TSmuSmuDisp IDM_mhc_880_mn1_2.5118e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.1489 2.511e-05 880.0 0.1658 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.4199 0.0 0.5782 0.5782 THSCPM1b IDM_mhc_600_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.831 0.3981 600.0 5670.315 1[N1,mu-]
Excluded CMS-EXO-13-006 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 154.054 0.0 230.952 230.952 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_120_mn1_0.50118_dm_50_la2_0.01_laL_0.01_.slha.py 19.931 0.5011 120.0 195373.231 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 3.814 "[[],[[jet,jet]]]  (HSCP,HSCP)" 11.236 0.03946 16.844 16.887 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.0012589_dm_50_la2_0.01_laL_0.01_.slha.py 13.641 0.001258 260.0 97.686 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.3005 0.0 0.4147 0.4147 THSCPM1b IDM_mhc_640_mn1_0.050118_dm_50_la2_0.01_laL_0.01_.slha.py 0.5861 0.05011 640.0 626.434 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.1018 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.137 0.0 0.1895 0.1895 THSCPM1b IDM_mhc_680_mn1_0.0025118_dm_50_la2_0.01_laL_0.01_.slha.py 0.186 0.002511 680.0 27.831 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 0.8744 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.5834 0.0 0.0 0.8746 TSmuSmuDisp IDM_mhc_560_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.912 3.162e-06 560.0 0.05179 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.908 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 1.169 0.0 0.0 1.908 TSmuSmuDisp IDM_mhc_480_mn1_1.9952e-05_dm_50_la2_0.01_laL_0.01_.slha.py 1.867 1.995e-05 480.0 0.4454 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.13 0.0 0.1949 0.1949 THSCPM1b IDM_mhc_720_mn1_0.63095_dm_50_la2_0.01_laL_0.01_.slha.py 0.3595 0.6309 720.0 6224.825 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.3532 0.0 0.4869 0.4869 THSCPM1b IDM_mhc_620_mn1_0.063095_dm_50_la2_0.01_laL_0.01_.slha.py 0.6954 0.06309 620.0 843.277 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.07481 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.07481 0.0 0.0 0.07481 TSmuSmuDisp IDM_mhc_800_mn1_6.3095e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.1808 6.309e-05 800.0 0.5046 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 79.054 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 44.838 0.0 0.0 79.054 TSmuSmuDisp IDM_mhc_180_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 28.426 3.162e-06 180.0 0.5262 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.04961 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.05016 0.0 0.0 0.05016 TSmuSmuDisp IDM_mhc_860_mn1_1e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.08304 1e-06 860.0 0.006923 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.0128 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_0.00063095_dm_50_la2_0.01_laL_0.01_.slha.py 0.0007118 0.0006309 960.0 3.498 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_920_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha.py 0.04271 0.01995 920.0 120.321 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 0.579 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.4209 0.0 0.0 0.5796 TSmuSmuDisp IDM_mhc_600_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.375 1.584e-06 600.0 0.02257 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.1953 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1303 0.0 0.0 0.1953 TSmuSmuDisp IDM_mhc_720_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.5028 7.943e-06 720.0 0.07861 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 3.639 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 2.063 0.0 0.0 3.639 TSmuSmuDisp IDM_mhc_420_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 4.335 6.309e-06 420.0 0.1844 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.03401 "[[],[[jet,jet]]]  (HSCP,HSCP)" 44.791 0.0 67.148 67.148 THSCPM1b,THSCPM8 IDM_mhc_180_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 46.19 0.07943 180.0 13243.42 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01245 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_1000_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha.py 7.167e-05 0.0003981 1000.0 2.034 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01948 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_3.1622e-05_dm_50_la2_0.01_laL_0.01_.slha.py 4.296e-10 3.162e-05 940.0 0.1827 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.01465 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.6632 0.0 0.9943 0.9943 THSCPM1b IDM_mhc_540_mn1_0.019952_dm_50_la2_0.01_laL_0.01_.slha.py 1.089 0.01995 540.0 351.741 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1129 0.0 0.1129 0.1129 THSCPM1b IDM_mhc_740_mn1_1.0_dm_50_la2_0.01_laL_0.01_.slha.py 0.308 1.0 740.0 9351.988 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.05697 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.05697 0.0 0.0 0.05697 TSmuSmuDisp IDM_mhc_840_mn1_0.00015848_dm_50_la2_0.01_laL_0.01_.slha.py 0.07833 0.0001584 840.0 1.147 1[N1,mu-]
Excluded CMS-EXO-13-006 0.01893 "[[],[[jet,jet]]]  (HSCP,HSCP)" 257.666 0.0 386.285 386.285 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.31622_dm_50_la2_0.01_laL_0.01_.slha.py 27.836 0.3162 100.0 181033.911 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.09361 0.0 0.09361 0.09361 THSCPM1b IDM_mhc_760_mn1_0.031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.246 0.03162 760.0 280.293 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.4168 0.0 0.5739 0.5739 THSCPM1b IDM_mhc_600_mn1_0.1_dm_50_la2_0.01_laL_0.01_.slha.py 0.8206 0.1 600.0 1429.905 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0164 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.03654 0.0 0.03654 0.03654 THSCPM1b IDM_mhc_820_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.07503 0.003162 820.0 24.064 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1122 0.0 0.1122 0.1122 THSCPM1b IDM_mhc_740_mn1_0.19952_dm_50_la2_0.01_laL_0.01_.slha.py 0.3049 0.1995 740.0 1861.575 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 1.547 "[[],[[jet,jet]]]  (HSCP,HSCP)" 7.006 0.01046 10.504 10.504 THSCPM1b IDM_mhc_300_mn1_0.0025118_dm_50_la2_0.01_laL_0.01_.slha.py 9.057 0.002511 300.0 146.168 1[N1,mu-]
Excluded CMS-EXO-13-006 93.543 "[[],[[jet,jet]]]  (HSCP,HSCP)" 59.538 0.0 89.257 97.501 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.0001_dm_50_la2_0.01_laL_0.01_.slha.py 10.249 0.0001 140.0 28.189 1[N1,mu-]
Non-excluded CMS-EXO-13-006 1.496 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.3224 0.0 0.2419 0.7574 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_500_mn1_0.0003981_dm_50_la2_0.01_laL_0.01_.slha.py 0.1986 0.0003981 500.0 8.187 1[N1,mu-]
