SModelS_status Analysis MT_displaced_xsec MT_max MT_max_xsec MT_outgrid_xsec MT_prompt_xsec MT_total_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Excluded ATLAS-SUSY-2018-14 536.231 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 292.549 0.0 0.0 531.815 TSmuSmuDisp IDM_mhc_120_mn1_3.1622e-06_dm_5_la2_0.01_laL_0.01_.slha.py 23.136 3.162e-06 120.0 1.233 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.2057 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1594 0.0 0.0 0.207 TSmuSmuDisp IDM_mhc_740_mn1_1e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.2481 1e-06 740.0 0.009351 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.1129 "[[],[[jet,jet]]]  (HSCP,HSCP)" 2.601 0.0 3.743 3.743 THSCPM1b,THSCPM8 IDM_mhc_420_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 3.035 0.01258 420.0 368.147 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 24.622 "[[],[[jet,jet]]]  (HSCP,HSCP)" 60.79 0.2012 87.6 88.346 THSCPM1b,THSCPM8 IDM_mhc_180_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 42.927 0.0005011 180.0 83.26 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.1526 "[[],[[jet,jet]]]  (HSCP,HSCP)" 71.782 0.0 103.439 103.439 THSCPM1b,THSCPM8 IDM_mhc_180_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 53.433 0.05011 180.0 8326.032 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.06912 0.0 0.06912 0.06912 THSCPM1b IDM_mhc_840_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 0.1576 0.5011 840.0 3634.014 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 5.1 "[[],[[jet,jet]]]  (HSCP,HSCP)" 5.881 0.0 8.466 8.764 THSCPM1b,THSCPM8 IDM_mhc_320_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 5.532 0.0007943 320.0 40.353 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.207 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1594 0.0 0.0 0.207 TSmuSmuDisp IDM_mhc_740_mn1_3.981e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.2785 3.981e-05 740.0 0.3723 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 11.663 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 6.521 0.0 0.0 11.666 TSmuSmuDisp IDM_mhc_340_mn1_1.2589e-06_dm_5_la2_0.01_laL_0.01_.slha.py 12.664 1.258e-06 340.0 0.05654 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 0.9813 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.6217 0.0 0.0 0.9836 TSmuSmuDisp IDM_mhc_580_mn1_1e-06_dm_5_la2_0.01_laL_0.01_.slha.py 1.234 1e-06 580.0 0.01529 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 8.313 0.0 11.967 11.967 THSCPM1b,THSCPM8 IDM_mhc_320_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 9.331 0.3981 320.0 20238.662 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 33.698 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 18.644 0.0 0.0 33.698 TSmuSmuDisp IDM_mhc_260_mn1_5.0118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 15.546 5.011e-06 260.0 0.3899 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 89.23 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 49.254 0.0 0.0 89.231 TSmuSmuDisp IDM_mhc_200_mn1_2.5118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 28.576 2.511e-06 200.0 0.3355 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.5087 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.3823 0.0 0.0 0.5092 TSmuSmuDisp IDM_mhc_640_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.9633 1.995e-06 640.0 0.02497 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.05154 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.05154 0.0 0.0 0.05154 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_860_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 0.0005023 0.0003981 860.0 2.752 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 2.247 "[[],[[jet,jet]]]  (HSCP,HSCP)" 12.922 0.009952 18.605 18.605 THSCPM1b,THSCPM8 IDM_mhc_280_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 13.243 0.002511 280.0 167.226 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 3.089 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 1.778 0.0 0.0 3.073 TSmuSmuDisp IDM_mhc_460_mn1_6.3095e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.7969 6.309e-05 460.0 1.541 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.3193 0.0 0.4257 0.4257 THSCPM1b IDM_mhc_660_mn1_0.050118_dm_5_la2_0.01_laL_0.01_.slha.py 0.4589 0.05011 660.0 589.035 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.369 0.0 0.4915 0.4915 THSCPM1b IDM_mhc_640_mn1_0.031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.5322 0.03162 640.0 395.444 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 7.443 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 3.453 0.0 0.02142 6.171 TSmuSmuDisp IDM_mhc_380_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.2763 7.943e-05 380.0 2.847 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 26.736 "[[],[[jet,jet]]]  (HSCP,HSCP)" 5.985 0.0 8.618 14.924 THSCPM1b,THSCPM8 IDM_mhc_260_mn1_0.00015848_dm_5_la2_0.01_laL_0.01_.slha.py 4.262 0.0001584 260.0 12.332 1[N1,mu-]
Non-excluded CMS-EXO-13-006 0.5507 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.2939 0.0 0.0 0.391 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_620_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.01792 0.0003162 620.0 4.216 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.1043 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1045 0.0 0.0 0.1045 TSmuSmuDisp IDM_mhc_780_mn1_2.5118e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.3071 2.511e-06 780.0 0.02112 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.8303 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.5249 0.0 0.0 0.8303 TSmuSmuDisp IDM_mhc_600_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.3569 7.943e-05 600.0 1.134 1[N1,mu-]
Excluded CMS-EXO-13-006 4.426 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.12 0.0 1.612 2.558 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_400_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 1.203 0.0003981 400.0 12.897 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.08158 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.2041 0.0 0.2724 0.2724 THSCPM1b IDM_mhc_680_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 0.2368 0.003981 680.0 44.144 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01778 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_940_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 3.759e-10 1.584e-05 940.0 0.09177 1[N1,mu-]
Excluded CMS-EXO-13-006 2.96 "[[],[[jet,jet]]]  (HSCP,HSCP)" 172.123 0.0 248.16 248.16 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.0063095_dm_5_la2_0.01_laL_0.01_.slha.py 20.48 0.006309 140.0 1777.72 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 97.17 "[[],[[jet,jet]]]  (HSCP,HSCP)" 64.648 0.0 93.182 103.623 THSCPM1b,THSCPM8 IDM_mhc_160_mn1_0.00012589_dm_5_la2_0.01_laL_0.01_.slha.py 12.57 0.0001258 160.0 26.81 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.07918 0.0 0.07918 0.07918 THSCPM1b IDM_mhc_820_mn1_0.63095_dm_5_la2_0.01_laL_0.01_.slha.py 0.1858 0.6309 820.0 4801.142 1[N1,mu-]
Excluded CMS-EXO-13-006 3.898 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.401 0.0 2.017 2.66 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_400_mn1_0.00050118_dm_5_la2_0.01_laL_0.01_.slha.py 1.394 0.0005011 400.0 16.174 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.3717 0.0 0.4951 0.4951 THSCPM1b IDM_mhc_640_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 0.5389 0.03981 640.0 498.3 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.01759 0.0 0.01759 0.01759 THSCPM1b IDM_mhc_920_mn1_0.012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.03517 0.01258 920.0 76.188 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 3.874 "[[],[[jet,jet]]]  (HSCP,HSCP)" 107.216 0.0 154.539 154.539 THSCPM1b,THSCPM8 IDM_mhc_160_mn1_0.003981_dm_5_la2_0.01_laL_0.01_.slha.py 32.628 0.003981 160.0 846.896 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.4477 0.0 0.5957 0.5957 THSCPM1b IDM_mhc_620_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 0.6639 0.7943 620.0 10608.976 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 24.868 "[[],[[jet,jet]]]  (HSCP,HSCP)" 13.727 0.0 19.77 22.845 THSCPM1b,THSCPM8 IDM_mhc_240_mn1_0.00025118_dm_5_la2_0.01_laL_0.01_.slha.py 10.906 0.0002511 240.0 23.025 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.07941 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.07941 0.0 0.0 0.07941 TSmuSmuDisp IDM_mhc_820_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.1921 3.162e-05 820.0 0.2406 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 34.787 0.0 50.109 50.109 THSCPM1b,THSCPM8 IDM_mhc_220_mn1_0.19952_dm_5_la2_0.01_laL_0.01_.slha.py 34.992 0.1995 220.0 21876.603 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.1672 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.4651 0.0 0.6579 0.6579 THSCPM1b IDM_mhc_580_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.5608 0.003162 580.0 48.246 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.1313 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.04215 0.0 0.04215 0.06996 THSCPM1b IDM_mhc_740_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha.py 0.04115 0.001258 740.0 11.745 1[N1,mu-]
Excluded CMS-EXO-13-006 46.656 "[[],[[jet,jet]]]  (HSCP,HSCP)" 527.653 0.08712 761.298 761.58 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_100_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 42.987 0.0006309 100.0 362.733 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 10.736 0.0 15.457 15.457 THSCPM1b,THSCPM8 IDM_mhc_300_mn1_1.0_dm_5_la2_0.01_laL_0.01_.slha.py 11.817 1.0 300.0 58037.342 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.157 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.9001 0.0 1.294 1.294 THSCPM1b IDM_mhc_520_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 0.9625 0.005011 520.0 95.327 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.7522 "[[],[[jet,jet]]]  (HSCP,HSCP)" 2.902 0.006061 4.176 4.176 THSCPM1b,THSCPM8 IDM_mhc_400_mn1_0.0031622_dm_5_la2_0.01_laL_0.01_.slha.py 3.102 0.003162 400.0 102.241 1[N1,mu-]
