SModelS_status Analysis MT_displaced_xsec MT_max MT_max_xsec MT_outgrid_xsec MT_prompt_xsec MT_total_xsec Tx file r_max m(N1) m(H+) ctau(H+) BR(H+)
Non-excluded ATLAS-SUSY-2016-32 0.02115 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.02115 0.02027 0.0 0.02115 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_920_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.371e-09 7.943e-05 920.0 0.4801 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 3.779 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 2.185 0.0 0.0 3.779 TSmuSmuDisp IDM_mhc_440_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.165 5.011e-05 440.0 1.333 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1197 0.0 0.1609 0.1609 THSCPM1b IDM_mhc_760_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 0.2457 0.5011 760.0 4444.3 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.7339 0.0 1.038 1.038 THSCPM1b IDM_mhc_560_mn1_0.31622_dm_5_la2_0.01_laL_0.01_.slha.py 1.039 0.3162 560.0 5179.185 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 4.763 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 2.702 0.0 0.0 4.763 TSmuSmuDisp IDM_mhc_420_mn1_2.5118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.189 2.511e-05 420.0 0.7362 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.2284 0.0 0.2887 0.2887 THSCPM1b IDM_mhc_700_mn1_0.025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.3282 0.02511 700.0 262.752 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.1413 "[[],[[jet,jet]]]  (HSCP,HSCP)" 6.394 0.0 9.204 9.204 THSCPM1b,THSCPM8 IDM_mhc_340_mn1_0.015848_dm_5_la2_0.01_laL_0.01_.slha.py 7.14 0.01584 340.0 712.371 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.436 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.327 0.0 0.0 0.436 TSmuSmuDisp IDM_mhc_660_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.5996 1.584e-05 660.0 0.1861 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.1415 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.689 0.0 2.431 2.431 THSCPM1b,THSCPM8 IDM_mhc_460_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha.py 2.045 0.007943 460.0 193.457 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.03862 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.0246 0.0 0.0 0.0246 THSCPM1b IDM_mhc_860_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 0.007753 0.001 860.0 6.923 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.1005 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1414 0.0 0.1786 0.1786 THSCPM1b IDM_mhc_700_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.1441 0.002511 700.0 26.275 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.04393 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.04393 0.0 0.0 0.04393 THSCPM1b,THSCPM2b,THSCPM9 IDM_mhc_900_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 9.117e-05 0.0003162 900.0 1.997 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 45.607 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 25.215 0.0 0.0 45.607 TSmuSmuDisp IDM_mhc_240_mn1_6.3095e-06_dm_5_la2_0.01_laL_0.01_.slha.py 16.034 6.309e-06 240.0 0.5786 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.3045 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.2409 0.0 0.0 0.3045 TSmuSmuDisp IDM_mhc_700_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.374 3.162e-05 700.0 0.3305 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.7074 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.8128 0.0 1.169 1.203 THSCPM1b,THSCPM8 IDM_mhc_500_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 0.7498 0.001584 500.0 32.616 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1178 0.0 0.1582 0.1582 THSCPM1b IDM_mhc_760_mn1_0.079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.2387 0.07943 760.0 704.739 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_1000_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.007978 0.002511 1000.0 12.813 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1017 0.0 0.1017 0.1017 THSCPM1b IDM_mhc_780_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha.py 0.2191 0.06309 780.0 530.448 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.1933 0.0 0.2445 0.2445 THSCPM1b IDM_mhc_720_mn1_0.019952_dm_5_la2_0.01_laL_0.01_.slha.py 0.2952 0.01995 720.0 197.326 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 No-missing-topologies 0.0 0.008997 0.0 0.0 THSCPM1b IDM_mhc_980_mn1_0.00079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.0009814 0.0007943 980.0 4.225 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.2457 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.2649 0.0 0.3525 0.3525 THSCPM1b IDM_mhc_620_mn1_0.0019952_dm_5_la2_0.01_laL_0.01_.slha.py 0.2701 0.001995 620.0 26.629 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 1.164 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.7359 0.0 0.0 1.164 TSmuSmuDisp IDM_mhc_560_mn1_1.2589e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.241 1.258e-05 560.0 0.2061 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.2768 0.0 0.3694 0.3694 THSCPM1b IDM_mhc_680_mn1_0.1_dm_5_la2_0.01_laL_0.01_.slha.py 0.3992 0.1 680.0 1108.578 1[N1,mu-]
Excluded CMS-EXO-13-006 4.576 "[[],[[jet,jet]]]  (HSCP,HSCP)" 292.477 0.0 421.816 421.816 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_120_mn1_0.0050118_dm_5_la2_0.01_laL_0.01_.slha.py 30.222 0.005011 120.0 1953.732 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.3741 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.2803 0.0 0.0 0.3741 TSmuSmuDisp IDM_mhc_680_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.5863 1e-05 680.0 0.1108 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.501 0.0 2.159 2.159 THSCPM1b,THSCPM8 IDM_mhc_480_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 1.935 0.7943 480.0 17777.203 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 25.563 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 13.044 0.0 0.0 23.557 TSmuSmuDisp IDM_mhc_280_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.661 3.162e-05 280.0 2.11 1[N1,mu-]
Excluded CMS-EXO-13-006 29.365 "[[],[[jet,jet]]]  (HSCP,HSCP)" 160.35 0.1122 231.186 231.585 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 IDM_mhc_140_mn1_0.00063095_dm_5_la2_0.01_laL_0.01_.slha.py 18.8 0.0006309 140.0 177.772 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 1.81 0.0 2.604 2.604 THSCPM1b,THSCPM8 IDM_mhc_460_mn1_0.15848_dm_5_la2_0.01_laL_0.01_.slha.py 2.259 0.1584 460.0 3861.584 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 2.921 "[[],[[jet,jet]]]  (HSCP,HSCP)" 5.091 0.0 7.328 7.438 THSCPM1b,THSCPM8 IDM_mhc_340_mn1_0.0012589_dm_5_la2_0.01_laL_0.01_.slha.py 5.155 0.001258 340.0 56.54 1[N1,mu-]
Non-excluded CMS-PAS-EXO-16-036 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_960_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 0.006211 0.001584 960.0 8.809 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.7344 0.0 1.038 1.038 THSCPM1b IDM_mhc_560_mn1_0.3981_dm_5_la2_0.01_laL_0.01_.slha.py 1.04 0.3981 560.0 6512.441 1[N1,mu-]
Excluded ATLAS-SUSY-2018-14 3.82 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 2.209 0.0 0.0 3.82 TSmuSmuDisp IDM_mhc_440_mn1_1e-05_dm_5_la2_0.01_laL_0.01_.slha.py 3.015 1e-05 440.0 0.2662 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.04657 0.0 0.04657 0.04657 THSCPM1b IDM_mhc_900_mn1_0.79432_dm_5_la2_0.01_laL_0.01_.slha.py 0.1077 0.7943 900.0 5021.042 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.6211 0.0 0.8786 0.8786 THSCPM1b IDM_mhc_580_mn1_1.0_dm_5_la2_0.01_laL_0.01_.slha.py 0.9207 1.0 580.0 15296.663 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.0 0.0 0.0 THSCPM1b IDM_mhc_960_mn1_0.03981_dm_5_la2_0.01_laL_0.01_.slha.py 0.03254 0.03981 960.0 220.97 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.2404 0.0 0.3038 0.3038 THSCPM1b IDM_mhc_700_mn1_0.63095_dm_5_la2_0.01_laL_0.01_.slha.py 0.3583 0.6309 700.0 6599.563 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 14.035 0.0 20.208 20.208 THSCPM1b,THSCPM8 IDM_mhc_280_mn1_0.25118_dm_5_la2_0.01_laL_0.01_.slha.py 15.126 0.2511 280.0 16722.624 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 No-missing-topologies 0.0 0.01562 0.0 0.0 THSCPM1b,THSCPM2b IDM_mhc_960_mn1_1.9952e-06_dm_5_la2_0.01_laL_0.01_.slha.py 4.159e-10 1.995e-06 960.0 0.01108 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.0496 0.0 0.0496 0.0496 THSCPM1b IDM_mhc_860_mn1_0.01_dm_5_la2_0.01_laL_0.01_.slha.py 0.09723 0.01 860.0 69.237 1[N1,mu-]
Non-excluded ATLAS-SUSY-2018-14 0.1613 "[[[l]],[[jet,jet],[l]]]  (MET,MET)" 0.1201 0.0 0.0 0.1614 TSmuSmuDisp IDM_mhc_760_mn1_3.981e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.4032 3.981e-06 760.0 0.03529 1[N1,mu-]
Non-excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 0.07303 0.0 0.07303 0.07303 THSCPM1b IDM_mhc_800_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha.py 0.1429 0.007943 800.0 63.449 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 0.0 "[[],[[jet,jet]]]  (HSCP,HSCP)" 6.505 0.0 9.363 9.363 THSCPM1b,THSCPM8 IDM_mhc_340_mn1_0.12589_dm_5_la2_0.01_laL_0.01_.slha.py 7.285 0.1258 340.0 5654.067 1[N1,mu-]
Excluded ATLAS-SUSY-2016-32 30.382 "[[],[[jet,jet]]]  (HSCP,HSCP)" 58.204 0.0 83.874 85.135 THSCPM1b,THSCPM8 IDM_mhc_180_mn1_0.0003981_dm_5_la2_0.01_laL_0.01_.slha.py 40.643 0.0003981 180.0 66.217 1[N1,mu-]
