SModelS_status Analysis Disp MT_displaced_xsec Tx Tx_weights file r_max theory_pred MASS9000006 MASS37 ctau(37) BR(37)
Non-excluded ATLAS-SUSY-2016-32 0.1297 0.1305 THSCPM11,THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM11': 7.505664295930303e-08, 'THSCPM1b': 5.710261150024524e-09, 'THSCPM8': 8.402309819104013e-10, 'THSCPM2b': 2.2897992328933457e-11, 'THSCPM9': 5.12366819706587e-12}" IDM_mhc_840_mn1_7.9432e-05_dm_50_la2_0.01_laL_0.01_.slha.py 8.163e-08 8.163516e-09 7.943e-05 840.0 0.5752 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1531 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.1361634817406342, 'THSCPM11': 0.351612627793228, 'THSCPM8': 0.02616988377304086}" IDM_mhc_700_mn1_0.0031622_dm_50_la2_0.01_laL_0.01_.slha.py 0.5139 0.04111568 0.003162 700.0 33.053 1[9000006,11]
Non-excluded CMS-SUS-17-009 1.58 0.6457 TSelSel "{'TSelSel': 3.314737493287391e-05}" IDM_mhc_620_mn1_3.1622e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.314e-05 0.1933257 3.162e-06 620.0 0.04216 1[9000006,11]
Non-excluded CMS-SUS-17-009 18.92 13.789 TSelSel "{'TSelSel': 3.424303167772932e-05}" IDM_mhc_300_mn1_2.5118e-06_dm_50_la2_0.01_laL_0.01_.slha.py 3.424e-05 4.752426 2.511e-06 300.0 0.1461 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.06959 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.05092826689166333, 'THSCPM11': 0.151396480333371, 'THSCPM8': 0.009693311950836806}" IDM_mhc_820_mn1_0.003981_dm_50_la2_0.01_laL_0.01_.slha.py 0.212 0.01696144 0.003981 820.0 30.311 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.2609 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.8580794036233924, 'THSCPM11': 1.8902587011085603, 'THSCPM8': 0.18894394271437162}" IDM_mhc_520_mn1_0.0050118_dm_50_la2_0.01_laL_0.01_.slha.py 2.937 0.2349826 0.005011 520.0 95.327 1[9000006,11]
Non-excluded CMS-EXO-13-006 1.385 2.102 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 0.00012552933673710878, 'THSCPM8': 3.169042812321524e-05, 'THSCPM2b': 3.32470533812862e-07, 'THSCPM9': 1.352222464717921e-07}" IDM_mhc_480_mn1_3.981e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.0001576 2.680687e-05 3.981e-05 480.0 0.8888 1[9000006,11]
Non-excluded CMS-SUS-17-009 0.7322 0.303 TSelSel "{'TSelSel': 1.796015030547805e-05}" IDM_mhc_720_mn1_3.981e-06_dm_50_la2_0.01_laL_0.01_.slha.py 1.796e-05 0.08911638 3.981e-06 720.0 0.0393 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.8153 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 31.925136505363263, 'THSCPM11': 35.50605039127289, 'THSCPM8': 6.616786185143218}" IDM_mhc_200_mn1_0.01_dm_50_la2_0.01_laL_0.01_.slha.py 74.047 6.664318 0.01 200.0 1333.29 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.02244 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.027267472279167204, 'THSCPM11': 0.08618182179422204, 'THSCPM8': 0.005680943198622119}" IDM_mhc_940_mn1_0.0079432_dm_50_la2_0.01_laL_0.01_.slha.py 0.1191 0.009530419 0.007943 940.0 45.996 1[9000006,11]
