SModelS_status Analysis Disp MT_displaced_xsec Tx Tx_weights file r_max theory_pred MASS9000006 MASS37 ctau(37) BR(37)
Non-excluded ATLAS-SUSY-2016-32 0.0 0.04568 THSCPM11,THSCPM2b,THSCPM8 "{'THSCPM11': 1.774726983131481e-08, 'THSCPM8': 7.223581627049652e-10, 'THSCPM2b': 2.79321612253361e-11}" IDM_mhc_920_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.849e-08 1.849756e-09 7.943e-05 920.0 0.4801 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 4.139 2.012 TSelSelDisp "{'TSelSelDisp': 4.13943078807891}" IDM_mhc_440_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 4.139 0.09189536 5.011e-05 440.0 1.333 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.001057 THSCPM1b "{'THSCPM1b': 1.3491829883157977}" IDM_mhc_760_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 1.349 0.3363662 0.5011 760.0 4444.3 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.00435 THSCPM1b "{'THSCPM1b': 5.630719723948244}" IDM_mhc_560_mn1_0.31622_dm_5_la2_0.01_laL_0.01_.slha.py 5.63 1.61221 0.3162 560.0 5179.185 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 7.957 2.427 TSelSelDisp "{'TSelSelDisp': 7.957972204506739}" IDM_mhc_420_mn1_2.5118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 7.957 0.176667 2.511e-05 420.0 0.7362 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.02699 THSCPM1b "{'THSCPM1b': 1.7966373282162553}" IDM_mhc_700_mn1_0.025118_dm_5_la2_0.01_laL_0.01_.slha.py 1.796 0.5241483 0.02511 700.0 262.752 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.2811 THSCPM1b "{'THSCPM1b': 33.812000403179034}" IDM_mhc_340_mn1_0.015848_dm_5_la2_0.01_laL_0.01_.slha.py 33.812 14.4859 0.01584 340.0 712.371 1[9000006,11]
Excluded ATLAS-SUSY-2018-14 2.287 0.291 TSelSelDisp "{'TSelSelDisp': 2.287431408914217}" IDM_mhc_660_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 2.287 0.05078098 1.584e-05 660.0 0.1861 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.2765 THSCPM1b "{'THSCPM1b': 9.492901190998332}" IDM_mhc_460_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha.py 9.492 4.004173 0.007943 460.0 193.457 1[9000006,11]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.1048 THSCPM1b "{'THSCPM1b': 0.042694182377268915}" IDM_mhc_860_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 0.04269 0.1668211 0.001 860.0 6.923 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1995 THSCPM1b "{'THSCPM1b': 0.7892991066845836}" IDM_mhc_700_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.7892 0.5241483 0.002511 700.0 26.275 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.05649 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.0005016142314713791, 'THSCPM2b': 2.5244025104274585e-07}" IDM_mhc_900_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.0005018 5.018667e-05 0.0003162 900.0 1.997 1[9000006,11]
