SModelS_status Analysis Disp MT_displaced_xsec Tx Tx_weights file r_max theory_pred MASS9000006 MASS37 ctau(37) BR(37)
Non-excluded ATLAS-SUSY-2016-32 0.0 0.04568 THSCPM11,THSCPM2b,THSCPM8 "{'THSCPM11': 1.774726983131481e-08, 'THSCPM8': 7.223581627049652e-10, 'THSCPM2b': 2.79321612253361e-11}" IDM_mhc_920_mn1_7.9432e-05_dm_5_la2_0.01_laL_0.01_.slha.py 1.849e-08 1.849756e-09 7.943e-05 920.0 0.4801 1[9000006,11]
Non-excluded CMS-EXO-13-006 4.139 2.012 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.014362321706845139, 'THSCPM2b': 1.0797827153079647e-05}" IDM_mhc_440_mn1_5.0118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.01437 0.00244343 5.011e-05 440.0 1.333 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.001057 THSCPM1b "{'THSCPM1b': 1.3491829883157977}" IDM_mhc_760_mn1_0.50118_dm_5_la2_0.01_laL_0.01_.slha.py 1.349 0.3363662 0.5011 760.0 4444.3 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.00435 THSCPM1b "{'THSCPM1b': 5.630719723948244}" IDM_mhc_560_mn1_0.31622_dm_5_la2_0.01_laL_0.01_.slha.py 5.63 1.61221 0.3162 560.0 5179.185 1[9000006,11]
Non-excluded CMS-EXO-13-006 7.957 2.427 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.0007083565772211451, 'THSCPM2b': 9.745099024924547e-07}" IDM_mhc_420_mn1_2.5118e-05_dm_5_la2_0.01_laL_0.01_.slha.py 0.0007093 0.0001205863 2.511e-05 420.0 0.7362 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.02699 THSCPM1b "{'THSCPM1b': 1.7966373282162553}" IDM_mhc_700_mn1_0.025118_dm_5_la2_0.01_laL_0.01_.slha.py 1.796 0.5241483 0.02511 700.0 262.752 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.2811 THSCPM1b "{'THSCPM1b': 33.812000403179034}" IDM_mhc_340_mn1_0.015848_dm_5_la2_0.01_laL_0.01_.slha.py 33.812 14.4859 0.01584 340.0 712.371 1[9000006,11]
Non-excluded CMS-SUS-17-009 2.287 0.291 TSelSel "{'TSelSel': 4.030323178014413e-06}" IDM_mhc_660_mn1_1.5848e-05_dm_5_la2_0.01_laL_0.01_.slha.py 4.03e-06 0.4215424 1.584e-05 660.0 0.1861 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.2765 THSCPM1b "{'THSCPM1b': 9.492901190998332}" IDM_mhc_460_mn1_0.0079432_dm_5_la2_0.01_laL_0.01_.slha.py 9.492 4.004173 0.007943 460.0 193.457 1[9000006,11]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.1048 THSCPM1b "{'THSCPM1b': 0.042694182377268915}" IDM_mhc_860_mn1_0.001_dm_5_la2_0.01_laL_0.01_.slha.py 0.04269 0.1668211 0.001 860.0 6.923 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.1995 THSCPM1b "{'THSCPM1b': 0.7892991066845836}" IDM_mhc_700_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.7892 0.5241483 0.002511 700.0 26.275 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.05649 THSCPM1b,THSCPM2b "{'THSCPM1b': 0.0005016142314713791, 'THSCPM2b': 2.5244025104274585e-07}" IDM_mhc_900_mn1_0.00031622_dm_5_la2_0.01_laL_0.01_.slha.py 0.0005018 5.018667e-05 0.0003162 900.0 1.997 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 55.644 22.804 THSCPM11,THSCPM8 "{'THSCPM11': 0.0004796841513378596, 'THSCPM8': 3.5913767053794887e-07}" IDM_mhc_240_mn1_6.3095e-06_dm_5_la2_0.01_laL_0.01_.slha.py 0.00048 4.32039e-05 6.309e-06 240.0 0.5786 1[9000006,11]
Non-excluded CMS-SUS-17-009 1.383 0.2141 TSelSel "{'TSelSel': 8.920611374934065e-07}" IDM_mhc_700_mn1_3.1622e-05_dm_5_la2_0.01_laL_0.01_.slha.py 8.92e-07 0.309952 3.162e-05 700.0 0.3305 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.8973 THSCPM1b "{'THSCPM1b': 3.707302808360347}" IDM_mhc_500_mn1_0.0015848_dm_5_la2_0.01_laL_0.01_.slha.py 3.707 2.745166 0.001584 500.0 32.616 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.006602 THSCPM1b "{'THSCPM1b': 1.3110306813602097}" IDM_mhc_760_mn1_0.079432_dm_5_la2_0.01_laL_0.01_.slha.py 1.311 0.3363662 0.07943 760.0 704.739 1[9000006,11]
Non-excluded CMS-PAS-EXO-16-036 0.0 0.03222 THSCPM1b "{'THSCPM1b': 0.03811325818477299}" IDM_mhc_1000_mn1_0.0025118_dm_5_la2_0.01_laL_0.01_.slha.py 0.03811 0.0578507 0.002511 1000.0 12.813 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.007552 THSCPM1b "{'THSCPM1b': 1.2043735336876908}" IDM_mhc_780_mn1_0.063095_dm_5_la2_0.01_laL_0.01_.slha.py 1.204 0.2913212 0.06309 780.0 530.448 1[9000006,11]
